,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1264.00000,3214.00000,4478.00000,202.00000,22425.00000,1617.00000,25258.00000,29736.00000,15148.00000,891.00000,2121.00000,4057.00000,19205.00000,397.00000,11702.00000,-636.00000,10531.00000,29736.00000
2021-12-31,1139.00000,2865.00000,4004.00000,205.00000,24666.00000,1607.00000,27383.00000,31387.00000,13590.00000,897.00000,2051.00000,4692.00000,18282.00000,397.00000,12625.00000,648.00000,13105.00000,31387.00000
2020-12-31,900.00000,2627.00000,3527.00000,213.00000,21542.00000,1455.00000,24015.00000,27542.00000,12621.00000,899.00000,1934.00000,4132.00000,16753.00000,397.00000,10085.00000,769.00000,10789.00000,27542.00000
2019-12-31,767.00000,2597.00000,3364.00000,207.00000,19746.00000,1317.00000,22044.00000,25408.00000,11770.00000,885.00000,1810.00000,3774.00000,15544.00000,397.00000,9257.00000,448.00000,9864.00000,25408.00000
2018-12-31,784.00000,2331.00000,3115.00000,195.00000,16732.00000,1155.00000,18820.00000,21935.00000,11002.00000,866.00000,1607.00000,3100.00000,14102.00000,397.00000,7625.00000,22.00000,7833.00000,21935.00000
2017-12-31,657.00000,2216.00000,2873.00000,185.00000,17051.00000,1064.00000,18970.00000,21843.00000,10406.00000,851.00000,1598.00000,3194.00000,13600.00000,397.00000,5180.00000,2788.00000,8243.00000,21843.00000
2016-12-31,777.00000,2263.00000,3040.00000,183.00000,15500.00000,1026.00000,17346.00000,20386.00000,10063.00000,846.00000,1552.00000,3263.00000,13326.00000,397.00000,5037.00000,1693.00000,7060.00000,20386.00000
2015-12-31,544.00000,2164.00000,2708.00000,185.00000,14423.00000,956.00000,16180.00000,18888.00000,9502.00000,856.00000,1465.00000,2959.00000,12461.00000,397.00000,4762.00000,1344.00000,6427.00000,18888.00000
2014-12-31,591.00000,2148.00000,2739.00000,194.00000,14386.00000,851.00000,16009.00000,18748.00000,9064.00000,871.00000,1400.00000,3111.00000,12175.00000,397.00000,4505.00000,1744.00000,6573.00000,18748.00000
2013-12-31,433.00000,2099.00000,2532.00000,210.00000,13564.00000,791.00000,15130.00000,17662.00000,8677.00000,939.00000,1303.00000,2915.00000,11592.00000,397.00000,4268.00000,1504.00000,6070.00000,17662.00000
2012-12-31,487.00000,2019.00000,2506.00000,217.00000,12534.00000,821.00000,14042.00000,16548.00000,8317.00000,931.00000,1394.00000,2778.00000,11095.00000,394.00000,4021.00000,1129.00000,5453.00000,16548.00000
2011-12-31,438.00000,1904.00000,2342.00000,227.00000,11801.00000,788.00000,13293.00000,15635.00000,8186.00000,925.00000,1188.00000,2416.00000,10602.00000,393.00000,3863.00000,901.00000,5033.00000,15635.00000
2010-12-31,385.00000,1779.00000,2164.00000,229.00000,11508.00000,706.00000,12931.00000,15095.00000,7787.00000,856.00000,1160.00000,2276.00000,10063.00000,393.00000,3980.00000,769.00000,5032.00000,15095.00000
2009-12-31,557.00000,1863.00000,2420.00000,251.00000,10643.00000,645.00000,12020.00000,14440.00000,7434.00000,839.00000,1255.00000,2246.00000,9680.00000,393.00000,3862.00000,624.00000,4760.00000,14440.00000
