,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,220.22700,1532.29200,580.72500,214.53100,2547.77500,19952.53000,801.79400,752.86700,324.13200,21831.32000,24379.09000,3051.62700,12695.83000,,14833.58000,17885.21000,4.74900,50.39600,-108.25600,6493.88500,24379.09000
2021-12-31,146.39100,1441.78600,580.89900,205.29800,2374.37400,19319.87000,797.61300,763.29500,366.45700,21247.24000,23621.61000,3184.61900,12747.64000,,14421.83000,17606.45000,4.74900,,-471.35100,6015.16300,23621.61000
2020-12-31,524.49600,829.79600,370.98800,144.49500,1869.77500,19154.93000,805.03200,773.72300,475.29600,21208.98000,23078.75000,1344.54700,14228.42000,,15691.81000,17036.35000,4.74900,,-551.44900,6042.39800,23078.75000
2019-12-31,20.95800,835.12100,506.67500,107.58000,1470.33400,18348.69000,861.84400,957.83300,173.42500,20341.79000,21812.12000,2020.29800,12479.76000,,13565.87000,15586.17000,4.45000,,-374.00000,6225.95100,21812.12000
2018-12-31,11.97500,818.95800,437.84100,129.85800,1398.63200,14766.65000,969.15000,967.14200,130.09600,16833.04000,18231.67000,2108.43600,8873.33400,,9543.69200,11652.13000,4.45000,,-188.23900,6579.54300,18231.67000
2017-12-31,37.19300,1202.95100,432.59400,91.72000,1764.45800,12698.13000,1003.15600,993.46000,180.83000,15081.48000,16845.94000,2667.33500,8091.62900,,8493.25000,11160.58000,4.23200,,-188.53000,5685.35200,16845.94000
2016-12-31,248.87500,872.43000,200.94600,106.88200,1429.68400,12571.40000,958.80700,1005.35900,162.99800,14709.07000,16138.75000,2836.70100,7919.99600,,9873.13500,12709.83000,2.45800,,-154.35000,3428.91500,16138.75000
2015-12-31,97.61900,593.97900,204.78000,78.62700,975.21000,12373.99000,948.22100,1017.25800,112.59800,14470.90000,15446.11000,1638.26600,8323.58200,,10041.51000,11679.77000,2.45800,,-127.24200,3766.33600,15446.11000
2014-12-31,172.81200,745.49400,189.96700,182.25400,1307.24400,11662.44000,1132.65300,1014.74000,124.67900,13954.53000,15261.77000,2392.34500,7150.14200,,8863.54500,11255.89000,2.45800,138.12800,-136.35300,4005.88300,15261.77000
2013-12-31,145.56500,1109.51000,188.28600,213.49100,2404.72400,9231.95400,1229.83800,1024.56200,224.35300,15336.76000,17741.48000,2730.33000,7753.65700,,10165.97000,12896.30000,2.45800,2020.81500,-121.98700,4845.18000,17741.48000
2012-12-31,583.61800,1349.37100,517.01400,314.65700,2764.66000,10114.34000,1221.40500,996.20600,758.66400,13090.62000,15855.28000,2812.99400,6515.37200,,8809.83100,11622.83000,2.45800,2059.02400,-216.79800,4232.45000,15855.28000
2011-12-31,65.95300,1339.93300,549.91500,288.87500,2318.81200,8444.33300,1223.39800,1014.12700,695.96500,11377.82000,13696.63000,3246.17500,4529.55100,,6650.72800,9896.90300,2.45800,1960.37400,-206.12100,3799.73200,13696.63000
2010-12-31,30.34100,1283.89100,706.91200,299.06600,2379.73500,7312.94800,1188.12400,1022.89400,595.47400,10119.44000,12499.17000,3151.43100,3686.54200,,5426.90300,8578.33400,1.22800,1826.80000,-108.80200,3920.84100,12499.17000
2009-12-31,29.39900,1437.99400,583.12700,537.94400,2588.46400,7793.65800,765.16300,1030.56000,649.83800,10239.22000,12827.68000,3338.91200,4334.20400,8.92600,6043.30900,9382.22100,1.22400,1685.71000,-118.61300,3445.46200,12827.68000
