,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,614.57400,1049.54800,1664.12200,80.83800,4467.45000,261.88000,5023.82300,6687.94500,794.83600,753.57400,102.75600,1027.25800,1822.09400,0.95300,4782.93000,-122.72200,4865.85100,6687.94500
2021-12-31,668.02800,970.54600,1638.57400,87.91400,4172.39000,279.67600,4685.74000,6324.31400,778.49200,753.57600,98.27200,1061.77400,1840.26600,0.95300,4259.22000,-56.11200,4484.04800,6324.31400
2020-12-31,913.15100,806.08610,1719.23700,96.50300,3733.17100,225.11900,4221.35300,5940.59000,728.82500,798.11800,84.51400,1113.89300,1842.71800,0.95300,3804.59300,-17.77500,4097.87200,5940.59000
2019-12-31,872.38200,683.09800,1555.48000,83.63600,2889.99100,180.03200,3283.40700,4838.88700,695.14000,423.53100,96.42600,690.36800,1385.50800,0.94600,3370.70600,-65.38100,3453.37900,4838.88700
2018-12-31,777.36400,533.81300,1311.17700,61.65500,1783.72700,82.77500,1954.78700,3265.96400,524.76700,,61.57300,91.65000,616.41700,0.93200,2919.41100,-62.37900,2649.54700,3265.96400
2017-12-31,881.78700,388.47900,1270.26600,57.09600,1536.17800,35.97200,1671.35700,2941.62300,608.55300,,85.77800,87.23900,695.79200,0.93200,2316.91600,-37.84400,2245.83100,2941.62300
2016-12-31,822.86000,346.54100,1169.40100,54.67700,1509.83400,24.28700,1631.12500,2800.52600,539.10000,,50.76200,53.02100,592.12100,0.93200,2057.66500,-57.65200,2208.40500,2800.52600
2015-12-31,784.61400,291.81200,1076.42600,61.92400,1552.90100,5.75700,1653.47800,2729.90400,484.14600,,49.24000,51.33100,535.47700,0.93200,1792.02900,-52.16400,2194.42700,2729.90400
2014-12-31,788.77800,293.53700,1082.31500,64.64300,1571.49400,6.18700,1670.56400,2752.87900,465.07500,,54.11300,70.30300,535.37800,0.93200,1539.50800,-31.75400,2217.50100,2752.87900
2013-12-31,742.98600,298.57900,1067.59600,60.53800,1547.09400,10.58600,1654.78600,2722.38200,440.43100,18.13600,60.67000,145.70500,586.13600,0.93200,1284.81800,-2.64400,2136.24600,2722.38200
2012-12-31,577.15500,312.86600,913.35900,52.25300,1602.42000,24.39300,1694.05800,2607.41700,477.38700,,96.91700,189.73900,667.12600,0.93200,1039.49100,8.65100,1940.29100,2607.41700
2011-12-31,472.40400,247.89800,740.03300,45.63800,1608.79500,46.94200,1708.43700,2448.47000,438.75100,53.14900,100.47900,255.24600,693.99700,0.92700,836.00800,11.87600,1754.47300,2448.47000
2010-12-31,472.93400,224.00600,714.63300,36.92100,1313.40300,56.12300,1412.24300,2126.87600,311.36900,127.56300,82.98900,285.57800,596.94700,0.91600,655.33300,16.96200,1529.92900,2126.87600
2009-12-31,343.84400,153.81900,515.49000,35.13100,1361.13700,5.84800,1404.69200,1920.18200,266.76600,198.66800,34.80400,340.78500,607.55100,0.89700,502.20100,8.81200,1312.63100,1920.18200
