,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,736.00000,18771.00000,19507.00000,987.00000,62252.00000,3502.00000,5905.00000,78450.00000,97957.00000,63290.00000,7964.00000,9353.00000,17317.00000,80607.00000,9.00000,50954.00000,-2389.00000,17350.00000,97957.00000
2021-12-31,763.00000,18388.00000,19151.00000,939.00000,65040.00000,3502.00000,6086.00000,80289.00000,99440.00000,56208.00000,7976.00000,9296.00000,18105.00000,74313.00000,9.00000,53294.00000,655.00000,25127.00000,99440.00000
2020-12-31,311.00000,13678.00000,13989.00000,1057.00000,59911.00000,2369.00000,44887.00000,111998.00000,125987.00000,46398.00000,7825.00000,41165.00000,49372.00000,95770.00000,9.00000,52767.00000,3304.00000,30217.00000,125987.00000
2019-12-31,338.00000,15683.00000,16021.00000,1145.00000,88962.00000,2545.00000,6578.00000,103929.00000,119950.00000,73976.00000,6631.00000,12191.00000,19976.00000,93952.00000,9.00000,48074.00000,1950.00000,25998.00000,119950.00000
2018-12-31,499.00000,15719.00000,16218.00000,1045.00000,81860.00000,2530.00000,5812.00000,96031.00000,112249.00000,72512.00000,6451.00000,11549.00000,18425.00000,90937.00000,9.00000,44033.00000,118.00000,21312.00000,112249.00000
2017-12-31,617.00000,14707.00000,15324.00000,1072.00000,83372.00000,2181.00000,6282.00000,97098.00000,112422.00000,71781.00000,6350.00000,10958.00000,18090.00000,89871.00000,9.00000,43162.00000,306.00000,22551.00000,112422.00000
2016-12-31,436.00000,14342.00000,14778.00000,1065.00000,82366.00000,1219.00000,5228.00000,93832.00000,108610.00000,71211.00000,6347.00000,9992.00000,16826.00000,88037.00000,9.00000,40678.00000,-416.00000,20573.00000,108610.00000
2015-12-31,495.00000,14062.00000,14557.00000,1024.00000,78327.00000,1219.00000,5668.00000,90099.00000,104656.00000,70455.00000,5124.00000,8962.00000,14176.00000,84631.00000,9.00000,39413.00000,-755.00000,20025.00000,104656.00000
2014-12-31,657.00000,13955.00000,14612.00000,1031.00000,81704.00000,1219.00000,6388.00000,93867.00000,108479.00000,70271.00000,5140.00000,10049.00000,15904.00000,86175.00000,9.00000,37842.00000,561.00000,22304.00000,108479.00000
2013-12-31,675.00000,12858.00000,13533.00000,1024.00000,81779.00000,1243.00000,22569.00000,109987.00000,123520.00000,70110.00000,6201.00000,25094.00000,31930.00000,102040.00000,9.00000,35580.00000,1046.00000,21480.00000,123520.00000
2012-12-31,806.00000,13818.00000,14624.00000,989.00000,98059.00000,1240.00000,8414.00000,112323.00000,126947.00000,86674.00000,6057.00000,13039.00000,19693.00000,106367.00000,9.00000,33783.00000,1175.00000,20580.00000,126947.00000
2011-12-31,776.00000,12171.00000,12947.00000,914.00000,96444.00000,1242.00000,9053.00000,112246.00000,125193.00000,87997.00000,5908.00000,12962.00000,18870.00000,106867.00000,9.00000,31909.00000,29.00000,18326.00000,125193.00000
2010-12-31,562.00000,11391.00000,11953.00000,921.00000,101292.00000,874.00000,10281.00000,118921.00000,130874.00000,91682.00000,5908.00000,14240.00000,20148.00000,111830.00000,9.00000,31969.00000,-184.00000,19044.00000,130874.00000
2009-12-31,612.00000,11194.00000,11806.00000,990.00000,100697.00000,875.00000,10944.00000,120846.00000,132652.00000,95223.00000,5910.00000,14798.00000,20708.00000,115931.00000,9.00000,31492.00000,-2106.00000,16721.00000,132652.00000
