,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,7997.00000,3425.00000,2346.00000,2838.00000,16606.00000,2006.00000,,11381.00000,7580.00000,22118.00000,38724.00000,14171.00000,13749.00000,4034.00000,18197.00000,32368.00000,53607.00000,-1253.00000,6356.00000,38724.00000
2021-12-31,8480.00000,3006.00000,2271.00000,3192.00000,16949.00000,1907.00000,,11333.00000,6994.00000,20720.00000,37669.00000,13162.00000,13109.00000,3591.00000,17124.00000,30286.00000,45648.00000,-809.00000,7383.00000,37669.00000
2020-12-31,11182.00000,2646.00000,1883.00000,3402.00000,19113.00000,1902.00000,,6713.00000,5365.00000,14471.00000,33584.00000,11847.00000,12023.00000,3111.00000,15249.00000,27096.00000,38747.00000,-680.00000,6488.00000,33584.00000
2019-12-31,8260.00000,2514.00000,1763.00000,4365.00000,16902.00000,1828.00000,,5438.00000,4525.00000,12334.00000,29236.00000,11904.00000,8527.00000,2729.00000,11415.00000,23319.00000,33984.00000,-673.00000,5917.00000,29236.00000
2018-12-31,8931.00000,2276.00000,1432.00000,3532.00000,16171.00000,921.00000,,3895.00000,3303.00000,8689.00000,24860.00000,11593.00000,5834.00000,1877.00000,7849.00000,19442.00000,27283.00000,-718.00000,5418.00000,24860.00000
2017-12-31,8328.00000,1969.00000,1040.00000,2460.00000,13797.00000,829.00000,,4155.00000,2298.00000,7532.00000,21329.00000,8793.00000,5424.00000,1438.00000,7039.00000,15832.00000,22364.00000,-497.00000,5497.00000,21329.00000
2016-12-31,8878.00000,1416.00000,850.00000,2084.00000,13228.00000,733.00000,,2478.00000,1929.00000,5447.00000,18675.00000,7206.00000,5180.00000,524.00000,5785.00000,12991.00000,19418.00000,-924.00000,5684.00000,18675.00000
2015-12-31,7279.00000,1079.00000,663.00000,1963.00000,10984.00000,675.00000,,2694.00000,1580.00000,5266.00000,16250.00000,6269.00000,3268.00000,572.00000,3919.00000,10188.00000,16222.00000,-676.00000,6062.00000,16250.00000
2014-12-31,6915.00000,1109.00000,671.00000,2002.00000,10997.00000,615.00000,,2236.00000,1385.00000,4332.00000,15329.00000,6222.00000,1494.00000,674.00000,2283.00000,8505.00000,13169.00000,-260.00000,6824.00000,15329.00000
2013-12-31,7018.00000,966.00000,471.00000,2262.00000,10950.00000,526.00000,,1794.00000,902.00000,3292.00000,14242.00000,6032.00000,,598.00000,715.00000,6747.00000,10121.00000,178.00000,7495.00000,14242.00000
2012-12-31,5729.00000,925.00000,681.00000,1894.00000,9357.00000,472.00000,,1764.00000,809.00000,3105.00000,12462.00000,4906.00000,,523.00000,627.00000,5533.00000,7354.00000,61.00000,6929.00000,12462.00000
2011-12-31,4949.00000,808.00000,404.00000,1237.00000,7741.00000,449.00000,,1679.00000,736.00000,2952.00000,10693.00000,4217.00000,,486.00000,599.00000,4816.00000,4745.00000,-2.00000,5877.00000,10693.00000
2010-12-31,4198.00000,650.00000,400.00000,990.00000,6454.00000,439.00000,142.00000,1207.00000,590.00000,2383.00000,8837.00000,3143.00000,,404.00000,478.00000,3621.00000,2915.00000,95.00000,5216.00000,8837.00000
2009-12-31,2879.00000,536.00000,313.00000,1031.00000,5003.00000,449.00000,518.00000,724.00000,512.00000,2467.00000,7470.00000,3167.00000,22.00000,689.00000,791.00000,3958.00000,1148.00000,194.00000,3512.00000,7470.00000
