,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-06-30,538.00000,1051.00000,702.00000,625.00000,2916.00000,3127.00000,4066.00000,349.00000,7591.00000,10507.00000,1072.00000,4171.00000,164.00000,4640.00000,5712.00000,2.00000,538.00000,-394.00000,4795.00000,10507.00000
2021-06-30,967.00000,1012.00000,563.00000,376.00000,2918.00000,2524.00000,3336.00000,268.00000,6194.00000,9112.00000,1196.00000,3166.00000,175.00000,3642.00000,4838.00000,2.00000,25.00000,-317.00000,4274.00000,9112.00000
2020-06-30,953.00000,838.00000,324.00000,178.00000,2293.00000,1901.00000,3360.00000,174.00000,5484.00000,7777.00000,893.00000,2945.00000,204.00000,3378.00000,4271.00000,2.00000,-535.00000,-386.00000,3506.00000,7777.00000
2019-06-30,345.40000,693.10000,257.20000,100.10000,1395.80000,1536.70000,3151.70000,61.20000,4788.20000,6184.00000,670.70000,2882.80000,124.30000,3225.10000,3895.80000,1.50000,-723.40000,-353.90000,2288.20000,6184.00000
2018-06-30,410.20000,555.80000,209.10000,65.20000,1240.30000,1270.60000,1942.10000,45.20000,3290.80000,4531.10000,576.90000,2649.40000,54.00000,2867.50000,3444.40000,1.30000,-872.10000,-325.80000,1086.70000,4531.10000
2017-06-30,288.30000,488.80000,184.90000,97.80000,1059.80000,995.90000,1317.20000,27.50000,2394.50000,3454.30000,469.00000,2055.10000,45.50000,2261.80000,2730.80000,1.30000,-955.70000,-314.10000,723.50000,3454.30000
2016-06-30,131.60000,414.80000,154.80000,89.00000,790.20000,905.80000,1290.50000,67.10000,2300.90000,3091.10000,391.20000,1832.80000,38.80000,2064.00000,2455.20000,1.20000,-1036.10000,-305.70000,635.90000,3091.10000
2015-06-30,151.30000,372.40000,132.90000,80.90000,737.50000,885.20000,1430.20000,21.30000,2400.80000,3138.30000,399.00000,1857.00000,42.50000,2105.30000,2504.30000,1.20000,-1166.90000,-174.00000,634.00000,3138.30000
2014-06-30,74.40000,403.70000,134.80000,74.60000,687.50000,873.00000,1454.70000,48.70000,2402.70000,3090.20000,453.00000,2685.40000,61.20000,3009.00000,3462.00000,0.70000,-1379.10000,-24.20000,-371.80000,3090.20000
2013-06-30,106.40000,358.00000,124.90000,89.80000,679.10000,814.50000,1395.60000,36.60000,2270.40000,2949.50000,410.30000,2656.60000,47.00000,2949.50000,3359.80000,0.70000,-1395.30000,-42.80000,-410.30000,2949.50000
2012-06-30,139.00000,338.30000,118.70000,108.70000,704.70000,809.70000,1447.60000,41.80000,2434.30000,3139.00000,439.30000,2640.30000,49.90000,3050.40000,3489.70000,0.70000,-1382.10000,7.50000,-350.70000,3139.00000
2011-06-30,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000
