,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1282.00000,2366.00000,492.00000,264.00000,8568.00000,12972.00000,46766.00000,841.00000,408.00000,85.00000,55525.00000,69065.00000,11336.00000,20147.00000,7718.00000,36840.00000,48176.00000,37.00000,11985.00000,22.00000,-122.00000,20889.00000,69065.00000
2021-12-31,1146.00000,2254.00000,437.00000,295.00000,1419.00000,5551.00000,48596.00000,853.00000,1732.00000,77.00000,56756.00000,63116.00000,5427.00000,22604.00000,6165.00000,37353.00000,42780.00000,37.00000,11445.00000,5.00000,-122.00000,20336.00000,63116.00000
2020-12-31,1436.00000,2005.00000,356.00000,271.00000,1233.00000,5301.00000,46555.00000,1816.00000,1906.00000,,56757.00000,62895.00000,7354.00000,20382.00000,6364.00000,36476.00000,43830.00000,36.00000,11178.00000,-25.00000,-112.00000,19065.00000,62895.00000
2019-12-31,1217.00000,1440.00000,352.00000,260.00000,1003.00000,4272.00000,43889.00000,2065.00000,2003.00000,,52950.00000,58079.00000,6287.00000,18527.00000,6221.00000,33579.00000,39866.00000,35.00000,11100.00000,-19.00000,-110.00000,18213.00000,58079.00000
2018-12-31,1006.00000,1601.00000,358.00000,187.00000,712.00000,3864.00000,41749.00000,1766.00000,2094.00000,,50056.00000,53920.00000,6207.00000,17495.00000,6032.00000,30874.00000,37081.00000,34.00000,10728.00000,-16.00000,-99.00000,16839.00000,53920.00000
2017-12-31,844.00000,1339.00000,334.00000,178.00000,842.00000,3537.00000,37600.00000,2001.00000,559.00000,,44574.00000,48111.00000,4902.00000,14731.00000,5819.00000,27784.00000,32686.00000,34.00000,10235.00000,-26.00000,-85.00000,15425.00000,48111.00000
2016-12-31,830.00000,1380.00000,339.00000,159.00000,698.00000,3406.00000,35216.00000,1921.00000,552.00000,,44849.00000,48255.00000,3843.00000,14735.00000,3104.00000,30106.00000,33949.00000,33.00000,9559.00000,-27.00000,-83.00000,14306.00000,48255.00000
2015-12-31,944.00000,1522.00000,350.00000,177.00000,843.00000,3836.00000,32209.00000,884.00000,431.00000,,41806.00000,45642.00000,4720.00000,12006.00000,3208.00000,27861.00000,32581.00000,32.00000,9123.00000,-34.00000,-61.00000,13061.00000,45642.00000
2014-12-31,699.00000,1558.00000,372.00000,163.00000,924.00000,3716.00000,29827.00000,816.00000,432.00000,,40355.00000,44071.00000,3757.00000,11546.00000,3140.00000,27729.00000,31486.00000,32.00000,8691.00000,-45.00000,-61.00000,12585.00000,44071.00000
2013-12-31,674.00000,1491.00000,363.00000,136.00000,1105.00000,3891.00000,28436.00000,461.00000,433.00000,,36756.00000,40647.00000,4730.00000,10489.00000,2820.00000,23672.00000,28402.00000,32.00000,8338.00000,-25.00000,-61.00000,12245.00000,40647.00000
2012-12-31,394.00000,1450.00000,330.00000,159.00000,822.00000,3451.00000,26939.00000,467.00000,431.00000,,37758.00000,41209.00000,3945.00000,10064.00000,2086.00000,25395.00000,29340.00000,32.00000,7997.00000,-53.00000,-61.00000,11869.00000,41209.00000
2011-12-31,648.00000,1426.00000,356.00000,145.00000,797.00000,3638.00000,25093.00000,455.00000,432.00000,,35576.00000,39214.00000,2987.00000,10145.00000,1971.00000,24578.00000,27565.00000,32.00000,7568.00000,-58.00000,-64.00000,11649.00000,39214.00000
2010-12-31,338.00000,1466.00000,348.00000,341.00000,1014.00000,3669.00000,23863.00000,403.00000,432.00000,,32679.00000,36348.00000,2530.00000,10678.00000,1764.00000,22544.00000,25074.00000,31.00000,7220.00000,-40.00000,-64.00000,11274.00000,36348.00000
2009-12-31,260.00000,1426.00000,355.00000,131.00000,1042.00000,3214.00000,22464.00000,385.00000,420.00000,,30630.00000,33844.00000,2940.00000,9868.00000,1570.00000,20442.00000,23382.00000,30.00000,6904.00000,-42.00000,-62.00000,10462.00000,33844.00000
