,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-06-30,7214.00000,5143.00000,6924.00000,2372.00000,,21653.00000,21195.00000,63379.00000,10981.00000,95555.00000,117208.00000,33081.00000,22848.00000,7616.00000,37273.00000,70354.00000,4009.00000,112429.00000,-12189.00000,-916.00000,46854.00000,117208.00000
2021-06-30,10288.00000,4725.00000,5983.00000,2095.00000,,23091.00000,21686.00000,64566.00000,9964.00000,96216.00000,119307.00000,33132.00000,23099.00000,10269.00000,39521.00000,72653.00000,4009.00000,106374.00000,-13744.00000,-1006.00000,46654.00000,119307.00000
2020-06-30,16181.00000,4178.00000,5498.00000,2130.00000,,27987.00000,20692.00000,63693.00000,8328.00000,92713.00000,120700.00000,32976.00000,23537.00000,11110.00000,40846.00000,73822.00000,4009.00000,100239.00000,-16165.00000,-1080.00000,46878.00000,120700.00000
2019-06-30,10287.00000,4951.00000,5017.00000,2218.00000,,22473.00000,21271.00000,64488.00000,6863.00000,92622.00000,115095.00000,30011.00000,20395.00000,10211.00000,37505.00000,67516.00000,4009.00000,94918.00000,-14936.00000,-1146.00000,47579.00000,115095.00000
2018-06-30,11850.00000,4686.00000,4738.00000,2046.00000,,23320.00000,20600.00000,69077.00000,5313.00000,94990.00000,118310.00000,28237.00000,20863.00000,10164.00000,37190.00000,65427.00000,4009.00000,98641.00000,-14749.00000,-1204.00000,52883.00000,118310.00000
2017-06-30,15137.00000,4594.00000,4624.00000,2139.00000,,26494.00000,19893.00000,68886.00000,5133.00000,93912.00000,120406.00000,30210.00000,18038.00000,8254.00000,34418.00000,64628.00000,4009.00000,96124.00000,-14632.00000,-1249.00000,55778.00000,120406.00000
2016-06-30,13348.00000,4373.00000,4716.00000,2653.00000,7185.00000,33782.00000,19385.00000,68877.00000,5092.00000,93354.00000,127136.00000,30770.00000,18945.00000,10325.00000,38383.00000,69153.00000,4009.00000,87953.00000,-15907.00000,-1290.00000,57983.00000,127136.00000
2015-06-30,11603.00000,4568.00000,4979.00000,2708.00000,4432.00000,29646.00000,19655.00000,69632.00000,5358.00000,99849.00000,129495.00000,29790.00000,18327.00000,8432.00000,36655.00000,66445.00000,4009.00000,84807.00000,-12780.00000,-1320.00000,63050.00000,129495.00000
2014-06-30,10686.00000,6386.00000,6759.00000,3845.00000,2849.00000,31617.00000,22304.00000,84547.00000,5798.00000,112649.00000,144266.00000,33726.00000,19811.00000,10535.00000,40564.00000,74290.00000,4009.00000,84990.00000,-7662.00000,-1340.00000,69976.00000,144266.00000
2013-06-30,5947.00000,6508.00000,6909.00000,3678.00000,,23990.00000,21666.00000,86760.00000,6847.00000,115273.00000,139263.00000,30037.00000,19111.00000,10579.00000,40517.00000,70554.00000,4009.00000,80197.00000,-7499.00000,-1352.00000,68709.00000,139263.00000
2012-06-30,4436.00000,6068.00000,6721.00000,3684.00000,,21910.00000,20377.00000,84761.00000,5196.00000,110334.00000,132244.00000,24907.00000,21080.00000,12090.00000,43302.00000,68209.00000,4008.00000,75349.00000,-9333.00000,-1357.00000,64035.00000,132244.00000
2011-06-30,2768.00000,6275.00000,7379.00000,4408.00000,,21970.00000,21293.00000,90182.00000,4909.00000,116384.00000,138354.00000,27293.00000,22033.00000,9957.00000,43060.00000,70353.00000,4008.00000,70682.00000,-2054.00000,-1357.00000,68001.00000,138354.00000
2010-06-30,2879.00000,5335.00000,6384.00000,3194.00000,,18782.00000,19244.00000,85648.00000,4498.00000,109390.00000,128172.00000,24282.00000,21360.00000,10189.00000,42451.00000,66733.00000,4008.00000,64614.00000,-7822.00000,-1350.00000,61439.00000,128172.00000
2009-06-30,4781.00000,5836.00000,6880.00000,3199.00000,,21905.00000,19462.00000,89118.00000,4348.00000,112928.00000,134833.00000,30901.00000,20652.00000,9146.00000,40550.00000,71451.00000,4007.00000,57309.00000,-3358.00000,-1340.00000,63382.00000,134833.00000
