,cash-on-hand,receivables-total,inventory,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,2891.07400,20.84200,1788.27500,4700.19100,61.50900,48.92700,619.66900,960.78200,5660.97300,832.64600,914.88800,313.80400,1321.47800,2154.12400,0.20600,11773.41000,3506.84900,5660.97300
2021-12-31,2938.90800,18.55200,1947.36600,4904.82600,60.63700,48.92700,618.42300,929.64900,5834.47500,823.81400,1516.25500,417.46300,2008.28300,2832.09700,0.20600,10047.84000,3002.37800,5834.47500
2020-12-31,3259.27300,18.29900,1709.08200,4986.65400,62.33000,48.92700,480.70100,790.48700,5777.14100,843.25800,1517.39500,240.75800,1830.80900,2674.06700,0.20600,8811.12000,3103.07400,5777.14100
2019-12-31,1652.64800,18.27800,1347.28800,3018.21400,58.08800,48.92700,491.68500,791.60100,3809.81500,653.00700,598.30100,131.88600,815.56400,1468.57100,0.20600,7909.87200,2341.24400,3809.81500
2018-12-31,1190.25200,18.64100,1253.11000,2462.00300,48.74400,48.92700,493.92600,703.93000,3165.93300,621.44400,597.68100,138.24600,735.92700,1357.37100,0.20600,7031.33300,1808.56200,3165.93300
2017-12-31,1040.97700,20.02600,1246.19900,2307.20200,49.51800,48.92700,471.67900,682.07700,2989.27900,636.68800,597.06600,150.03300,747.09900,1383.78700,0.20600,6231.94000,1605.49200,2989.27900
2016-12-31,766.78100,18.93700,1092.10000,1877.81800,50.81800,48.92700,495.72800,766.12500,2643.94300,620.81100,596.45500,122.23600,718.69100,1339.50200,0.20600,5695.37600,1304.44100,2643.94300
2015-12-31,769.35700,11.48200,1006.52600,1787.36500,49.96400,52.90900,457.92600,724.35300,2511.71800,564.65000,595.84700,112.05600,707.90300,1272.55300,0.20600,5270.11400,1239.16500,2511.71800
2014-12-31,750.60210,10.02100,869.48600,1630.10900,52.43100,54.29100,445.72500,721.22600,2351.33500,519.47700,599.16600,108.43700,707.60300,1227.08000,0.20600,4887.18700,1124.25500,2351.33500
2013-12-31,1076.22600,9.52900,738.56500,1824.32000,37.29800,55.67400,399.21000,661.82800,2486.14800,519.68800,599.07500,106.03300,705.10800,1224.79600,0.20600,4605.55700,1261.35200,2486.14800
2012-12-31,1341.53000,9.42100,678.13100,2029.08200,29.48100,58.14600,326.88900,575.76000,2604.84200,418.93600,598.98800,106.44100,705.42900,1124.36500,0.20600,4339.08000,1480.47700,2604.84200
2011-12-31,732.68400,6.78900,533.15000,1272.62300,24.93700,48.92700,256.93500,506.86200,1779.48500,337.46700,,67.21900,67.21900,404.68600,0.20600,4158.49200,1374.79900,1779.48500
2010-12-31,1370.63600,6.94800,431.32900,1808.91300,20.47300,48.92700,174.44700,451.14800,2260.06100,457.89000,,61.79700,61.79700,519.68700,0.20600,4029.07200,1740.37400,2260.06100
2009-12-31,1509.78200,7.99500,418.71800,1936.49500,20.66100,48.92700,118.91700,459.27500,2395.77000,375.63200,133.37000,129.50600,262.87600,638.50800,0.20600,3823.06700,1757.26200,2395.77000
