,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2021-12-31,1669.45300,569.01400,811.41000,286.42200,3336.29900,607.22600,506.22500,75.47000,1655.09700,4991.39600,1450.17600,662.53100,86.58400,1452.22600,2902.40200,0.15800,1027.83300,-47.61000,2088.99400,4991.39600
2020-12-31,1517.36100,527.34000,895.97400,282.30000,3222.97500,658.67800,515.50900,72.87600,1807.65300,5030.62800,1413.27600,1003.55600,98.38900,1941.35900,3354.63500,0.15000,673.85500,-59.18500,1675.99300,5030.62800
2019-12-31,788.07200,708.71400,892.25800,313.16500,2702.20900,792.14800,586.52290,88.34100,2141.32200,4843.53100,1422.00900,592.68700,98.11300,1271.43500,2693.44400,0.14900,1226.98600,-50.76500,2150.08700,4843.53100
2018-12-31,557.40300,652.54600,1019.49600,364.18300,2593.62800,826.86800,588.28700,123.81900,1651.39400,4245.02200,1315.97700,703.83400,208.34000,912.17400,2228.15100,0.14800,1139.08200,-38.98700,2016.87100,4245.02200
2017-12-31,312.48300,609.67000,1158.54800,256.97800,2337.67900,885.77400,602.66900,97.44400,1668.68800,4006.36700,1060.37500,765.04600,162.30400,927.35000,1987.72500,0.14600,1184.44100,-38.21100,2018.64200,4006.36700
2016-12-31,250.47000,622.68500,917.49100,174.50700,1965.15300,804.21100,627.90100,110.20400,1679.17800,3644.33100,685.81600,790.38800,137.22700,927.61500,1613.43100,0.14500,1259.41400,-52.14300,2030.90000,3644.33100
2015-12-31,129.85200,433.63800,783.03100,152.24200,1498.76300,538.53100,660.86700,75.65200,1367.20700,2865.97000,478.81000,624.07000,94.86800,718.93800,1197.74800,0.14400,1076.53300,-45.01300,1668.22200,2865.97000
2014-12-31,593.17500,279.83500,536.71400,87.17700,1549.39900,305.56400,149.48600,57.06400,545.68400,2095.08300,421.62700,255.25000,67.90600,323.15600,744.78300,0.07100,856.68700,-14.80800,1350.30000,2095.08300
2013-12-31,347.48900,209.95200,469.00600,63.98700,1128.81100,223.95200,146.34100,47.54300,448.93000,1577.74100,426.63000,47.95100,49.80600,97.75700,524.38700,0.07000,653.84200,2.19400,1053.35400,1577.74100
2012-12-31,341.84100,175.52400,319.28600,43.89600,903.59800,180.85000,4.48300,45.54600,253.48500,1157.08300,252.22800,52.75700,35.17600,87.93300,340.16100,0.03500,493.18100,2.36800,816.92200,1157.08300
2011-12-31,175.38400,134.04300,324.40900,39.64300,689.66300,159.13500,5.53500,48.99200,229.54700,919.21000,183.60700,70.84200,28.32900,99.17100,282.77800,0.03400,366.16400,2.02800,636.43200,919.21000
2010-12-31,203.87000,102.03400,215.35500,19.32600,555.85000,76.12700,3.91400,18.21200,119.52800,675.37800,149.14700,9.07700,20.18800,29.26500,178.41200,0.01700,270.02100,2.04100,496.96600,675.37800
2009-12-31,187.29700,79.35600,148.48800,19.98900,448.00000,72.92600,5.68100,5.07300,97.58800,545.58800,120.16200,10.94800,14.48100,25.42900,145.59100,0.01700,202.18800,0.46400,399.99700,545.58800
