,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,113762.00000,40258.00000,2670.00000,,8105.00000,164795.00000,112668.00000,30492.00000,31044.00000,6623.00000,200469.00000,365264.00000,69300.00000,14701.00000,11505.00000,39820.00000,109120.00000,12849.00000,195563.00000,-7603.00000,256144.00000,365264.00000
2021-12-31,139649.00000,39304.00000,1170.00000,,8020.00000,188143.00000,97599.00000,29549.00000,24373.00000,5361.00000,171125.00000,359268.00000,64254.00000,14817.00000,11381.00000,43379.00000,107633.00000,13242.00000,191484.00000,-1623.00000,251635.00000,359268.00000
2020-12-31,136694.00000,31384.00000,728.00000,,5490.00000,174296.00000,84749.00000,20703.00000,22620.00000,3953.00000,145320.00000,319616.00000,56834.00000,13932.00000,11118.00000,40238.00000,97072.00000,0.67600,163401.00000,633.00000,222544.00000,319616.00000
2019-12-31,119675.00000,27492.00000,999.00000,,4412.00000,152578.00000,73646.00000,13078.00000,22603.00000,2342.00000,123331.00000,275909.00000,45221.00000,4554.00000,12419.00000,29246.00000,74467.00000,0.68800,152122.00000,-1232.00000,201442.00000,275909.00000
2018-12-31,109140.00000,21193.00000,1107.00000,,4236.00000,135676.00000,59719.00000,13859.00000,20108.00000,2693.00000,97116.00000,232792.00000,34620.00000,4012.00000,14872.00000,20544.00000,55164.00000,0.69600,134885.00000,-2306.00000,177628.00000,232792.00000
2017-12-31,101871.00000,18705.00000,749.00000,,2983.00000,124308.00000,42383.00000,7813.00000,19439.00000,2672.00000,72987.00000,197295.00000,24183.00000,3969.00000,15871.00000,20610.00000,44793.00000,0.69400,113247.00000,-992.00000,152502.00000,197295.00000
2016-12-31,86333.00000,14232.00000,268.00000,,4575.00000,105408.00000,34234.00000,5878.00000,19775.00000,1819.00000,62089.00000,167497.00000,16756.00000,3935.00000,7342.00000,11705.00000,28461.00000,0.69100,105131.00000,-2402.00000,139036.00000,167497.00000
2015-12-31,73066.00000,13909.00000,491.00000,2648.00000,,90114.00000,29016.00000,5183.00000,19716.00000,3181.00000,57347.00000,147461.00000,19310.00000,1995.00000,5485.00000,7820.00000,27130.00000,0.68800,89223.00000,-1874.00000,120331.00000,147461.00000
2014-12-31,64395.00000,10849.00000,,3412.00000,,78656.00000,23883.00000,3079.00000,20206.00000,3187.00000,50531.00000,129187.00000,16779.00000,3228.00000,4458.00000,8548.00000,25327.00000,0.68000,75066.00000,27.00000,103860.00000,129187.00000
2013-12-31,58717.00000,9390.00000,,3253.00000,,72886.00000,16524.00000,1976.00000,17558.00000,1976.00000,38034.00000,110920.00000,15908.00000,2236.00000,3381.00000,7703.00000,23611.00000,0.67200,61262.00000,125.00000,87309.00000,110920.00000
2012-12-31,48088.00000,8585.00000,505.00000,2132.00000,,60454.00000,11854.00000,1469.00000,18010.00000,2011.00000,33344.00000,93798.00000,14337.00000,2988.00000,2786.00000,7746.00000,22083.00000,0.33000,48342.00000,538.00000,71715.00000,93798.00000
2011-12-31,44626.00000,6172.00000,35.00000,1710.00000,,52758.00000,9603.00000,790.00000,8924.00000,499.00000,19816.00000,72574.00000,8913.00000,2986.00000,2199.00000,5516.00000,14429.00000,0.32500,37605.00000,276.00000,58145.00000,72574.00000
2010-12-31,34975.00000,5002.00000,,1326.00000,,41562.00000,7759.00000,523.00000,7300.00000,442.00000,16289.00000,57851.00000,9996.00000,,1579.00000,1614.00000,11610.00000,0.32100,27868.00000,138.00000,46241.00000,57851.00000
2009-12-31,24485.00000,3201.00000,,837.00000,,29167.00000,4845.00000,129.00000,5678.00000,415.00000,11330.00000,40497.00000,2747.00000,,1704.00000,1746.00000,4493.00000,0.31800,20082.00000,105.00000,36004.00000,40497.00000
