,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,22185.00000,2952.00000,12839.00000,2941.00000,40917.00000,23548.00000,409.00000,9866.00000,41421.00000,82338.00000,26709.00000,1597.00000,5330.00000,10140.00000,36849.00000,3.00000,12885.00000,-361.00000,45489.00000,82338.00000
2021-12-31,17707.00000,1913.00000,5757.00000,1723.00000,27100.00000,18884.00000,457.00000,9163.00000,35031.00000,62131.00000,19705.00000,5245.00000,3546.00000,11411.00000,31116.00000,3.00000,329.00000,54.00000,31015.00000,62131.00000
2020-12-31,19384.00000,1886.00000,4101.00000,1346.00000,26717.00000,12747.00000,520.00000,7515.00000,25431.00000,52148.00000,14248.00000,9607.00000,3330.00000,14825.00000,29073.00000,1.00000,-5399.00000,363.00000,23075.00000,52148.00000
2019-12-31,6268.00000,1324.00000,3552.00000,959.00000,12103.00000,10396.00000,537.00000,7608.00000,22206.00000,34309.00000,10667.00000,11634.00000,2691.00000,16175.00000,26842.00000,1.00000,-6083.00000,-36.00000,7467.00000,34309.00000
2018-12-31,3879.00000,949.00000,3113.00000,366.00000,8307.00000,11330.00000,350.00000,7241.00000,21433.00000,29740.00000,9993.00000,9404.00000,3039.00000,13990.00000,23983.00000,,-5318.00000,-8.00000,5757.00000,29740.00000
2017-12-31,3523.23700,515.38100,2263.53700,268.36500,6570.52000,10027.52000,421.73900,7062.33500,22084.85000,28655.37000,7674.67000,9418.39000,4752.19200,15746.12000,23420.78000,0.16900,-4974.29900,33.34800,5234.58800,28655.37000
2016-12-31,3498.73500,499.14200,2067.45400,194.46500,6259.79600,5982.95700,376.14500,6404.79600,16404.28000,22664.08000,5827.00500,5879.12000,4201.03600,11298.98000,17125.99000,0.16100,-2997.23700,-23.74000,5538.08600,22664.08000
2015-12-31,1219.53600,168.96500,1277.83800,115.66700,2782.00600,3403.33400,12.81600,78.38000,5285.93300,8067.93900,2811.03500,2068.37800,1658.71700,4173.20000,6984.23500,0.13100,-2322.32300,-3.55600,1083.70400,8067.93900
2014-12-31,1923.66000,226.60400,953.67500,76.13400,3180.07300,1829.26700,,54.58300,2650.59400,5830.66700,2107.16600,1876.98100,642.53900,2811.79100,4918.95700,0.12600,-1433.66000,-0.02200,911.71000,5830.66700
2013-12-31,848.90100,49.10900,340.35500,27.57400,1265.93900,738.49400,,30.07200,1150.99100,2416.93000,675.16000,598.97400,294.49600,1074.65000,1749.81000,0.12300,-1139.62000,,667.12000,2416.93000
2012-12-31,220.98400,26.84200,268.50400,8.43800,524.76800,552.22900,,27.12200,589.42200,1114.19000,539.10800,411.46000,35.86200,450.38200,989.49000,0.11500,-1065.60600,,124.70000,1114.19000
2011-12-31,303.80300,9.53900,50.08200,9.41400,372.83800,298.41400,,30.43900,340.61000,713.44800,191.33900,271.16500,23.75300,298.06400,489.40300,0.10400,-669.39200,-0.00300,224.04500,713.44800
2010-12-31,173.15500,6.71000,45.18200,10.83900,235.88600,114.63600,,27.59700,150.19600,386.08200,85.56500,72.32400,18.36200,93.46900,179.03400,0.09500,-414.98200,,207.04800,386.08200
2009-12-31,69.62700,3.48800,23.22200,4.22200,100.55900,23.53500,,6.33000,29.86500,130.42400,57.48900,0.80000,3.45900,326.45800,383.94700,0.00700,-260.65400,,-253.52300,130.42400
