,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,3207.00000,4756.00000,9886.00000,1770.00000,19619.00000,6710.00000,4431.00000,26387.00000,3931.00000,42062.00000,61681.00000,27336.00000,34875.00000,3825.00000,40656.00000,67992.00000,34289.00000,-9559.00000,-6311.00000,61681.00000
2021-12-31,4496.00000,3940.00000,8720.00000,561.00000,17717.00000,6168.00000,4463.00000,9498.00000,2549.00000,23573.00000,41290.00000,19255.00000,24783.00000,4734.00000,30243.00000,49498.00000,33082.00000,-9577.00000,-8208.00000,41290.00000
2020-12-31,7280.00000,3761.00000,9591.00000,860.00000,21492.00000,6365.00000,4798.00000,7983.00000,2767.00000,23323.00000,44815.00000,19615.00000,28168.00000,6979.00000,35831.00000,55446.00000,31638.00000,-11181.00000,-10631.00000,44815.00000
2019-12-31,6861.00000,3717.00000,9235.00000,701.00000,20514.00000,6631.00000,4635.00000,7971.00000,1971.00000,22361.00000,42875.00000,18833.00000,26656.00000,6077.00000,33641.00000,52474.00000,30987.00000,-9363.00000,-9599.00000,42875.00000
2018-12-31,6593.00000,3564.00000,8804.00000,481.00000,19442.00000,7201.00000,1269.00000,9467.00000,1445.00000,20359.00000,39801.00000,17191.00000,26975.00000,5476.00000,33349.00000,50540.00000,31014.00000,-10111.00000,-10739.00000,39801.00000
2017-12-31,8447.00000,3738.00000,8806.00000,603.00000,21594.00000,7271.00000,1074.00000,10098.00000,1924.00000,21374.00000,42968.00000,15962.00000,31334.00000,5103.00000,37236.00000,53198.00000,29859.00000,-8535.00000,-10230.00000,42968.00000
2016-12-31,4239.00000,3499.00000,9017.00000,853.00000,17608.00000,6064.00000,1011.00000,9794.00000,1515.00000,19243.00000,36851.00000,16467.00000,25851.00000,3536.00000,31284.00000,47751.00000,30397.00000,-9559.00000,-10900.00000,36851.00000
2015-12-31,3417.00000,2778.00000,8473.00000,648.00000,15804.00000,5721.00000,890.00000,10038.00000,1143.00000,18152.00000,33956.00000,15386.00000,25250.00000,3253.00000,30046.00000,45432.00000,29842.00000,-9402.00000,-11476.00000,33956.00000
2014-12-31,1682.00000,4004.00000,8592.00000,673.00000,15484.00000,6071.00000,1083.00000,11373.00000,1176.00000,19703.00000,35187.00000,15112.00000,26929.00000,2800.00000,31278.00000,46390.00000,29249.00000,-6826.00000,-11203.00000,35187.00000
2013-12-31,2154.00000,3853.00000,9846.00000,497.00000,16852.00000,6755.00000,1536.00000,12086.00000,939.00000,21316.00000,38168.00000,17066.00000,24023.00000,1876.00000,27376.00000,44442.00000,27843.00000,-4190.00000,-6274.00000,38168.00000
2012-12-31,2983.00000,3589.00000,8949.00000,619.00000,16590.00000,6645.00000,24.00000,13519.00000,892.00000,21080.00000,37670.00000,17016.00000,17639.00000,2993.00000,23808.00000,40824.00000,25076.00000,-3604.00000,-3154.00000,37670.00000
2011-12-31,2550.00000,3201.00000,8120.00000,591.00000,14859.00000,6250.00000,,13625.00000,754.00000,20629.00000,35488.00000,14794.00000,14828.00000,2127.00000,20143.00000,34937.00000,21757.00000,-2863.00000,551.00000,35488.00000
2010-12-31,1703.00000,3009.00000,8317.00000,356.00000,13756.00000,6499.00000,,14034.00000,761.00000,21294.00000,35050.00000,12804.00000,13370.00000,1728.00000,18313.00000,31117.00000,18133.00000,-1140.00000,3933.00000,35050.00000
2009-12-31,1540.00000,3098.00000,9207.00000,532.00000,14682.00000,6390.00000,,12658.00000,822.00000,19870.00000,34552.00000,11178.00000,13672.00000,1869.00000,17229.00000,28407.00000,15358.00000,-817.00000,6145.00000,34552.00000
