,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,6492.00000,11252.00000,4699.00000,,22593.00000,8507.00000,1216.00000,59127.00000,,73890.00000,96483.00000,26293.00000,22965.00000,5330.00000,33132.00000,59425.00000,387.00000,-574.00000,2069.00000,37058.00000,96483.00000
2021-12-31,6481.00000,10307.00000,8983.00000,105.00000,26244.00000,9183.00000,1339.00000,62384.00000,,79119.00000,105363.00000,22594.00000,28134.00000,5934.00000,43482.00000,66076.00000,387.00000,1710.00000,2045.00000,39287.00000,105363.00000
2020-12-31,8134.00000,7386.00000,4024.00000,,19544.00000,8251.00000,1318.00000,32792.00000,,47185.00000,66729.00000,20307.00000,17505.00000,6670.00000,30784.00000,51091.00000,328.00000,5299.00000,2024.00000,15638.00000,66729.00000
2019-12-31,6254.00000,6046.00000,3193.00000,,15563.00000,7688.00000,1520.00000,32501.00000,,45814.00000,61377.00000,18117.00000,15730.00000,7150.00000,28664.00000,46781.00000,328.00000,2812.00000,2046.00000,14596.00000,61377.00000
2018-12-31,5938.00000,5781.00000,2890.00000,,15591.00000,7421.00000,1079.00000,33666.00000,,45060.00000,60651.00000,16292.00000,17359.00000,7159.00000,30315.00000,46607.00000,317.00000,5683.00000,2041.00000,14044.00000,60651.00000
2017-12-31,4582.00000,5533.00000,3035.00000,,13150.00000,7615.00000,1540.00000,38013.00000,,50204.00000,63354.00000,16383.00000,15560.00000,8191.00000,30329.00000,46712.00000,317.00000,8221.00000,2029.00000,16642.00000,63354.00000
2016-12-31,5929.00000,4999.00000,2334.00000,,13262.00000,6848.00000,1169.00000,39244.00000,,49264.00000,62526.00000,15256.00000,14501.00000,9958.00000,30601.00000,45857.00000,316.00000,8140.00000,2047.00000,16669.00000,62526.00000
2015-12-31,6855.00000,7009.00000,2143.00000,,16007.00000,6413.00000,989.00000,34446.00000,,44049.00000,60056.00000,14869.00000,14137.00000,7902.00000,26678.00000,41547.00000,316.00000,11834.00000,2036.00000,18509.00000,60056.00000
2014-12-31,7176.00000,7561.00000,1960.00000,,16697.00000,6010.00000,1026.00000,32531.00000,,41898.00000,58595.00000,17330.00000,8397.00000,8475.00000,21619.00000,38949.00000,316.00000,13029.00000,2021.00000,19646.00000,58595.00000
2013-12-31,10053.00000,8373.00000,1909.00000,,20335.00000,5818.00000,646.00000,26028.00000,,35564.00000,55899.00000,16051.00000,8588.00000,2919.00000,16595.00000,32646.00000,315.00000,16960.00000,1966.00000,23253.00000,55899.00000
2012-12-31,8555.00000,8432.00000,2061.00000,,19048.00000,6089.00000,588.00000,26346.00000,,34486.00000,53534.00000,13903.00000,9409.00000,1429.00000,15685.00000,29588.00000,312.00000,17955.00000,1960.00000,23946.00000,53534.00000
2011-12-31,11844.00000,9810.00000,1852.00000,,23506.00000,6425.00000,543.00000,20842.00000,,29324.00000,52830.00000,15752.00000,7338.00000,859.00000,13612.00000,29364.00000,323.00000,17888.00000,1951.00000,23466.00000,52830.00000
2010-12-31,12559.00000,10890.00000,1682.00000,,25131.00000,6957.00000,535.00000,22029.00000,,30996.00000,56127.00000,16787.00000,9097.00000,1216.00000,15930.00000,32717.00000,352.00000,18272.00000,1917.00000,23410.00000,56127.00000
2009-12-31,11402.00000,7709.00000,1750.00000,2899.00000,23760.00000,7307.00000,184.00000,22115.00000,262.00000,31160.00000,54920.00000,17640.00000,9137.00000,4075.00000,16459.00000,34099.00000,363.00000,16198.00000,2080.00000,20821.00000,54920.00000
