,cash-on-hand,receivables-total,total-current-assets,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,799.00000,21588.00000,22387.00000,81104.00000,4239.00000,3274.00000,93330.00000,115717.00000,80904.00000,7292.00000,5961.00000,13253.00000,94157.00000,24565.00000,43516.00000,-6445.00000,21560.00000,115717.00000
2021-12-31,761.00000,21329.00000,22090.00000,87990.00000,4314.00000,3530.00000,98376.00000,120466.00000,77671.00000,7290.00000,6329.00000,13908.00000,91579.00000,24154.00000,41555.00000,1193.00000,28887.00000,120466.00000
2020-12-31,721.00000,21193.00000,21914.00000,85026.00000,4293.00000,3173.00000,94850.00000,116764.00000,74360.00000,6550.00000,6095.00000,13203.00000,87563.00000,23743.00000,38771.00000,2502.00000,29201.00000,116764.00000
2019-12-31,494.00000,21432.00000,21926.00000,78502.00000,4291.00000,3130.00000,88196.00000,110122.00000,71435.00000,6558.00000,6049.00000,12744.00000,84179.00000,23469.00000,36977.00000,640.00000,25943.00000,110122.00000
2018-12-31,373.00000,21239.00000,21612.00000,72902.00000,4282.00000,2872.00000,82621.00000,104233.00000,69297.00000,6564.00000,5478.00000,12042.00000,81339.00000,23144.00000,35204.00000,-1859.00000,22894.00000,104233.00000
2017-12-31,344.00000,20779.00000,21123.00000,73108.00000,4293.00000,2864.00000,82360.00000,103483.00000,67614.00000,6571.00000,5567.00000,12138.00000,79752.00000,22886.00000,33462.00000,-343.00000,23731.00000,103483.00000
2016-12-31,307.00000,20207.00000,20514.00000,71118.00000,3848.00000,2377.00000,79731.00000,100245.00000,65160.00000,6437.00000,5427.00000,11864.00000,77024.00000,22614.00000,32196.00000,-755.00000,23221.00000,100245.00000
2015-12-31,380.00000,20377.00000,20757.00000,71112.00000,3852.00000,2318.00000,79427.00000,100184.00000,64936.00000,6344.00000,5306.00000,11650.00000,76586.00000,22172.00000,29945.00000,-157.00000,23598.00000,100184.00000
2014-12-31,374.00000,20598.00000,20972.00000,73946.00000,3915.00000,2377.00000,82106.00000,103078.00000,66387.00000,6349.00000,5506.00000,11855.00000,78242.00000,21843.00000,27251.00000,880.00000,24836.00000,103078.00000
2013-12-31,294.00000,20967.00000,21261.00000,73894.00000,3985.00000,2565.00000,82551.00000,103812.00000,67371.00000,6346.00000,5299.00000,11645.00000,79016.00000,21500.00000,24291.00000,810.00000,24796.00000,103812.00000
2012-12-31,330.00000,22246.00000,22576.00000,74590.00000,3746.00000,2234.00000,82362.00000,104938.00000,67315.00000,6350.00000,5530.00000,12218.00000,79533.00000,21161.00000,21352.00000,2236.00000,25405.00000,104938.00000
2011-12-31,214.00000,22899.00000,23113.00000,73469.00000,3798.00000,2402.00000,81462.00000,104575.00000,68069.00000,6605.00000,5424.00000,12029.00000,80098.00000,20732.00000,19579.00000,2005.00000,24477.00000,104575.00000
2010-12-31,200.00000,23647.00000,23847.00000,73513.00000,3867.00000,2154.00000,81809.00000,105656.00000,68277.00000,6611.00000,5293.00000,11904.00000,80181.00000,20162.00000,18847.00000,1255.00000,25475.00000,105656.00000
2009-12-31,255.00000,25000.00000,25255.00000,75790.00000,3953.00000,2132.00000,84305.00000,109560.00000,70331.00000,6527.00000,5287.00000,11814.00000,82145.00000,19593.00000,16315.00000,1219.00000,27415.00000,109560.00000
