,cash-on-hand,receivables-total,inventory,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,83178.00000,107096.00000,,190274.00000,3714.00000,320945.00000,20740.00000,16099.00000,361498.00000,551772.00000,494336.00000,20828.00000,20828.00000,515164.00000,21.00000,31066.00000,-22621.00000,36608.00000,551772.00000
2021-12-31,116924.00000,125201.00000,,242125.00000,3442.00000,390054.00000,21331.00000,10318.00000,425145.00000,667270.00000,592095.00000,18914.00000,18914.00000,611009.00000,21.00000,25992.00000,-1109.00000,56261.00000,667270.00000
2020-12-31,90747.00000,88253.00000,,179000.00000,2883.00000,337400.00000,21943.00000,7783.00000,370009.00000,549009.00000,479317.00000,13632.00000,13632.00000,492949.00000,21.00000,21975.00000,5394.00000,56060.00000,549009.00000
2019-12-31,49828.00000,39979.00000,,89807.00000,2128.00000,196128.00000,1355.00000,4587.00000,204198.00000,294005.00000,264830.00000,7430.00000,7430.00000,272260.00000,15.00000,19960.00000,88.00000,21745.00000,294005.00000
2018-12-31,41501.00000,38260.00000,,79761.00000,1769.00000,210587.00000,1227.00000,3138.00000,216721.00000,296482.00000,268934.00000,6878.00000,6878.00000,275812.00000,15.00000,17329.00000,-252.00000,20670.00000,296482.00000
2017-12-31,29356.00000,158629.00000,50534.00000,238519.00000,1471.00000,,1227.00000,2057.00000,4755.00000,243274.00000,219996.00000,4753.00000,4753.00000,224749.00000,15.00000,14408.00000,-152.00000,18525.00000,243274.00000
2016-12-31,33002.00000,33286.00000,449.00000,66737.00000,1299.00000,152568.00000,1371.00000,1408.00000,156646.00000,223383.00000,204086.00000,2876.00000,2876.00000,206962.00000,15.00000,12649.00000,-163.00000,16421.00000,223383.00000
2015-12-31,31576.00000,32229.00000,533.00000,64338.00000,1145.00000,115653.00000,1408.00000,1161.00000,119367.00000,183705.00000,167426.00000,2877.00000,2877.00000,170303.00000,15.00000,11253.00000,-134.00000,13402.00000,183705.00000
2014-12-31,32144.00000,29537.00000,516.00000,62197.00000,1039.00000,89172.00000,1454.00000,780.00000,92445.00000,154642.00000,140940.00000,1899.00000,1899.00000,142839.00000,15.00000,10198.00000,165.00000,11803.00000,154642.00000
2013-12-31,31281.00000,26879.00000,517.00000,58677.00000,790.00000,81936.00000,1493.00000,746.00000,84965.00000,143642.00000,131358.00000,1903.00000,1903.00000,133261.00000,15.00000,9253.00000,9.00000,10381.00000,143642.00000
2012-12-31,41132.00000,24517.00000,636.00000,66285.00000,675.00000,64317.00000,1547.00000,813.00000,67352.00000,133637.00000,122416.00000,1632.00000,1632.00000,124048.00000,15.00000,8554.00000,298.00000,9589.00000,133637.00000
2011-12-31,34713.00000,21184.00000,593.00000,56490.00000,685.00000,49073.00000,1487.00000,818.00000,52063.00000,108553.00000,98838.00000,2001.00000,2001.00000,100839.00000,15.00000,7978.00000,8.00000,7714.00000,108553.00000
2010-12-31,27680.00000,20560.00000,337.00000,48577.00000,624.00000,41755.00000,685.00000,927.00000,43991.00000,92568.00000,84336.00000,2006.00000,2006.00000,86342.00000,14.00000,7409.00000,16.00000,6226.00000,92568.00000
2009-12-31,26614.00000,16639.00000,916.00000,44169.00000,641.00000,28959.00000,528.00000,1134.00000,31262.00000,75431.00000,68846.00000,1512.00000,1512.00000,70358.00000,14.00000,7243.00000,-191.00000,5073.00000,75431.00000
