,cash-on-hand,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,53542.00000,437019.00000,3858.00000,161650.00000,19528.00000,52750.00000,237786.00000,674805.00000,556192.00000,39829.00000,27552.00000,67381.00000,623573.00000,21.00000,71901.00000,-11407.00000,51232.00000,674805.00000
2021-12-31,28905.00000,342984.00000,3305.00000,174821.00000,14000.00000,38174.00000,230300.00000,573284.00000,467879.00000,32125.00000,17893.00000,50018.00000,517897.00000,21.00000,69201.00000,-1943.00000,55387.00000,573284.00000
2020-12-31,62580.00000,361734.00000,3468.00000,136840.00000,12782.00000,39081.00000,192171.00000,553905.00000,441536.00000,41297.00000,17347.00000,58644.00000,500180.00000,21.00000,64188.00000,322.00000,53725.00000,553905.00000
2019-12-31,22405.00000,320065.00000,3702.00000,122613.00000,12878.00000,36168.00000,175361.00000,495426.00000,385639.00000,40167.00000,17137.00000,57304.00000,442943.00000,21.00000,63186.00000,-1373.00000,52483.00000,495426.00000
2018-12-31,21453.00000,306346.00000,2457.00000,112165.00000,12761.00000,33645.00000,161028.00000,467374.00000,359614.00000,41340.00000,14763.00000,56103.00000,415717.00000,21.00000,59065.00000,-2322.00000,51657.00000,467374.00000
2017-12-31,19505.00000,299566.00000,2432.00000,112499.00000,12662.00000,34881.00000,162474.00000,462040.00000,363866.00000,32259.00000,16249.00000,48508.00000,412374.00000,21.00000,54142.00000,-1404.00000,49666.00000,462040.00000
2016-12-31,15705.00000,289925.00000,2443.00000,109275.00000,12647.00000,31674.00000,156039.00000,445964.00000,348553.00000,33323.00000,16155.00000,49478.00000,398031.00000,21.00000,50151.00000,-1535.00000,47933.00000,445964.00000
2015-12-31,11147.00000,271317.00000,2513.00000,105587.00000,12711.00000,29725.00000,150536.00000,421853.00000,328277.00000,32078.00000,14681.00000,46759.00000,375036.00000,21.00000,46377.00000,-1019.00000,46817.00000,421853.00000
2014-12-31,10654.00000,259258.00000,2618.00000,101043.00000,12551.00000,27059.00000,143271.00000,402529.00000,312626.00000,32260.00000,13475.00000,45735.00000,358361.00000,21.00000,42530.00000,-896.00000,44168.00000,402529.00000
2013-12-31,8477.00000,242730.00000,2606.00000,79855.00000,12734.00000,26096.00000,121291.00000,364021.00000,289731.00000,20049.00000,12434.00000,32483.00000,322214.00000,21.00000,38667.00000,-1071.00000,41807.00000,364021.00000
2012-12-31,8252.00000,235133.00000,2670.00000,74528.00000,11849.00000,29675.00000,118722.00000,353855.00000,275485.00000,25516.00000,12587.00000,38103.00000,313588.00000,21.00000,34720.00000,-923.00000,40267.00000,353855.00000
2011-12-31,13962.00000,226200.00000,2657.00000,70814.00000,11663.00000,28788.00000,113922.00000,340122.00000,261353.00000,31953.00000,11845.00000,43798.00000,305151.00000,21.00000,30785.00000,-1200.00000,34971.00000,340122.00000
2010-12-31,14487.00000,214609.00000,2487.00000,52978.00000,12167.00000,25545.00000,93177.00000,307786.00000,236809.00000,31537.00000,9118.00000,40655.00000,277464.00000,21.00000,27005.00000,-1469.00000,30322.00000,307786.00000
2009-12-31,6206.00000,200654.00000,2263.00000,44768.00000,12417.00000,21074.00000,80522.00000,281176.00000,214554.00000,32580.00000,7381.00000,39961.00000,254515.00000,21.00000,24116.00000,-1484.00000,26661.00000,281176.00000
