,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-05-31,21902.00000,5953.00000,,3778.00000,31633.00000,9716.00000,45251.00000,9915.00000,77664.00000,109297.00000,19511.00000,72110.00000,17413.00000,95554.00000,115065.00000,26808.00000,-31336.00000,-1692.00000,-5768.00000,109297.00000
2021-05-31,46554.00000,5409.00000,,3604.00000,55567.00000,7049.00000,46365.00000,8490.00000,75540.00000,131107.00000,24164.00000,75995.00000,17132.00000,100991.00000,125155.00000,26533.00000,-20120.00000,-1175.00000,5952.00000,131107.00000
2020-05-31,43057.00000,5551.00000,,3532.00000,52140.00000,6244.00000,47507.00000,6295.00000,63298.00000,115438.00000,17200.00000,69226.00000,16254.00000,85521.00000,102721.00000,26486.00000,-12696.00000,-1716.00000,12717.00000,115438.00000
2019-05-31,37827.00000,5134.00000,,3425.00000,46386.00000,6252.00000,49058.00000,4317.00000,62323.00000,108709.00000,18630.00000,51673.00000,16043.00000,67716.00000,86346.00000,26909.00000,-3496.00000,-1628.00000,22363.00000,108709.00000
2018-05-31,67261.00000,5136.00000,,3762.00000,76159.00000,5897.00000,50425.00000,3975.00000,61692.00000,137851.00000,19124.00000,56128.00000,15726.00000,71854.00000,90978.00000,28950.00000,19111.00000,-1689.00000,46873.00000,137851.00000
2017-05-31,66078.00000,5300.00000,,3137.00000,74515.00000,5315.00000,50724.00000,3294.00000,60476.00000,134991.00000,24178.00000,48112.00000,8455.00000,56567.00000,80745.00000,27065.00000,27598.00000,-803.00000,54246.00000,134991.00000
2016-05-31,56125.00000,5385.00000,212.00000,2591.00000,64313.00000,4000.00000,39533.00000,3043.00000,47867.00000,112180.00000,17208.00000,40105.00000,7077.00000,47182.00000,64390.00000,24217.00000,23888.00000,-816.00000,47790.00000,112180.00000
2015-05-31,54368.00000,5618.00000,314.00000,2220.00000,62520.00000,3686.00000,40493.00000,2746.00000,48383.00000,110903.00000,15206.00000,39959.00000,6640.00000,46599.00000,61805.00000,23156.00000,26503.00000,-996.00000,49098.00000,110903.00000
2014-05-31,38819.00000,6087.00000,189.00000,2119.00000,48128.00000,3061.00000,35789.00000,2451.00000,42138.00000,90266.00000,14389.00000,22589.00000,5841.00000,28430.00000,42819.00000,21077.00000,25965.00000,-164.00000,47447.00000,90266.00000
2013-05-31,32216.00000,6049.00000,240.00000,2213.00000,41692.00000,3053.00000,33983.00000,2318.00000,40120.00000,81812.00000,12872.00000,18494.00000,5301.00000,23795.00000,36667.00000,18893.00000,25854.00000,-99.00000,45145.00000,81812.00000
2012-05-31,30676.00000,6377.00000,158.00000,1935.00000,40023.00000,3021.00000,33018.00000,1670.00000,38304.00000,78327.00000,15388.00000,13524.00000,5328.00000,18852.00000,34240.00000,17489.00000,26087.00000,112.00000,44087.00000,78327.00000
2011-05-31,28848.00000,6628.00000,303.00000,2206.00000,39174.00000,2857.00000,29413.00000,1015.00000,34361.00000,73535.00000,14192.00000,14772.00000,4326.00000,19098.00000,33290.00000,16653.00000,22581.00000,542.00000,40245.00000,73535.00000
2010-05-31,18469.00000,5585.00000,259.00000,1532.00000,27004.00000,2763.00000,29746.00000,798.00000,34574.00000,61578.00000,14691.00000,11510.00000,1059.00000,15688.00000,30379.00000,14648.00000,16146.00000,4.00000,31199.00000,61578.00000
2009-05-31,12624.00000,4430.00000,,866.00000,18581.00000,1922.00000,26111.00000,802.00000,28835.00000,47416.00000,9149.00000,9237.00000,682.00000,12822.00000,21971.00000,12980.00000,11894.00000,216.00000,25445.00000,47416.00000
