,cash-on-hand,receivables-total,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,141.79700,1174.91500,230.43300,1547.14500,5115.44400,6305.87900,588.34200,14593.37000,16140.51000,1917.56400,10481.45000,317.37600,13586.16000,15503.72000,2.90800,-3392.27200,-442.00300,636.79300,16140.51000
2021-12-31,255.82800,961.41900,224.02000,1441.26700,4668.14400,5644.57400,381.62400,13008.76000,14450.03000,2018.58000,8962.51300,144.05300,11574.38000,13592.96000,2.89800,-3221.15200,-338.34700,857.06800,14450.03000
2020-12-31,205.06300,859.34400,205.38000,1269.78700,4502.44300,5884.58600,295.94900,12879.48000,14149.27000,1995.69500,8509.55500,204.50800,11016.84000,13012.54000,2.88300,-2950.33900,-255.89300,1136.72900,14149.27000
2019-12-31,193.55500,850.70100,192.08300,1236.33900,4623.03700,5878.39200,209.94700,12580.48000,13816.82000,1949.50900,8275.56600,143.01800,10403.08000,12352.59000,2.87300,-2574.89600,-262.58100,1464.22700,13816.82000
2018-12-31,165.48500,846.88900,195.74000,1208.11400,4489.55700,5947.55200,211.99500,10649.10000,11857.22000,1490.77500,8016.41700,111.33100,8503.98000,9994.75500,2.86300,-2139.49300,-265.66400,1862.46300,11857.22000
2017-12-31,925.69900,835.74200,188.87400,1950.31500,3417.67900,5470.81400,133.59400,9022.08700,10972.40000,1330.17300,6896.97100,73.03900,7343.38700,8673.55800,2.83100,-1765.96600,-103.98900,2298.84200,10972.40000
2016-12-31,236.48400,691.24900,184.37400,1112.10700,3083.32600,5157.54400,133.82300,8374.69300,9486.80000,1046.55700,6078.20600,99.54000,6503.57200,7550.12900,2.63600,-1343.31100,-212.57300,1936.67100,9486.80000
2015-12-31,128.38100,564.40100,142.95100,857.91200,2497.15800,2964.29200,31.22500,5492.67500,6350.58700,841.83100,4757.61000,71.84400,4980.14900,5821.98000,2.11300,-942.21800,-174.91700,528.60700,6350.58700
2014-12-31,159.79300,604.26500,139.46900,917.71900,2550.72700,3031.62000,23.19900,5605.54600,6523.26500,856.73600,4564.35900,73.50600,4796.57400,5653.31000,2.09800,-659.55300,-75.03100,869.95500,6523.26500
2013-12-31,154.38600,616.79700,144.80100,933.60700,2578.26000,3068.83600,26.69500,5719.39700,6653.00500,969.10100,4119.13900,68.21900,4632.17000,5601.27100,1.91400,67.82000,-8.66000,1051.73400,6653.00500
2012-12-31,277.02700,572.20000,164.71300,1024.09200,2477.72700,2790.87900,21.79100,5334.24700,6358.33900,904.95300,3732.11600,62.91700,4290.93800,5195.89100,1.90000,185.55800,20.31400,1162.44800,6358.33900
2011-12-31,214.95500,543.46700,105.53700,914.45000,2407.08300,2664.41700,19.51000,5126.80800,6041.25800,849.03000,3280.26800,53.16900,3937.97200,4787.00200,1.72100,902.56700,-2.20300,1254.25600,6041.25800
2010-12-31,293.79800,524.32600,136.90500,1212.46200,2468.24400,2659.36900,27.68600,5203.93100,6416.39300,874.70300,2912.12600,86.60500,3588.82500,4463.52800,2.00100,685.31000,29.48200,1952.86500,6416.39300
2009-12-31,446.65600,585.37600,141.46900,1211.42500,2568.20000,2973.52500,58.47800,5635.40900,6846.83400,814.71400,3211.22300,105.85600,3874.64900,4689.36300,2.03500,825.01400,27.66100,2157.47100,6846.83400
