,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-02-28,650.81500,560.98400,5124.56900,,212.92200,6549.29000,3209.06800,141.25800,490.65900,19788.97000,26338.26000,2047.45700,18175.02000,357.08000,19055.37000,21102.82000,80.52700,3524.06600,-46.42200,5235.43900,26338.26000
2021-02-28,628.73400,239.07000,3157.15900,,91.83300,4116.79600,3055.56300,0.65300,282.79700,17424.75000,21541.54000,1698.54800,14619.92000,434.84300,15478.38000,17176.93000,81.58600,2887.89700,-118.69100,4364.61300,21541.54000
2020-02-29,539.25400,191.09000,2846.41600,,86.92700,3663.68700,3069.10200,,258.74600,17418.49000,21082.18000,1534.70700,14944.06000,393.87300,15778.60000,17313.31000,81.54100,2488.41700,-150.07100,3768.87500,21082.18000
2019-02-28,487.60700,139.85000,2519.45500,,67.10100,3214.01300,2828.05800,,185.96300,15503.85000,18717.87000,1311.50900,13776.53000,272.79600,14049.33000,15360.84000,83.73900,2104.14600,-68.01000,3357.02800,18717.87000
2018-02-28,443.96700,133.32100,2390.69400,,93.46200,3061.44400,2667.06100,,158.80700,14424.83000,17486.27000,1174.05800,12752.81000,242.55300,12995.37000,14169.42000,89.87400,2047.24000,-54.31200,3316.84900,17486.27000
2017-02-28,418.76900,152.38800,2260.56300,,41.91000,2873.63000,2518.39300,,140.29500,13405.73000,16279.36000,1105.78700,11826.44000,238.55100,12064.99000,13170.78000,93.27400,1883.28300,-56.55500,3108.58000,16279.36000
2016-02-29,381.22300,132.17100,1932.02900,,26.35800,2471.78100,2161.69800,,127.67800,11988.13000,14459.91000,1005.19300,10320.66000,229.27400,10549.93000,11555.13000,97.35600,1746.80400,-70.19600,2904.78600,14459.91000
2015-02-28,321.72800,137.69000,2086.87400,,44.64600,2590.93800,1862.53800,,133.48300,10607.26000,13198.20000,997.17300,8818.75000,225.49300,9044.24300,10041.42000,104.43500,1994.22100,-65.39100,3156.78500,13198.20000
2014-02-28,887.20000,79.92300,1641.42400,,26.81100,2643.22400,1652.97700,,110.90900,9063.93400,11707.16000,875.49700,7340.43100,174.23200,7514.66300,8390.16000,110.84300,2214.21600,-46.27100,3316.99700,11707.16000
2013-02-28,673.65100,91.96100,1517.81300,,21.51300,2310.13100,1428.97000,,107.70800,7578.47100,9888.60200,684.17300,6009.62700,175.63500,6185.26200,6869.43500,112.95300,1993.77200,-59.80800,3019.16700,9888.60200
2012-02-29,646.97200,86.43400,1092.59200,,17.51200,1853.44800,1278.72200,,106.39200,6478.09500,8331.54300,646.31300,4863.31800,148.80000,5012.11800,5658.43100,113.55900,1744.51900,-62.45900,2673.11200,8331.54300
2011-02-28,202.17300,119.59700,1049.47700,,33.66000,1410.09800,1175.31700,,95.87400,5715.45100,7125.54900,522.67100,4248.75900,114.87000,4363.62900,4886.30000,112.94300,1330.72400,-25.05700,2239.24900,7125.54900
2010-02-28,18.27800,651.81100,843.13300,7.01700,,1556.41200,893.45300,,49.09200,999.77900,2556.19100,477.35100,27.37100,,145.25800,622.60900,111.53300,1095.46100,-19.54600,1933.58200,2556.19100
2009-02-28,140.59700,424.13800,703.15700,10.11200,,1287.75200,938.25900,,50.01300,1091.43500,2379.18700,490.77000,178.06200,,295.35000,786.12000,110.19600,813.79300,-16.86000,1593.06700,2379.18700
