,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-01-31,10537.00000,9739.00000,1120.00000,1454.00000,22850.00000,2815.00000,4784.00000,56915.00000,2342.00000,72359.00000,95209.00000,21788.00000,10592.00000,1995.00000,15290.00000,37078.00000,1.00000,7377.00000,-166.00000,58131.00000,95209.00000
2021-01-31,11966.00000,7786.00000,991.00000,1146.00000,21889.00000,2459.00000,3909.00000,30432.00000,1715.00000,44412.00000,66301.00000,17728.00000,2673.00000,1565.00000,7080.00000,24808.00000,1.00000,5933.00000,-42.00000,41493.00000,66301.00000
2020-01-31,7947.00000,6174.00000,916.00000,926.00000,15963.00000,2375.00000,1963.00000,29858.00000,1348.00000,39163.00000,55126.00000,14845.00000,2673.00000,1278.00000,6396.00000,21241.00000,1.00000,1861.00000,-93.00000,33885.00000,55126.00000
2019-01-31,4342.00000,4924.00000,629.00000,788.00000,10683.00000,2051.00000,1302.00000,14774.00000,1232.00000,20054.00000,30737.00000,11255.00000,3173.00000,704.00000,3877.00000,15132.00000,1.00000,1735.00000,-58.00000,15605.00000,30737.00000
2018-01-31,4521.00000,3921.00000,471.00000,671.00000,9584.00000,1947.00000,677.00000,8141.00000,1489.00000,12400.00000,21984.00000,10067.00000,695.00000,846.00000,1541.00000,11608.00000,1.00000,635.00000,-12.00000,10376.00000,21984.00000
2017-01-31,2208.88700,3196.64300,279.52700,,5996.82700,1787.53400,566.95300,8377.22100,486.86900,11588.10000,17584.92000,7295.46600,2008.39100,780.93900,2789.33000,10084.80000,0.70800,-464.91000,-75.84100,7500.12700,17584.92000
2016-01-31,2725.37700,2496.16500,250.59400,,5731.32300,1715.82800,520.72100,4339.94300,142.09700,7031.59700,12762.92000,5617.00500,1286.09500,833.06500,2143.04600,7760.05100,0.67100,-653.27100,-49.91700,5002.86900,12762.92000
2015-01-31,995.42900,1905.50600,245.02600,143.19700,3514.54400,1125.86600,1070.62900,3782.66000,575.23400,7150.58300,10665.13000,4390.10300,1370.69200,894.46800,2299.84100,6689.94400,0.65100,-605.84500,-24.10800,3975.18300,10665.13000
2014-01-31,838.77400,1360.83700,309.18000,,2680.25200,1240.74600,482.24300,3500.82300,613.49000,6472.67800,9152.93000,3980.18800,1301.93000,783.89200,2134.23200,6114.42000,0.61000,-343.15700,17.68000,3038.51000,9152.93000
2013-01-31,867.62100,872.63400,133.31400,,2015.88000,604.66900,890.66400,1529.37800,168.96000,3513.07600,5528.95600,2917.62400,,229.34400,293.69900,3211.32300,0.58600,-110.98200,17.13700,2317.63300,5528.95600
2012-01-31,777.86600,683.74500,80.31900,,1672.22200,527.94600,669.30800,785.38100,155.14900,2491.93200,4164.15400,2300.03100,72.09100,115.99900,276.76300,2576.79400,0.13700,159.46300,12.68300,1587.36000,4164.15400
2011-01-31,496.97000,426.94300,55.72100,,1074.92400,387.17400,910.58700,396.08100,104.37100,2016.24100,3091.16500,1276.46600,498.02500,18.48100,538.20800,1814.67400,0.13300,171.03500,6.71900,1276.49100,3091.16500
2010-01-31,1241.96500,320.95600,55.73400,,1706.15900,89.71100,485.08300,48.95500,39.76500,754.04210,2460.20100,908.13000,463.68300,17.55100,495.40500,1403.53500,0.12700,106.56100,-1.43000,1056.66600,2460.20100
2009-01-31,697.60300,266.55500,33.11500,,1068.55700,77.02700,184.96200,44.87200,30.12700,411.26500,1479.82200,766.96600,7.61600,12.49000,30.36900,797.33500,0.12300,25.84200,-2.90500,682.48700,1479.82200
