,cash-on-hand,receivables-total,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,7471.00000,763.00000,1056.00000,9290.00000,1238.00000,1797.00000,4262.00000,581.00000,11560.00000,20850.00000,4271.00000,7721.00000,1042.00000,11426.00000,15697.00000,2.00000,34315.00000,259.00000,5153.00000,20850.00000
2021-12-31,7323.00000,681.00000,1107.00000,9111.00000,1236.00000,7966.00000,4178.00000,591.00000,17515.00000,26626.00000,4622.00000,7727.00000,1183.00000,12226.00000,16848.00000,2.00000,36090.00000,398.00000,9778.00000,26626.00000
2020-12-31,3493.00000,652.00000,780.00000,7190.00000,1292.00000,833.00000,4297.00000,1182.00000,12120.00000,19310.00000,4002.00000,7740.00000,1260.00000,11747.00000,15749.00000,2.00000,22961.00000,616.00000,3561.00000,19310.00000
2019-12-31,2751.00000,555.00000,1259.00000,4706.00000,1460.00000,1275.00000,4572.00000,1292.00000,13468.00000,18174.00000,4066.00000,7043.00000,1353.00000,11238.00000,15304.00000,2.00000,17754.00000,384.00000,2870.00000,18174.00000
2018-12-31,4915.00000,712.00000,1499.00000,7126.00000,1597.00000,3778.00000,5252.00000,274.00000,15693.00000,22819.00000,4454.00000,7685.00000,1474.00000,12084.00000,16538.00000,2.00000,16459.00000,498.00000,6281.00000,22819.00000
2017-12-31,5863.00000,696.00000,1185.00000,7744.00000,1597.00000,6331.00000,4842.00000,273.00000,18242.00000,25986.00000,3559.00000,9234.00000,1720.00000,14378.00000,17937.00000,2.00000,13929.00000,717.00000,8049.00000,25986.00000
2016-12-31,7149.00000,592.00000,1134.00000,8875.00000,1516.00000,3969.00000,4603.00000,276.00000,14972.00000,23847.00000,3847.00000,7509.00000,499.00000,9461.00000,13308.00000,2.00000,14959.00000,-124.00000,10539.00000,23847.00000
2015-12-31,6131.00000,619.00000,1154.00000,7904.00000,1554.00000,3391.00000,4541.00000,365.00000,9851.00000,17755.00000,2263.00000,6749.00000,75.00000,8916.00000,11179.00000,2.00000,7713.00000,526.00000,6576.00000,17755.00000
2014-12-31,7835.00000,600.00000,1048.00000,26531.00000,1486.00000,5736.00000,4804.00000,207.00000,18601.00000,45132.00000,17531.00000,6777.00000,79.00000,7695.00000,25226.00000,2.00000,18900.00000,1171.00000,19906.00000,45132.00000
2013-12-31,9025.00000,12948.00000,1310.00000,23283.00000,2760.00000,4971.00000,10208.00000,266.00000,18205.00000,41488.00000,12639.00000,4117.00000,244.00000,5202.00000,17841.00000,2.00000,18854.00000,1156.00000,23647.00000,41488.00000
2012-12-31,9408.00000,11076.00000,914.00000,21398.00000,2491.00000,3044.00000,9665.00000,476.00000,15676.00000,37074.00000,10924.00000,4106.00000,207.00000,5285.00000,16209.00000,2.00000,15998.00000,856.00000,20865.00000,37074.00000
2011-12-31,5929.00000,6151.00000,581.00000,12661.00000,1986.00000,2453.00000,9771.00000,449.00000,14659.00000,27320.00000,6734.00000,1525.00000,58.00000,2656.00000,9390.00000,2.00000,13389.00000,549.00000,17930.00000,27320.00000
2010-12-31,6622.81400,3005.09700,481.23800,11065.34000,1523.33300,2492.01200,6733.87400,189.20500,10938.42000,22003.76000,4516.51400,1494.22700,45.38500,2185.06900,6701.58300,1.51300,10160.08000,751.31400,15302.18000,22003.76000
2009-12-31,4943.80400,2565.45200,328.10600,8460.20800,1314.32800,1381.76500,6910.89800,341.12100,9948.11200,18408.32000,3641.96800,,49.56100,978.70400,4620.67200,1.48600,8359.11700,818.10400,13787.65000,18408.32000
