,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,230.10000,1013.20000,1708.00000,8.10000,165.40000,3124.80000,1010.00000,,170.80000,1423.80000,4548.60000,789.80000,353.20000,3.50000,595.60000,1385.40000,5.70000,3218.70000,-64.80000,3163.20000,4548.60000
2021-12-31,236.20000,900.20000,1523.60000,8.50000,188.10000,2856.60000,1019.20000,,180.90000,1442.40000,4299.00000,682.20000,330.00000,,574.60000,1256.80000,5.80000,2970.90000,-30.70000,3042.20000,4299.00000
2020-12-31,245.70000,769.40000,1337.50000,6.70000,140.30000,2499.60000,1030.70000,,191.40000,1465.10000,3964.70000,612.70000,365.00000,,618.80000,1231.50000,5.70000,2689.60000,-21.20000,2733.20000,3964.70000
2019-12-31,174.90000,741.80000,1366.40000,16.70000,157.40000,2457.20000,1023.20000,,76.30000,1342.70000,3799.90000,544.70000,342.00000,,589.60000,1134.30000,2.90000,2633.90000,-38.40000,2665.60000,3799.90000
2018-12-31,167.20000,714.30000,1278.70000,9.00000,147.00000,2316.20000,924.80000,,80.50000,1005.30000,3321.50000,437.40000,497.00000,,581.40000,1018.80000,2.90000,2341.60000,-44.80000,2302.70000,3321.50000
2017-12-31,116.90000,607.80000,1092.90000,0.00000,118.10000,1935.70000,893.60000,,81.20000,974.80000,2910.50000,351.00000,412.00000,,462.60000,813.60000,2.90000,2110.60000,-25.10000,2096.90000,2910.50000
2016-12-31,112.70000,499.70000,993.00000,12.90000,102.50000,1720.80000,899.70000,,48.40000,948.10000,2668.90000,275.70000,379.50000,,460.10000,735.80000,2.90000,1940.10000,-47.30000,1933.10000,2668.90000
2015-12-31,129.01900,468.37500,913.26300,22.55800,131.56100,1664.77600,818.88900,,48.79700,867.68600,2532.46200,373.16600,302.95000,,358.00700,731.17300,2.89600,1842.77200,-46.40300,1801.28900,2532.46200
2014-12-31,114.49600,462.07700,869.22400,0.00000,115.70300,1583.26500,763.88900,,11.94800,775.83700,2359.10200,375.35300,,,68.53200,443.88500,2.95900,1886.35000,-7.83600,1915.21700,2359.10200
2013-12-31,58.95700,414.33100,784.06800,24.86900,107.98800,1408.46100,654.85000,,12.47300,667.32300,2075.78400,239.83200,,,63.25500,303.08700,2.96800,1688.78100,11.10100,1772.69700,2075.78400
2012-12-31,79.96500,372.15900,715.38300,7.36800,97.36100,1286.65600,516.42700,,12.74900,529.17600,1815.83200,204.17400,,,51.29800,255.47200,2.96600,1477.60100,18.35700,1560.36000,1815.83200
2011-12-31,144.84100,338.59400,646.15200,0.00000,89.83300,1236.13800,435.60100,,13.20900,448.81000,1684.94800,187.81800,,,38.15400,225.97200,2.95300,1424.37100,14.79600,1458.97600,1684.94800
2010-12-31,169.76000,270.13300,557.36900,,70.53900,1085.69800,363.41900,5.15200,14.01400,382.58500,1468.28300,162.18500,,,23.58600,185.77100,2.94800,1258.18300,18.49200,1282.51200,1468.28300
2009-12-31,189.25200,214.16900,508.40500,11.65700,45.96200,982.36400,335.00400,6.23800,3.75200,344.99400,1327.35800,119.50900,,,17.00600,136.51500,1.47400,1175.64100,13.39500,1190.84300,1327.35800
