,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-08-31,2472.00000,5017.00000,8353.00000,1059.00000,16902.00000,11729.00000,5495.00000,33010.00000,1730.00000,73223.00000,90124.00000,22583.00000,10615.00000,3560.00000,38176.00000,60759.00000,12.00000,37801.00000,-2805.00000,,29366.00000,90124.00000
2021-08-31,1193.00000,5663.00000,8159.00000,800.00000,15814.00000,12247.00000,6987.00000,22357.00000,1987.00000,65471.00000,81285.00000,22054.00000,7675.00000,3413.00000,35410.00000,57464.00000,12.00000,35121.00000,-2109.00000,,23822.00000,81285.00000
2020-08-31,469.00000,4110.00000,7917.00000,598.00000,18073.00000,12796.00000,7204.00000,22085.00000,581.00000,69102.00000,87174.00000,27070.00000,12203.00000,3222.00000,38969.00000,66038.00000,12.00000,34210.00000,-3771.00000,,21136.00000,87174.00000
2019-08-31,1023.00000,7226.00000,9333.00000,1118.00000,18700.00000,13478.00000,6851.00000,27436.00000,1133.00000,48898.00000,67598.00000,25769.00000,11098.00000,4795.00000,17678.00000,43446.00000,12.00000,35815.00000,-3897.00000,,24152.00000,67598.00000
2018-08-31,785.00000,6573.00000,9565.00000,923.00000,17846.00000,13911.00000,6610.00000,28697.00000,1060.00000,50278.00000,68124.00000,21667.00000,12431.00000,5522.00000,19768.00000,41435.00000,12.00000,33551.00000,-3002.00000,,26689.00000,68124.00000
2017-08-31,3301.00000,6528.00000,8899.00000,1025.00000,19753.00000,13642.00000,6320.00000,25788.00000,506.00000,46256.00000,66009.00000,18547.00000,12684.00000,4223.00000,19188.00000,37735.00000,12.00000,30137.00000,-3051.00000,,28274.00000,66009.00000
2016-08-31,9807.00000,6260.00000,8956.00000,860.00000,25883.00000,14335.00000,6174.00000,25829.00000,467.00000,46805.00000,72688.00000,17013.00000,18705.00000,4045.00000,25394.00000,42407.00000,12.00000,27684.00000,-2992.00000,-1.00000,30281.00000,72688.00000
2015-08-31,3000.00000,6849.00000,8678.00000,1130.00000,19657.00000,15068.00000,1242.00000,28723.00000,4092.00000,49125.00000,68782.00000,16557.00000,13315.00000,4072.00000,20925.00000,37482.00000,12.00000,25089.00000,-214.00000,-2.00000,31300.00000,68782.00000
2014-08-31,2646.00000,3218.00000,6076.00000,302.00000,12242.00000,12257.00000,7336.00000,3539.00000,1876.00000,25008.00000,37250.00000,8895.00000,3716.00000,2942.00000,7738.00000,16633.00000,80.00000,22327.00000,136.00000,-5.00000,20617.00000,37250.00000
2013-08-31,2106.00000,2632.00000,6852.00000,284.00000,11874.00000,12138.00000,7100.00000,2410.00000,1959.00000,23607.00000,35481.00000,8883.00000,4477.00000,2067.00000,7144.00000,16027.00000,80.00000,21523.00000,-98.00000,-11.00000,19454.00000,35481.00000
2012-08-31,1297.00000,2167.00000,7036.00000,260.00000,10760.00000,12038.00000,7006.00000,2161.00000,1497.00000,22702.00000,33462.00000,8722.00000,4073.00000,1886.00000,6504.00000,15226.00000,80.00000,20156.00000,68.00000,-19.00000,18236.00000,33462.00000
2011-08-31,1556.00000,2497.00000,8044.00000,225.00000,12322.00000,11526.00000,,2017.00000,1589.00000,15132.00000,27454.00000,8083.00000,2396.00000,1785.00000,4524.00000,12607.00000,80.00000,18877.00000,16.00000,-34.00000,14847.00000,27454.00000
2010-08-31,1880.00000,2450.00000,7378.00000,214.00000,11922.00000,11184.00000,,1887.00000,1282.00000,14353.00000,26275.00000,7433.00000,2389.00000,1735.00000,4442.00000,11875.00000,80.00000,16848.00000,-24.00000,-87.00000,14400.00000,26275.00000
2009-08-31,2587.00000,2496.00000,6789.00000,177.00000,12049.00000,10802.00000,,1461.00000,830.00000,13093.00000,25142.00000,6769.00000,2336.00000,1396.00000,3997.00000,10766.00000,80.00000,15327.00000,37.00000,-140.00000,14376.00000,25142.00000
