,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,6220.00000,9108.00000,10617.00000,16498.00000,42443.00000,15170.00000,90663.00000,6156.00000,116421.00000,158864.00000,39114.00000,30694.00000,8449.00000,45572.00000,84686.00000,37939.00000,52269.00000,-2018.00000,-28.00000,74178.00000,158864.00000
2021-12-31,7832.00000,9661.00000,9178.00000,15379.00000,42050.00000,14972.00000,92952.00000,6624.00000,119354.00000,161404.00000,35449.00000,31327.00000,10417.00000,51291.00000,86740.00000,37483.00000,50265.00000,-1915.00000,-38.00000,74664.00000,161404.00000
2020-12-31,8802.00000,9254.00000,9411.00000,15909.00000,43376.00000,14962.00000,94824.00000,3967.00000,118777.00000,162153.00000,35848.00000,31026.00000,9537.00000,52453.00000,88301.00000,36930.00000,49423.00000,-3734.00000,-49.00000,73852.00000,162153.00000
2019-12-31,4937.00000,8743.00000,9047.00000,7027.00000,61577.00000,10322.00000,61082.00000,1919.00000,78038.00000,139615.00000,46594.00000,37701.00000,7414.00000,48790.00000,95384.00000,23019.00000,61594.00000,-10149.00000,-64.00000,44231.00000,139615.00000
2018-12-31,6152.00000,14271.00000,10083.00000,4997.00000,35503.00000,12297.00000,74536.00000,7206.00000,98708.00000,134211.00000,31368.00000,41192.00000,16914.00000,62233.00000,93601.00000,22514.00000,57823.00000,-9333.00000,-76.00000,40610.00000,134211.00000
2017-12-31,8985.00000,12595.00000,9881.00000,1397.00000,32858.00000,10186.00000,43793.00000,5988.00000,64062.00000,96920.00000,24391.00000,24989.00000,12952.00000,41108.00000,65499.00000,17574.00000,55242.00000,-7525.00000,-85.00000,31421.00000,96920.00000
2016-12-31,7157.00000,11481.00000,8704.00000,1208.00000,28550.00000,9158.00000,42743.00000,6048.00000,61156.00000,89706.00000,21906.00000,21697.00000,11026.00000,38631.00000,60537.00000,17285.00000,52873.00000,-8334.00000,-95.00000,29169.00000,89706.00000
2015-12-31,7075.00000,10653.00000,8135.00000,843.00000,26706.00000,8732.00000,42904.00000,6163.00000,60778.00000,87484.00000,22618.00000,19320.00000,10558.00000,36022.00000,58640.00000,16033.00000,49956.00000,-7619.00000,-105.00000,28844.00000,87484.00000
2014-12-31,5229.00000,10448.00000,7642.00000,6241.00000,31483.00000,8592.00000,42976.00000,5706.00000,59723.00000,91206.00000,23475.00000,17784.00000,10562.00000,35167.00000,58642.00000,15300.00000,44611.00000,-6661.00000,-115.00000,32564.00000,91206.00000
2013-12-31,4619.00000,11458.00000,10330.00000,1071.00000,29442.00000,8866.00000,43689.00000,6205.00000,61152.00000,90594.00000,22800.00000,19741.00000,11279.00000,34575.00000,57375.00000,14764.00000,40539.00000,-2880.00000,-126.00000,33219.00000,90594.00000
2012-12-31,4819.00000,11099.00000,9537.00000,2544.00000,29610.00000,8518.00000,42990.00000,5542.00000,59799.00000,89409.00000,23786.00000,21597.00000,9199.00000,38554.00000,62340.00000,13976.00000,36776.00000,-5448.00000,-139.00000,27069.00000,89409.00000
2011-12-31,5960.00000,9546.00000,7797.00000,793.00000,25758.00000,6201.00000,21861.00000,4210.00000,35694.00000,61452.00000,18616.00000,9501.00000,5150.00000,20016.00000,38632.00000,13445.00000,33487.00000,-5490.00000,-152.00000,22820.00000,61452.00000
2010-12-31,4083.00000,8925.00000,7766.00000,1113.00000,23510.00000,6280.00000,21781.00000,3834.00000,34983.00000,58493.00000,17732.00000,10010.00000,4510.00000,18429.00000,36161.00000,12597.00000,30191.00000,-3769.00000,-166.00000,22332.00000,58493.00000
2009-12-31,4449.00000,8469.00000,7509.00000,1078.00000,23194.00000,6364.00000,19836.00000,3219.00000,32568.00000,55762.00000,17913.00000,8257.00000,4054.00000,16850.00000,34763.00000,11746.00000,27396.00000,-3487.00000,-181.00000,20999.00000,55762.00000
