,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,202.50200,,2709.59700,245.67600,3157.77500,2083.61600,253.26200,41.53600,5332.21500,8489.99000,2376.21200,1198.70700,120.00300,4071.36200,6447.57400,1.41500,5624.35200,11.27500,2042.41600,8489.99000
2021-12-31,878.03000,17.10000,2191.19200,164.11800,3250.44000,1617.80600,55.52000,55.40600,4517.02700,7767.46700,2064.84200,1019.23000,105.84800,3699.96000,5764.80200,1.41100,4945.24300,1.34500,2002.66500,7767.46700
2020-12-31,1341.75600,,1783.27000,133.65900,3258.68500,1248.96000,55.52000,30.48400,3790.43100,7049.11600,1743.79800,1017.42000,143.15400,3381.47800,5125.27600,1.40100,4187.13500,-3.24300,1923.84000,7049.11600
2019-12-31,84.24100,,1602.78100,100.86500,1787.88700,1163.95600,124.49200,24.13100,3501.38100,5289.26800,1247.60000,396.86900,76.36100,2474.54500,3722.14500,1.38900,3612.83300,0.19900,1567.12300,5289.26800
2018-12-31,86.29900,4.11100,1589.54200,114.44700,1794.39900,1134.46400,124.49200,25.30000,1290.86300,3085.26200,938.10700,410.37000,67.92700,585.33500,1523.44200,1.37500,3213.89500,3.81400,1561.82000,3085.26200
2017-12-31,109.14800,4.76000,1453.20800,88.25200,1655.36800,1044.50300,124.49200,25.91200,1213.40100,2868.76900,849.21400,433.68600,61.29000,600.88200,1450.09600,1.36300,2828.62500,3.35800,1418.67300,2868.76900
2016-12-31,53.91600,3.68000,1369.65600,90.55700,1517.80900,962.30800,125.71700,23.89000,1157.13300,2674.94200,777.19400,289.76900,54.68300,444.53000,1221.72400,1.36000,2540.44900,1.39200,1453.21800,2674.94200
2015-12-31,63.81300,3.76300,1284.37500,87.51000,1439.46100,847.57600,10.25800,18.33700,931.36490,2370.82600,671.28400,166.99200,54.46300,306.24800,977.53200,1.35200,2225.60100,,1393.29400,2370.82600
2014-12-31,51.13400,,1115.45000,66.44400,1273.99000,721.00000,10.25800,20.54100,760.58100,2034.57100,603.09300,4.95700,53.15300,137.91700,741.01000,1.34200,1918.30700,,1293.56100,2034.57100
2013-12-31,142.74300,,979.30800,57.35900,1209.24800,664.93200,10.25800,18.86100,694.14300,1903.39100,532.14100,1.20000,46.22600,124.35600,656.49700,1.33100,1631.48300,,1246.89400,1903.39100
2012-12-31,147.03000,,908.11600,51.80800,1130.05200,549.99800,10.25800,16.50000,576.75600,1706.80800,560.50500,1.24200,42.37400,121.32900,681.83400,1.30700,1371.73300,,1024.97400,1706.80800
2011-12-31,198.83500,,830.81900,51.72800,1090.24900,480.85500,10.25800,13.47000,504.58300,1594.83200,460.62500,1.28400,35.07500,125.91700,586.54200,0.64300,1146.59400,,1008.29000,1594.83200
2010-12-31,273.25200,,736.52000,33.94500,1043.71700,395.78900,10.25800,7.96000,419.75700,1463.47400,426.56400,1.31600,31.65500,103.66800,530.23200,0.63100,954.70400,,933.24200,1463.47400
2009-12-31,172.85100,,676.46600,30.74700,880.06400,370.24500,10.25800,4.92200,396.51600,1276.58000,404.21700,1.40700,28.33500,93.21200,497.42900,0.61900,807.08700,,779.15100,1276.58000
