,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-05-31,90.47100,1027.92800,472.15000,124.72800,916.70600,2631.98300,1323.67300,242.87300,3434.61400,344.11000,5515.27300,8147.25600,1432.89000,2483.93200,319.39700,3406.17000,4839.06000,1771.91700,8719.16300,107.91700,3308.19600,8147.25600
2021-05-31,493.64000,923.99200,481.79700,133.77600,810.10400,2843.30900,1318.43800,274.61600,3321.51400,310.41400,5393.51500,8236.82300,1934.08500,1642.83300,454.63700,2614.89100,4548.97600,1516.20200,7877.01500,30.88800,3687.84700,8236.82300
2020-05-31,145.40200,870.36900,408.89800,114.61900,770.41100,2309.69900,1403.06500,214.84700,3321.54900,260.75800,5360.18600,7669.88500,885.19500,2539.70500,498.50900,3549.48800,4434.68300,1102.68900,7296.50900,-153.38000,3235.20200,7669.88500
2019-05-31,96.64500,917.59500,334.58900,103.31800,784.13300,2236.28000,1430.68500,192.34600,3337.03600,240.31500,5200.38200,7436.66200,1127.73300,2537.50700,330.52200,3306.20800,4433.94100,840.32800,6691.23600,-39.15200,3002.72100,7436.66200
2018-05-31,138.72400,824.21700,280.34700,32.38300,702.26100,1977.93200,1382.73000,175.58100,3392.65600,29.31500,4980.28200,6958.21400,775.85700,2535.30900,277.94100,3165.83100,3941.68800,618.46400,5837.82700,16.34300,3016.52600,6958.21400
2017-05-31,191.48500,780.32800,278.21800,30.13200,674.31500,1954.47800,1323.50100,164.78800,3369.32300,31.96700,4889.57900,6844.05700,1130.85200,2770.62400,170.46000,3410.41200,4541.26400,485.06800,5170.83000,-3.02900,2302.79300,6844.05700
2016-05-31,209.76200,548.20000,249.36200,25.94800,557.30700,1590.57900,993.69200,124.95200,1354.27000,35.32200,2508.23600,4098.81500,815.55500,1044.42200,136.70400,1440.60100,2256.15600,409.68200,4805.86700,-24.87400,1842.65900,4098.81500
2015-05-31,433.15400,497.06600,226.21100,24.03000,555.34600,1735.80700,871.42100,329.69200,1238.04600,17.49400,2456.65300,4192.46000,508.66900,1300.00000,112.00900,1751.33600,2260.00500,329.24800,4227.62000,-8.47100,1932.45500,4192.46000
2014-05-31,513.28800,508.42700,251.23900,26.19000,506.53700,1805.68100,855.70200,458.35700,1323.08600,19.62600,2656.77100,4462.45200,630.13100,1300.47700,92.94200,1639.46300,2269.59400,251.75300,3998.89300,28.42800,2192.85800,4462.45200
2013-05-31,357.95300,505.15100,240.44000,24.53000,496.75200,1624.82600,986.70300,101.52500,1609.71300,22.86500,2720.80600,4345.63200,556.25600,1300.97900,76.42200,1587.88400,2144.14000,186.33200,3717.77100,38.12300,2201.49200,4345.63200
2012-05-31,339.82500,473.04900,251.20500,21.22200,452.78500,1538.08600,952.58700,,1562.19700,112.83600,2627.62000,4165.70600,675.69100,1059.16600,87.13300,1350.88000,2026.57100,148.25500,3482.07300,36.66300,2139.13500,4165.70600
2011-05-31,525.32600,462.67300,249.65800,23.48100,393.82600,1700.77700,946.21800,,1590.19400,114.75100,2651.16300,4351.94000,434.13900,1284.79000,134.04100,1615.15200,2049.29100,135.40100,3255.25600,58.80700,2302.64900,4351.94000
2010-05-31,566.08700,377.91000,169.48400,22.86000,332.10600,1520.86200,894.52200,,1460.37000,93.98200,2448.87400,3969.73600,383.68200,785.44400,116.02100,1052.02500,1435.70700,132.05800,3080.07900,36.13300,2534.02900,3969.73600
2009-05-31,250.13800,383.19000,202.35100,17.03500,351.19100,1270.27300,914.62700,,1455.71800,80.33300,2450.67800,3720.95100,300.86900,786.05800,117.58300,1052.67300,1353.54200,129.21500,2938.41900,25.29900,2367.40900,3720.95100
