,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,272.18200,636.55600,88.85400,71.06500,1068.65700,98.10100,,2736.37200,390.26700,3618.61100,4687.26800,792.25800,1350.62800,35.82700,1598.97600,2391.23400,1.17500,727.73700,-153.45800,2296.03400,4687.26800
2021-09-30,326.53200,541.07200,69.99100,135.41500,1073.01000,100.23700,,2570.85400,313.33300,3434.55000,4507.56000,779.28200,1439.47100,49.69300,1689.81000,2469.09200,1.17200,414.65600,-95.86400,2038.46800,4507.56000
2020-09-30,303.58700,415.22100,69.40800,45.23100,833.44700,101.49900,30.97000,1863.35600,212.57000,2549.29100,3382.73800,680.76000,1005.31400,55.93600,1263.73000,1944.49000,1.16100,-62.26700,-103.37400,1438.24800,3382.73800
2019-09-30,297.47000,372.74300,52.70100,59.70700,782.62100,105.53100,29.54400,1408.12800,140.13000,1881.96700,2664.58800,638.15500,669.13400,102.49500,824.43490,1462.59000,1.14900,-191.39000,-110.71000,1201.99800,2664.58800
2018-09-30,285.78200,129.29700,48.99700,169.70800,633.78400,80.61300,30.11500,1382.65900,36.28500,1695.23800,2329.02200,735.27900,643.26800,58.44500,719.15400,1454.43300,1.18000,-599.40900,-85.58500,874.58900,2329.02200
2017-09-30,298.41100,152.29900,49.91300,165.93300,666.55600,63.60000,31.90700,1440.68000,34.47500,1693.82800,2360.38400,678.90900,712.40600,53.14200,796.03910,1474.94800,1.15300,-650.84000,-73.90700,885.43600,2360.38400
2016-09-30,296.63000,161.35700,52.81900,131.78300,642.58900,67.11300,30.92100,1480.11800,35.29600,1703.14000,2345.72900,654.51900,751.60100,69.95200,848.54410,1503.06300,1.15000,-657.07900,-99.95300,842.66600,2345.72900
2015-09-30,273.41700,197.27500,56.36500,140.81900,704.67900,65.16200,,1360.34200,40.79400,1505.23400,2209.91300,617.26000,618.12500,53.38600,732.48200,1349.74200,1.13700,-602.61400,-91.74200,860.17100,2209.91300
2014-09-30,293.65400,235.68800,37.66700,133.85900,732.16700,67.78300,,1349.40000,41.64600,1467.78700,2199.95400,626.66700,586.87500,82.64900,719.39800,1346.06500,1.15000,-650.17100,-94.36700,853.88900,2199.95400
2013-09-30,241.91300,229.10600,45.67400,123.87800,680.21600,64.65200,,1042.21600,34.12600,1148.69000,1828.90600,528.61300,243.12500,78.63400,373.81300,902.42600,1.18500,-810.36500,-51.16000,926.48000,1828.90600
2012-09-30,489.54300,217.37000,28.34100,121.01900,879.15200,63.46600,,796.23200,32.12400,912.48200,1791.63400,481.74400,362.50000,106.05700,512.63100,994.37500,1.19600,-954.13400,-72.50100,797.25900,1791.63400
2011-09-30,167.87800,230.22000,30.58200,109.43300,592.26400,62.56900,,835.41100,41.37400,1037.41800,1629.68200,465.32400,200.00000,101.36000,341.66800,806.99200,1.16900,-918.73600,-64.76400,822.69000,1629.68200
2010-09-30,240.25300,169.28100,32.11600,91.12600,568.25700,58.06400,,546.44000,43.84500,738.80700,1307.06400,452.99400,,77.29500,106.76600,559.76000,1.15800,-1004.16000,-52.48000,747.30400,1307.06400
2009-09-30,235.12200,166.59100,24.16600,77.85600,546.46600,58.10500,,596.51700,38.93100,803.74600,1350.21200,491.43100,,62.65800,97.20000,588.63100,1.16000,-1028.52800,-33.59500,761.58100,1350.21200
