,cash-on-hand,receivables-total,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,2501.00000,3796.00000,969.00000,7266.00000,1101.00000,427.00000,6878.00000,662.00000,10586.00000,17852.00000,3347.00000,638.00000,645.00000,2196.00000,5543.00000,5.00000,12588.00000,-299.00000,12309.00000,17852.00000
2021-12-31,2719.00000,3557.00000,1066.00000,7342.00000,1171.00000,463.00000,6838.00000,701.00000,10510.00000,17852.00000,3529.00000,626.00000,665.00000,2332.00000,5861.00000,5.00000,11922.00000,37.00000,11991.00000,17852.00000
2020-12-31,2724.00000,3087.00000,1040.00000,6851.00000,1251.00000,440.00000,6077.00000,846.00000,10072.00000,16923.00000,3540.00000,663.00000,796.00000,2547.00000,6087.00000,5.00000,10689.00000,110.00000,10836.00000,16923.00000
2019-12-31,3424.00000,3256.00000,931.00000,7611.00000,1309.00000,17.00000,5020.00000,736.00000,8593.00000,16204.00000,2983.00000,700.00000,696.00000,2199.00000,5182.00000,5.00000,11022.00000,-38.00000,11022.00000,16204.00000
2018-12-31,4511.00000,3190.00000,909.00000,8610.00000,1394.00000,80.00000,4631.00000,689.00000,7236.00000,15846.00000,2710.00000,736.00000,731.00000,1712.00000,4422.00000,6.00000,11485.00000,-114.00000,11424.00000,15846.00000
2017-12-31,5056.00000,3222.00000,833.00000,9111.00000,1324.00000,235.00000,3685.00000,448.00000,6110.00000,15221.00000,2839.00000,698.00000,765.00000,1713.00000,4552.00000,6.00000,10544.00000,70.00000,10669.00000,15221.00000
2016-12-31,5169.00000,2905.00000,526.00000,8600.00000,1311.00000,62.00000,3505.00000,359.00000,5662.00000,14262.00000,2418.00000,797.00000,162.00000,1116.00000,3534.00000,6.00000,10478.00000,-114.00000,10728.00000,14262.00000
2015-12-31,4949.00000,2622.00000,338.00000,7909.00000,1271.00000,,3269.00000,264.00000,5152.00000,13061.00000,2714.00000,877.00000,140.00000,1069.00000,3783.00000,6.00000,8925.00000,-106.00000,9278.00000,13061.00000
2014-12-31,3774.70000,2293.30000,352.60000,6420.60000,1247.20000,,3367.30000,209.70000,5058.40000,11479.00000,2592.10000,937.50000,116.40000,1146.70000,3738.80000,6.10000,7301.60000,-123.10000,7740.20000,11479.00000
2013-12-31,3747.47300,1875.27200,268.90700,6147.88200,1081.16400,,575.51000,183.01300,1986.83600,8134.71800,1774.50800,,203.24900,224.41900,1998.92700,6.07700,5862.36700,-276.25900,6135.79100,8134.71800
2012-12-31,2863.75800,1528.74600,219.89600,4814.29400,971.48600,,396.66000,160.30700,1707.27700,6521.57100,1377.33000,,287.08100,289.85800,1667.18800,3.01700,4633.78900,-239.68300,4854.38300,6521.57100
2011-12-31,2432.26400,1318.67000,225.53000,4085.50600,758.03400,,386.38800,113.81300,1422.42700,5507.93300,1209.70500,,342.00300,345.34200,1555.04700,3.03100,3582.52600,-325.39400,3952.88600,5507.93300
2010-12-31,2226.38800,1014.26800,181.41400,3518.23400,570.44800,,309.09900,75.48500,1064.84000,4583.07400,930.72600,,62.97100,67.91700,998.64300,3.03900,2698.90800,35.59800,3584.43100,4583.07400
2009-12-31,1399.33200,709.24010,125.20500,2307.56800,481.51600,151.13100,268.12900,49.27800,1030.67200,3338.24000,646.60800,,38.45500,38.45500,685.06300,2.97200,1965.36800,20.27700,2653.17700,3338.24000
