Date,current-ratio-annual,gross-margin-annual,operating-margin-annual,ebit-margin-annual,ebitda-margin-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,inventory-turnover-annual,receiveable-turnover-annual,days-sales-in-receivables-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-12-31,0.19252371127065424,0.791044,-0.312355,-0.312355,-0.26067216117564485,-0.1588689941323351,-0.17589386609173885,0.0961822438321628,0.0009564095282224514,0.0013135659557998948,0.014478964699444855,-0.001430932383892462,-0.0010315559599354076,-0.2151493562009379,-0.018076711627991956,0.0002220103256494154,9.900679560899112e-05,5.659506729698327e-05
2021-12-31,0.28356824404477454,0.802102,-0.43322499999999997,-0.43322499999999997,-0.3548951281724512,-0.22215447238636316,-0.242297124719898,0.07622906537007024,0.0015472151223911235,0.0013588196283353165,0.013996794736083756,-0.0014465518782836436,-0.001032652123710797,-0.23488820953910725,-0.018274029893385023,0.00024690858328840174,-0.002592821048963234,-0.0026964751317123253
2020-12-31,0.44357926339047277,0.8999240000000001,0.274347,0.274347,0.28998244369332954,0.14649027093953035,0.15953681510045212,0.09792904736178641,0.001868077664678714,0.00224897650101426,0.008456710247771273,0.0011565525619652163,0.0008113238753379032,0.19868778983911503,0.014610520651150276,0.00028482986313713615,0.0019823662658999823,0.0020991692348176416
2019-12-31,0.25506412022331043,0.952055,-0.240582,-0.240582,-0.19913568951776267,-0.08958023628014063,-0.09788100939649547,0.07484242751665766,0.0005096931378264053,0.001304999002201875,0.014574071049654913,-0.0005558528401710257,-0.00047212122409344735,-0.0931656260524884,-0.007021989027908577,0.00016114808222112253,0.00010510541906255445,3.2244733823428578e-06
2018-12-31,0.16326060190364822,0.8651399999999999,-0.397125,-0.397125,-0.34354439577203044,-0.19476392690471359,-0.19237817189693376,0.07842607599495768,0.0016525417395333545,0.0015036179420900814,0.01264869479252407,-0.001149150394168722,-0.0008631999228424649,-0.19188709552060937,-0.014517010395749352,0.00011742434873809928,-0.00016048092002090956,-0.0001462131895786503
2017-12-31,0.1941203919738684,0.88778,-0.406016,-0.406016,-0.3372988775756699,-0.170538069426443,-0.14722024584498894,0.09891950297136683,0.000899112645671096,0.0019111697620805804,0.00995154880505199,-0.0012179064092517893,-0.0007175999358569889,-0.18521334749604915,-0.015385592776955618,6.931775376502131e-05,-4.9311726781669273e-05,-5.3518845564403304e-05
2016-12-31,0.27810354811687255,0.898799,-0.341327,-0.341327,-0.2728065553689392,-0.17343980984956084,-0.18951126233381935,0.08980731136322709,0.0006190056250591653,0.0022684285250662343,0.008384139697765915,-0.0014525932567960578,-0.000855879253105765,-0.2164797015466722,-0.018350349542331244,6.587291622042824e-05,0.0001192193761979439,9.195308576543254e-05
2015-12-31,0.32286682895839075,0.8888370000000001,-0.35911299999999996,-0.35911299999999996,-0.29253790393295503,-0.18516841067857037,-0.20232667045980274,0.06776517197911039,0.0006549781026261902,0.0021377740837223175,0.0088966779314648,-0.0011547513239756608,-0.0006803884680472133,-0.174365916215446,-0.014587765935359999,7.254248805312023e-05,-0.00018989370970552363,-0.00018879847597304044
2014-12-31,0.18219588573613166,0.898667,-0.269785,-0.269785,-0.21565155201174732,-0.13743876634105334,-0.15017425425851164,0.11251575724833424,0.0006664374791364613,0.0024546169832631963,0.007748220672168628,-0.002374097408846839,-0.0013988366719848038,-0.21489805435373976,-0.02999154587566624,2.5121315301607935e-05,-0.00016626589998257536,-0.00016085303999273569
2013-12-31,0.2478172137921729,0.9214749999999999,-0.23345500000000002,-0.23345500000000002,-0.18494703625577047,-0.12018412541978443,-0.1313207466068211,0.10019809112191608,0.0007782411351758018,0.003065659148129011,0.006203859189868226,-0.0017855133133838556,-0.001052038341717243,-0.16736314412290476,-0.022556068782356956,2.773153311519968e-05,-3.533716675378986e-05,-7.219855343452744e-05
2012-12-31,0.24643417346474092,0.936109,-0.271588,-0.271588,-0.21889461841186753,-0.13205248185247606,-0.14428886050949435,0.08053304520079237,0.00035553961207519347,0.00206268725512791,0.009220507919402796,-0.0015633825408762694,-0.0009211571616097881,-0.14778232596699398,-0.019749930656249328,2.7905843076718543e-05,0.000414357902073532,0.0004446066976389072
2011-12-31,0.24649039461626251,0.9671339999999999,-1.523476,-1.523476,-1.28188238605995,-0.8302849357952404,-0.9072216258527487,0.04014046461372231,0.0003278378149460164,0.0005727428428981971,0.03320750198642299,-0.0045667299510378815,-0.0026907528321114785,-0.46314153216404574,-0.057690678705073974,2.7864481390934405e-05,-0.0004056804321310333,-0.00045531787933427597
2010-12-31,0.3118812159510651,1.0,-0.6345770000000001,-0.6345770000000001,-0.5416453473885231,-0.319155731222023,-0.3487296576110256,0.058652980370970643,,0.001799799365306324,0.01056733605593097,-0.002697018622434222,-0.0015891043644748427,-0.2601647711080598,-0.03407095152913352,2.3481619900879673e-05,0.00026001045478306323,0.00028223407823610186
2009-12-31,0.18753689513068608,1.0,-1.632965,-1.632965,-1.427071900969496,-0.8136286559030697,-0.889021925156071,0.02409508373851972,,0.00021427462763988156,0.088755985054096,-0.002604136536469153,-0.001534377516480222,-0.2724720847690355,-0.03289758883059031,3.0291526024624976e-05,-0.00023652204216762502,-0.0002702627575177485
