item,itemLabel
http://www.wikidata.org/entity/Q1402563,Suzlon Energy
http://www.wikidata.org/entity/Q1430541,Oil and Natural Gas Corporation
http://www.wikidata.org/entity/Q1619261,Hindalco Industries
http://www.wikidata.org/entity/Q1619376,Hindustan Unilever
http://www.wikidata.org/entity/Q2040404,Kotak Mahindra Bank
http://www.wikidata.org/entity/Q2142624,Reliance Power
http://www.wikidata.org/entity/Q2723075,Dabur
http://www.wikidata.org/entity/Q2330976,Voltas
http://www.wikidata.org/entity/Q3764687,Mphasis
http://www.wikidata.org/entity/Q3648653,CEAT
http://www.wikidata.org/entity/Q5060704,Central Depository Services Limited
http://www.wikidata.org/entity/Q5972349,INOX Leisure Limited
http://www.wikidata.org/entity/Q6917706,Motilal Oswal Group
http://www.wikidata.org/entity/Q7074787,Oberoi Realty
http://www.wikidata.org/entity/Q7081342,Oil India
http://www.wikidata.org/entity/Q8069225,Zensar Technologies
http://www.wikidata.org/entity/Q8073715,Zomato
http://www.wikidata.org/entity/Q963101,Tata Steel
http://www.wikidata.org/entity/Q963718,Maruti Suzuki
http://www.wikidata.org/entity/Q1057110,IndiGo
http://www.wikidata.org/entity/Q2003549,Axis Bank
http://www.wikidata.org/entity/Q2142614,Reliance Capital
http://www.wikidata.org/entity/Q3572415,Wockhardt
http://www.wikidata.org/entity/Q3958138,Vedanta Limited
http://www.wikidata.org/entity/Q109701861,PB Fintech Ltd
http://www.wikidata.org/entity/Q15822351,KPIT Technologies
http://www.wikidata.org/entity/Q4901117,Bharat Forge
http://www.wikidata.org/entity/Q5513791,GMR Group
http://www.wikidata.org/entity/Q5514847,GVK
http://www.wikidata.org/entity/Q5738817,Heritage Foods
http://www.wikidata.org/entity/Q7669310,TANLA
http://www.wikidata.org/entity/Q104876658,Dixon Technologies
http://www.wikidata.org/entity/Q548278,Standard Chartered
http://www.wikidata.org/entity/Q631047,HDFC Bank
http://www.wikidata.org/entity/Q2040394,Yes Bank
http://www.wikidata.org/entity/Q4780362,Apollo Tyres
http://www.wikidata.org/entity/Q5203271,D-Mart
http://www.wikidata.org/entity/Q5766843,Hindustan Zinc Limited
http://www.wikidata.org/entity/Q28173355,Bajaj Finance
http://www.wikidata.org/entity/Q6982526,Navneet Publications
http://www.wikidata.org/entity/Q7129751,Panacea Biotec
http://www.wikidata.org/entity/Q188514,Tata Motors Ltd
http://www.wikidata.org/entity/Q1364176,Wipro
http://www.wikidata.org/entity/Q1613763,Hero MotoCorp
http://www.wikidata.org/entity/Q1653258,ICICI Bank
http://www.wikidata.org/entity/Q1966372,Natco Pharma
http://www.wikidata.org/entity/Q3011374,DLF Limited
http://www.wikidata.org/entity/Q3291801,Sun Pharmaceutical
http://www.wikidata.org/entity/Q3300084,TVS Motor Company
http://www.wikidata.org/entity/Q3521079,Mindtree
http://www.wikidata.org/entity/Q3630918,Bharat Electronics
http://www.wikidata.org/entity/Q3633485,IDBI Bank
http://www.wikidata.org/entity/Q5013889,CRISIL
http://www.wikidata.org/entity/Q5450912,Finolex Cables
http://www.wikidata.org/entity/Q6020258,Indian Energy Exchange
http://www.wikidata.org/entity/Q6064951,Ipca Laboratories
http://www.wikidata.org/entity/Q17080279,NRB Bearing
http://www.wikidata.org/entity/Q19321885,Balkrishna industries
http://www.wikidata.org/entity/Q20313041,Angel Broking
http://www.wikidata.org/entity/Q116331,Reliance Infrastructure
http://www.wikidata.org/entity/Q459976,Ambuja Cements
http://www.wikidata.org/entity/Q487694,Biocon
http://www.wikidata.org/entity/Q854820,Bharat Heavy Electricals Limited
http://www.wikidata.org/entity/Q906943,Grasim Industries
