,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,82859.00000,9074.00000,73785.00000,58811.00000,58811.00000,14974.00000,-5.00000,14969.00000,2087.00000,12882.00000,12882.00000,12067.00000,3805.20000,3837.00000,3.17000,3.14000
2021-12-31,82407.00000,3915.00000,78492.00000,49600.00000,49600.00000,28892.00000,-76.00000,28816.00000,5578.00000,23238.00000,23238.00000,20256.00000,4061.90000,4096.20000,4.99000,4.95000
2020-12-31,82227.00000,7963.00000,74264.00000,70260.00000,70260.00000,4004.00000,-1499.00000,2505.00000,-1157.00000,3662.00000,3662.00000,1786.00000,4118.00000,4134.20000,0.43000,0.43000
2019-12-31,105684.00000,18852.00000,86832.00000,60865.00000,60865.00000,25967.00000,,25967.00000,5761.00000,20206.00000,20206.00000,18103.00000,4393.10000,4425.40000,4.12000,4.09000
2018-12-31,101060.00000,14652.00000,86408.00000,57870.00000,57870.00000,28538.00000,,28538.00000,5662.00000,22876.00000,22876.00000,20689.00000,4799.70000,4838.40000,4.31000,4.28000
2017-12-31,97741.00000,9352.00000,88389.00000,59860.00000,61012.00000,27377.00000,,27377.00000,4917.00000,22460.00000,22460.00000,20554.00000,4964.60000,5017.30000,4.14000,4.10000
2016-12-31,94176.00000,5909.00000,88267.00000,54955.00000,56147.00000,32120.00000,,32120.00000,10075.00000,22045.00000,22045.00000,20373.00000,5052.80000,5108.30000,4.03000,3.99000
2015-12-31,90033.00000,3976.00000,86057.00000,51170.00000,52416.00000,33641.00000,,33641.00000,10365.00000,23276.00000,23276.00000,21470.00000,5136.50000,5209.80000,4.18000,4.12000
2014-12-31,88372.00000,4025.00000,84347.00000,49062.00000,50432.00000,33915.00000,,33915.00000,10307.00000,23608.00000,23608.00000,21821.00000,5237.20000,5324.40000,4.17000,4.10000
2013-12-31,88069.00000,4289.00000,83780.00000,49647.00000,51151.00000,32629.00000,,32629.00000,10405.00000,22224.00000,22224.00000,20889.00000,5287.30000,5371.20000,3.95000,3.89000
2012-12-31,91247.00000,5161.00000,86086.00000,55941.00000,57615.00000,28471.00000,,28471.00000,9103.00000,19368.00000,19368.00000,17999.00000,5287.60000,5351.50000,3.40000,3.36000
2011-12-31,87597.00000,6649.00000,80948.00000,55412.00000,57292.00000,23656.00000,,23656.00000,7445.00000,16211.00000,16211.00000,15025.00000,5278.10000,5323.40000,2.85000,2.82000
2010-12-31,93249.00000,8039.00000,85210.00000,64010.00000,66209.00000,19001.00000,,19001.00000,6338.00000,12663.00000,12663.00000,11632.00000,5226.80000,5263.10000,2.23000,2.21000
2009-12-31,98636.00000,9950.00000,88686.00000,68111.00000,70688.00000,17998.00000,,17998.00000,5331.00000,12667.00000,12667.00000,7990.00000,4545.20000,4562.70000,1.76000,1.75000
