,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-06-30,7107.00000,4562.00000,2545.00000,132.00000,1663.00000,1795.00000,750.00000,-143.00000,607.00000,136.00000,471.00000,471.00000,,462.00000,974.00000,750.00000,123.11300,123.90600,3.75000,3.73000
2021-06-30,7341.00000,4142.00000,3199.00000,149.00000,1794.00000,2272.00000,927.00000,-27.00000,900.00000,181.00000,719.00000,719.00000,,710.00000,1467.00000,927.00000,125.57000,127.29900,5.66000,5.58000
2020-06-30,6721.00000,3658.00000,3063.00000,145.00000,1644.00000,1789.00000,1274.00000,-89.00000,1185.00000,246.00000,939.00000,939.00000,,939.00000,1454.00000,1274.00000,125.82800,127.67100,7.46000,7.36000
2019-06-30,6214.00000,3486.00000,2728.00000,136.00000,1468.00000,1604.00000,1124.00000,-100.00000,1024.00000,204.00000,820.00000,820.00000,,820.00000,1304.00000,1124.00000,127.73400,129.79200,6.42000,6.32000
2018-06-30,6124.00000,3449.00000,2675.00000,132.00000,1407.00000,1539.00000,1136.00000,-82.00000,1054.00000,231.00000,823.00000,823.00000,,823.00000,1302.00000,1136.00000,129.29300,131.58100,6.37000,6.26000
2017-06-30,5973.00000,3302.00000,2671.00000,135.00000,1409.00000,1544.00000,1127.00000,-94.00000,1033.00000,330.00000,703.00000,703.00000,-2.00000,701.00000,1290.00000,1127.00000,128.95300,131.56600,5.43000,5.33000
2016-06-30,5761.00000,3163.00000,2598.00000,141.00000,1393.00000,1534.00000,1064.00000,-81.00000,983.00000,335.00000,648.00000,648.00000,,648.00000,1229.00000,1064.00000,129.47200,131.71700,5.01000,4.92000
2015-06-30,5655.00000,3190.00000,2465.00000,136.00000,1321.00000,1457.00000,1008.00000,-87.00000,921.00000,315.00000,606.00000,606.00000,-26.00000,580.00000,1177.00000,1008.00000,130.31000,132.77600,4.45000,4.37000
2014-06-30,5514.00000,3158.00000,2356.00000,125.00000,1254.00000,1379.00000,977.00000,-93.00000,884.00000,305.00000,579.00000,579.00000,-21.00000,558.00000,1154.00000,977.00000,129.55800,131.74200,4.31000,4.23000
2013-06-30,5533.00000,3142.00000,2391.00000,130.00000,1291.00000,1421.00000,970.00000,-118.00000,852.00000,279.00000,573.00000,573.00000,-1.00000,572.00000,1150.00000,970.00000,131.07500,132.96900,4.37000,4.30000
2012-06-30,5468.00000,3164.00000,2304.00000,121.00000,1280.00000,1401.00000,903.00000,-112.00000,791.00000,248.00000,543.00000,543.00000,-2.00000,541.00000,1081.00000,903.00000,130.85200,132.31000,4.14000,4.09000
2011-06-30,5231.00000,2958.00000,2273.00000,115.00000,1237.00000,1610.00000,663.00000,-100.00000,563.00000,276.00000,287.00000,287.00000,270.00000,555.00000,1094.00000,663.00000,136.69900,138.10100,4.06000,4.02000
2010-06-30,5234.00000,2915.00000,2319.00000,118.00000,1228.00000,1346.00000,973.00000,-168.00000,805.00000,279.00000,526.00000,526.00000,77.00000,600.00000,1156.00000,973.00000,140.27200,141.53400,4.28000,4.24000
2009-06-30,5158.00000,2954.00000,2204.00000,113.00000,1177.00000,1290.00000,914.00000,-205.00000,709.00000,237.00000,472.00000,472.00000,65.00000,532.00000,1102.00000,914.00000,139.01500,140.16900,3.82000,3.79000
