,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,324162.00000,244545.00000,79617.00000,-47782.00000,51182.00000,28435.00000,-2092.00000,26343.00000,5704.00000,20639.00000,20639.00000,20120.00000,31835.00000,28435.00000,937.00000,950.00000,21.47000,21.18000
2021-12-31,287597.00000,217945.00000,69652.00000,-42579.00000,45682.00000,23970.00000,-1660.00000,22310.00000,4578.00000,17732.00000,17732.00000,17285.00000,27073.00000,23970.00000,943.00000,956.00000,18.33000,18.08000
2020-12-31,257141.00000,190141.00000,67000.00000,-41704.00000,44595.00000,22405.00000,-1663.00000,20742.00000,4973.00000,15769.00000,15769.00000,15403.00000,25296.00000,22405.00000,949.00000,961.00000,16.23000,16.03000
2019-12-31,242155.00000,184557.00000,57598.00000,-35193.00000,37913.00000,19685.00000,-1704.00000,17981.00000,3742.00000,14239.00000,14239.00000,13839.00000,22405.00000,19685.00000,951.00000,966.00000,14.55000,14.33000
2018-12-31,226247.00000,172401.00000,53846.00000,-34074.00000,36502.00000,17344.00000,-1400.00000,15944.00000,3562.00000,12382.00000,12382.00000,11986.00000,19772.00000,17344.00000,963.00000,983.00000,12.45000,12.19000
2017-12-31,201159.00000,154148.00000,47011.00000,-29557.00000,31802.00000,15209.00000,-1186.00000,14023.00000,3200.00000,10823.00000,10823.00000,10558.00000,17454.00000,15209.00000,964.00000,985.00000,10.95000,10.72000
2016-12-31,184840.00000,141454.00000,43386.00000,-28401.00000,30456.00000,12930.00000,-1067.00000,11863.00000,4790.00000,7073.00000,7073.00000,7017.00000,14985.00000,12930.00000,952.00000,968.00000,7.37000,7.25000
2015-12-31,157107.00000,120081.00000,37026.00000,-24312.00000,26005.00000,11021.00000,-790.00000,10231.00000,4363.00000,5868.00000,5868.00000,5813.00000,12714.00000,11021.00000,953.00000,967.00000,6.10000,6.01000
2014-12-31,130474.00000,97459.00000,33015.00000,-21263.00000,22741.00000,10274.00000,-618.00000,9656.00000,4037.00000,5619.00000,5619.00000,5619.00000,11752.00000,10274.00000,972.00000,986.00000,5.78000,5.70000
2013-12-31,122489.00000,92550.00000,29939.00000,-18941.00000,20316.00000,9623.00000,-708.00000,8915.00000,3242.00000,5673.00000,5673.00000,5625.00000,10998.00000,9623.00000,1006.00000,1023.00000,5.59000,5.50000
2012-12-31,110618.00000,82749.00000,27869.00000,-17306.00000,18615.00000,9254.00000,-632.00000,8622.00000,3096.00000,5526.00000,5526.00000,5526.00000,10563.00000,9254.00000,1027.00000,1046.00000,5.38000,5.28000
2011-12-31,101862.00000,76717.00000,25145.00000,-15557.00000,16681.00000,8464.00000,-505.00000,7959.00000,2817.00000,5142.00000,5142.00000,5142.00000,9588.00000,8464.00000,1070.00000,1087.00000,4.81000,4.73000
2010-12-31,94155.00000,70957.00000,23198.00000,-14270.00000,15334.00000,7864.00000,-481.00000,7383.00000,2749.00000,4634.00000,4634.00000,4634.00000,8928.00000,7864.00000,1120.00000,1131.00000,4.14000,4.10000
2009-12-31,87138.00000,67054.00000,20084.00000,-12734.00000,13725.00000,6359.00000,-551.00000,5808.00000,1986.00000,3822.00000,3822.00000,3822.00000,7350.00000,6359.00000,1168.00000,1179.00000,3.27000,3.24000
