,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,60050.00000,46001.00000,14049.00000,14922.00000,15825.00000,-1776.00000,-1776.00000,-370.00000,-1406.00000,-1462.00000,,-1438.00000,-749.00000,-1776.00000,372.30000,372.30000,-3.93000,-3.93000
2021-12-31,70934.00000,44814.00000,26120.00000,15679.00000,16739.00000,9381.00000,9381.00000,1674.00000,7707.00000,7794.00000,,7724.00000,10645.00000,9381.00000,387.20000,390.10000,19.65000,19.51000
2020-12-31,57033.00000,41222.00000,15811.00000,16134.00000,16134.00000,-323.00000,-323.00000,-81.00000,-242.00000,-146.00000,,-374.00000,134.00000,-323.00000,395.80000,395.80000,-1.00000,-1.00000
2019-12-31,64807.00000,43974.00000,20833.00000,15748.00000,15748.00000,5085.00000,5085.00000,947.00000,4138.00000,4238.00000,,4186.00000,5545.00000,5085.00000,404.80000,410.90000,10.23000,10.11000
2018-12-31,62992.00000,43936.00000,19056.00000,14222.00000,14222.00000,4834.00000,4834.00000,822.00000,4012.00000,4088.00000,,4074.00000,4995.00000,4834.00000,417.60000,426.20000,9.64000,9.50000
2017-12-31,59689.00000,39707.00000,19982.00000,13495.00000,13495.00000,6487.00000,6487.00000,-1438.00000,7925.00000,7974.00000,,7863.00000,6709.00000,6487.00000,427.00000,436.00000,18.19000,17.86000
2016-12-31,58779.00000,39418.00000,19361.00000,13656.00000,13656.00000,5705.00000,5705.00000,1335.00000,4370.00000,4419.00000,,4368.00000,6023.00000,5705.00000,438.20000,446.60000,9.85000,9.71000
2015-12-31,57119.00000,36318.00000,20801.00000,13032.00000,13032.00000,7769.00000,7769.00000,2072.00000,5697.00000,5712.00000,,5642.00000,7882.00000,7769.00000,451.70000,460.40000,12.37000,12.17000
2014-12-31,54105.00000,38566.00000,15539.00000,13780.00000,13780.00000,1759.00000,1759.00000,349.00000,1410.00000,1426.00000,12.00000,1381.00000,2390.00000,1759.00000,458.50000,467.70000,3.25000,3.23000
2013-12-31,41461.00000,31894.00000,9567.00000,11251.00000,11251.00000,-1684.00000,-1684.00000,-1058.00000,-626.00000,-567.00000,7.00000,-667.00000,-1273.00000,-1684.00000,463.10000,463.10000,-1.55000,-1.55000
2012-12-31,84847.00000,71541.00000,13306.00000,12598.00000,12598.00000,708.00000,708.00000,213.00000,495.00000,555.00000,15.00000,520.00000,1010.00000,708.00000,465.60000,468.10000,1.06000,1.05000
2011-12-31,49085.00000,30821.00000,18264.00000,13300.00000,13300.00000,4964.00000,4964.00000,1515.00000,3449.00000,3631.00000,35.00000,3632.00000,5254.00000,4964.00000,480.20000,488.70000,7.21000,7.12000
2010-12-31,38217.00000,24683.00000,13534.00000,9394.00000,9394.00000,4140.00000,4140.00000,1243.00000,2897.00000,2979.00000,33.00000,3001.00000,4036.00000,4140.00000,466.80000,475.40000,5.38000,5.32000
2009-12-31,32380.00000,22128.00000,10252.00000,8728.00000,8728.00000,1524.00000,1524.00000,-62.00000,1586.00000,3109.00000,-19.00000,3124.00000,1699.00000,1524.00000,444.60000,448.20000,7.68000,7.63000
