,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,3573.40000,1816.90000,1756.50000,,-553.40000,880.40000,876.09990,876.10000,204.30000,671.80000,671.80000,659.10000,1203.50000,1017.30000,277.50000,278.60000,2.38000,2.37000
2021-12-31,3051.40000,1636.90000,1414.50000,,-433.80000,651.70000,762.79980,762.80000,175.70000,587.10000,587.10000,574.20000,976.49980,827.79980,276.00000,277.40000,2.08000,2.07000
2020-12-31,2613.40000,1436.40000,1177.00000,,-359.10000,552.90000,624.09990,624.10000,143.60000,480.50000,480.50000,465.30000,819.39980,683.09990,274.30000,275.80000,1.70000,1.69000
2019-12-31,2392.17100,1308.16500,1084.00600,,-365.70200,558.07700,525.92880,525.92900,127.41500,398.51400,398.51400,385.64100,720.35280,589.58880,272.47100,274.61600,1.42000,1.40000
2018-12-31,2014.24600,1068.91400,945.33200,,-332.91200,482.87000,462.46200,462.46200,118.20700,344.25500,344.25500,335.95800,614.03700,503.04210,270.97100,275.52100,1.24000,1.22000
2017-12-31,1881.34700,994.65200,886.69510,,-290.51300,436.97300,449.72200,449.72200,50.09200,399.63000,399.63000,389.88400,598.04410,488.03810,272.58000,277.58600,1.43000,1.40000
2016-12-31,1766.62900,925.21700,841.41200,,-270.76600,417.91300,423.49910,423.49900,166.00800,257.49100,257.49100,250.78600,572.44710,462.98010,272.27800,275.60800,0.92000,0.91000
2015-12-31,1660.50900,856.95200,803.55700,,-253.43900,400.99800,402.55910,402.55900,159.24100,243.31800,243.31800,237.62300,550.27510,441.80710,275.62000,280.22400,0.86000,0.85000
2014-12-31,1575.79600,811.11200,764.68400,,-292.69100,424.93500,339.74900,339.74900,132.85300,206.89600,206.89600,201.71000,472.03900,368.15700,281.88800,285.78200,0.71500,0.70500
2013-12-31,1363.27900,683.00000,680.27910,22.60300,-198.21000,322.67000,357.60900,357.60900,140.49700,217.11200,217.11200,211.66600,459.46600,374.04900,282.06600,285.24800,0.75000,0.74000
2012-12-31,1200.03200,608.50600,591.52600,15.86500,-175.80700,286.71490,304.81100,304.81100,120.76600,184.04500,184.04500,178.73200,399.85400,320.90800,278.72800,284.02000,0.64000,0.63000
2011-12-31,1013.54200,508.67500,504.86700,11.19400,-141.87300,234.34610,270.52090,270.52100,106.52600,163.99500,163.99500,158.89600,351.79990,284.65290,277.16400,280.52800,0.57500,0.56500
2010-12-31,973.49200,487.82000,485.67200,6.84500,-134.17700,219.57400,266.09800,266.09800,104.34600,161.75200,161.75200,156.65500,344.65000,280.56900,275.84800,278.63600,0.57000,0.56000
2009-12-31,967.87700,484.68000,483.19700,7.35800,-143.38900,228.44290,254.75410,254.75400,101.46000,153.29400,153.29400,148.35700,332.45010,269.35310,274.34600,275.01400,0.54000,0.54000
