,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,154792.00000,26097.00000,128695.00000,82529.00000,82529.00000,46166.00000,,46166.00000,8490.00000,37676.00000,37676.00000,35892.00000,2965.80000,2970.00000,12.10000,12.09000
2021-12-31,127202.00000,5553.00000,121649.00000,62087.00000,62087.00000,59562.00000,,59562.00000,11228.00000,48334.00000,48334.00000,46503.00000,3021.50000,3026.60000,15.39000,15.36000
2020-12-31,129911.00000,9960.00000,119951.00000,84136.00000,84136.00000,35815.00000,,35815.00000,6684.00000,29131.00000,29131.00000,27410.00000,3082.40000,3087.40000,8.89000,8.88000
2019-12-31,142515.00000,26795.00000,115720.00000,70854.00000,70854.00000,44866.00000,,44866.00000,8435.00000,36431.00000,36431.00000,34642.00000,3221.50000,3230.40000,10.75000,10.72000
2018-12-31,129824.00000,21041.00000,108783.00000,68019.00000,68019.00000,40764.00000,,40764.00000,8290.00000,32474.00000,32474.00000,30709.00000,3396.40000,3414.00000,9.04000,9.00000
2017-12-31,114579.00000,13874.00000,100705.00000,64805.00000,64805.00000,35900.00000,,35900.00000,11459.00000,24441.00000,24441.00000,22567.00000,3551.60000,3576.80000,6.35000,6.31000
2016-12-31,106387.00000,9818.00000,96569.00000,62033.00000,62033.00000,34536.00000,,34536.00000,9803.00000,24733.00000,24733.00000,22834.00000,3658.80000,3690.00000,6.24000,6.19000
2015-12-31,101006.00000,7463.00000,93543.00000,62841.00000,62841.00000,30702.00000,,30702.00000,6260.00000,24442.00000,24442.00000,22651.00000,3741.20000,3773.60000,6.05000,6.00000
2014-12-31,103009.00000,7897.00000,95112.00000,64413.00000,64413.00000,30699.00000,,30699.00000,8954.00000,21745.00000,21745.00000,20077.00000,3763.50000,3797.50000,5.33000,5.29000
2013-12-31,106717.00000,9350.00000,97367.00000,70692.00000,70692.00000,26675.00000,,26675.00000,8789.00000,17886.00000,17886.00000,16557.00000,3782.40000,3814.90000,4.38000,4.34000
2012-12-31,108074.00000,11043.00000,97031.00000,68114.00000,68114.00000,28917.00000,,28917.00000,7633.00000,21284.00000,21284.00000,19877.00000,3809.40000,3822.20000,5.22000,5.20000
2011-12-31,110838.00000,13604.00000,97234.00000,69637.00000,70485.00000,26749.00000,,26749.00000,7773.00000,18976.00000,18976.00000,17568.00000,3900.40000,3920.30000,4.50000,4.48000
2010-12-31,115475.00000,12781.00000,102694.00000,76899.00000,77835.00000,24859.00000,,24859.00000,7489.00000,17370.00000,17370.00000,15764.00000,3956.30000,3976.90000,3.98000,3.96000
2009-12-31,115632.00000,15198.00000,100434.00000,82836.00000,83886.00000,16548.00000,-481.00000,16067.00000,4415.00000,11652.00000,11652.00000,8774.00000,3862.80000,3879.70000,2.27000,2.26000
