,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,13692.00000,1544.00000,12148.00000,8518.00000,8756.00000,3392.00000,-65.00000,3327.00000,553.00000,2774.00000,2774.00000,2660.00000,365.21400,370.10900,7.28000,7.19000
2021-12-31,12030.00000,3.00000,12027.00000,8546.00000,8791.00000,3236.00000,-65.00000,3171.00000,478.00000,2693.00000,2693.00000,2572.00000,352.56500,357.96200,7.30000,7.19000
2020-12-31,12078.00000,375.00000,11703.00000,8520.00000,8754.00000,2949.00000,-50.00000,2899.00000,479.00000,2420.00000,2420.00000,2257.00000,352.86500,357.10600,6.40000,6.32000
2019-12-31,13131.00000,1375.00000,11756.00000,8731.00000,8967.00000,2789.00000,-77.00000,2712.00000,470.00000,2242.00000,2242.00000,2009.00000,369.91100,373.66600,5.43000,5.38000
2018-12-31,13122.00000,991.00000,12131.00000,8780.00000,9006.00000,3125.00000,-24.00000,3101.00000,508.00000,2593.00000,2593.00000,2404.00000,371.98300,376.47600,6.46000,6.39000
2017-12-31,11870.00000,604.00000,11266.00000,7791.00000,8005.00000,3261.00000,-266.00000,2995.00000,839.00000,2156.00000,2156.00000,1972.00000,374.79300,380.21300,5.26000,5.19000
2016-12-31,10635.00000,428.00000,10207.00000,7671.00000,7878.00000,2329.00000,-209.00000,2120.00000,-22.00000,2142.00000,2143.00000,1968.00000,391.48500,396.09000,5.03000,4.97000
2015-12-31,10760.00000,400.00000,10360.00000,7840.00000,8037.00000,2323.00000,-25.00000,2298.00000,318.00000,1980.00000,1980.00000,1848.00000,407.85600,413.63800,4.53000,4.47000
2014-12-31,10666.00000,392.00000,10274.00000,7482.00000,7704.00000,2570.00000,-133.00000,2437.00000,415.00000,2022.00000,2022.00000,1958.00000,424.22300,432.00700,4.62000,4.53000
2013-12-31,10275.00000,411.00000,9864.00000,6880.00000,7094.00000,2770.00000,-104.00000,2666.00000,616.00000,2050.00000,2050.00000,2016.00000,446.24500,455.15500,4.52000,4.43000
2012-12-31,10125.00000,476.00000,9649.00000,6460.00000,6658.00000,2991.00000,-225.00000,2766.00000,705.00000,2061.00000,2061.00000,2019.00000,474.45800,481.12900,4.25000,4.20000
2011-12-31,10207.00000,613.00000,9594.00000,6589.00000,6789.00000,2805.00000,-269.00000,2536.00000,616.00000,1920.00000,1920.00000,1882.00000,492.59800,496.07200,3.82000,3.79000
2010-12-31,9716.00000,763.00000,8953.00000,6436.00000,6615.00000,2338.00000,-252.00000,2086.00000,530.00000,1556.00000,1556.00000,1540.00000,495.39400,497.92400,3.11000,3.09000
2009-12-31,9362.00000,722.00000,8640.00000,5680.00000,5816.00000,2824.00000,-299.00000,2525.00000,722.00000,1803.00000,1803.00000,-2044.00000,470.60200,474.00300,-4.32000,-4.32000
