,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,8130.00000,885.00000,7245.00000,4912.00000,4912.00000,2333.00000,,2333.00000,422.00000,1911.00000,1911.00000,6.00000,1799.00000,924.36300,933.05900,1.94000,1.93000
2021-12-31,7561.00000,296.00000,7265.00000,4011.00000,4011.00000,3254.00000,,3254.00000,642.00000,2612.00000,2612.00000,13.00000,2519.00000,947.06500,957.41400,2.65000,2.63000
2020-12-31,7337.00000,651.00000,6686.00000,5130.00000,5130.00000,1556.00000,,1556.00000,227.00000,1329.00000,1329.00000,14.00000,1237.00000,967.78300,974.80700,1.28000,1.27000
2019-12-31,7694.00000,1326.00000,6368.00000,4257.00000,4346.00000,2022.00000,,2022.00000,314.00000,1708.00000,1708.00000,9.00000,1620.00000,992.09100,1002.25400,1.63000,1.62000
2018-12-31,7393.00000,969.00000,6424.00000,4122.00000,4221.00000,2203.00000,,2203.00000,344.00000,1859.00000,1859.00000,7.00000,1800.00000,1040.89000,1054.68200,1.73000,1.71000
2017-12-31,6868.00000,613.00000,6255.00000,4232.00000,4327.00000,1928.00000,,1928.00000,637.00000,1291.00000,1291.00000,7.00000,1226.00000,1072.07800,1088.59300,1.14000,1.13000
2016-12-31,5390.00000,400.00000,4990.00000,3967.00000,4022.00000,968.00000,,968.00000,179.00000,789.00000,789.00000,1.00000,754.00000,927.81600,938.53600,0.81000,0.80000
2015-12-31,4502.00000,274.00000,4228.00000,2970.00000,3006.00000,1222.00000,,1222.00000,303.00000,919.00000,919.00000,1.00000,893.00000,836.84600,844.48900,1.06000,1.05000
2014-12-31,4351.00000,261.00000,4090.00000,2779.00000,2818.00000,1272.00000,,1272.00000,326.00000,946.00000,946.00000,-39.00000,878.00000,871.46400,878.19900,1.01000,0.99000
2013-12-31,4386.00000,295.00000,4091.00000,2906.00000,2950.00000,1141.00000,,1141.00000,271.00000,870.00000,870.00000,40.00000,887.00000,906.52400,912.57100,0.98000,0.97000
2012-12-31,4561.00000,441.00000,4120.00000,3040.00000,3040.00000,1080.00000,-7.00000,1073.00000,231.00000,842.00000,842.00000,23.00000,836.00000,938.94100,943.25900,0.89000,0.89000
2011-12-31,4577.00000,622.00000,3955.00000,2648.00000,2652.00000,1303.00000,28.00000,1331.00000,364.00000,967.00000,967.00000,-35.00000,813.00000,931.93400,935.80100,0.87000,0.87000
2010-12-31,5362.00000,897.00000,4465.00000,3706.00000,3720.00000,745.00000,48.00000,793.00000,186.00000,607.00000,607.00000,-23.00000,390.00000,874.74800,878.15300,0.45000,0.44000
2009-12-31,5830.00000,1415.00000,4415.00000,6405.00000,6405.00000,-1990.00000,-308.00000,-2298.00000,-1035.00000,-1263.00000,-1263.00000,-48.00000,-1629.00000,697.15500,697.15500,-2.34000,-2.34000
