,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,3740.00000,206.00000,3534.00000,2058.00000,2058.00000,1476.00000,,1476.00000,325.00000,1151.00000,1151.00000,,1122.00000,131.00000,133.00000,8.56000,8.47000
2021-12-31,3024.00000,57.00000,2967.00000,1477.00000,1477.00000,1490.00000,,1490.00000,322.00000,1168.00000,1168.00000,,1140.00000,135.00000,137.00000,8.45000,8.35000
2020-12-31,3094.00000,182.00000,2912.00000,2291.00000,2291.00000,621.00000,,621.00000,124.00000,497.00000,497.00000,,482.00000,139.00000,140.00000,3.45000,3.43000
2019-12-31,3817.00000,468.00000,3349.00000,1811.00000,1811.00000,1538.00000,,1538.00000,336.00000,1202.00000,1202.00000,,1195.00000,150.00000,151.00000,7.98000,7.90000
2018-12-31,3595.00000,267.00000,3328.00000,1740.00000,1740.00000,1588.00000,-53.00000,1535.00000,300.00000,1235.00000,1235.00000,,1227.00000,168.00000,171.00000,7.31000,7.20000
2017-12-31,3289.00000,121.00000,3168.00000,1889.00000,1889.00000,1279.00000,-45.00000,1234.00000,491.00000,743.00000,743.00000,,738.00000,174.00000,178.00000,4.23000,4.14000
2016-12-31,2960.00000,112.00000,2848.00000,2085.00000,2085.00000,763.00000,-93.00000,670.00000,193.00000,477.00000,477.00000,,473.00000,172.00000,177.00000,2.74000,2.68000
2015-12-31,2819.00000,95.00000,2724.00000,1974.00000,1974.00000,750.00000,,750.00000,229.00000,521.00000,521.00000,,515.00000,176.00000,181.00000,2.93000,2.84000
2014-12-31,2607.00000,95.00000,2512.00000,1642.00000,1642.00000,870.00000,,870.00000,277.00000,593.00000,593.00000,,586.00000,179.00000,185.00000,3.28000,3.16000
2013-12-31,2666.00000,112.00000,2554.00000,1768.00000,1768.00000,786.00000,,786.00000,245.00000,541.00000,541.00000,,533.00000,183.00000,187.00000,2.92000,2.85000
2012-12-31,2733.00000,135.00000,2598.00000,1801.00000,1801.00000,797.00000,-35.00000,762.00000,241.00000,521.00000,521.00000,,515.00000,191.00000,192.00000,2.68000,2.67000
2011-12-31,2601.00000,156.00000,2445.00000,1840.00000,1840.00000,605.00000,-75.00000,530.00000,137.00000,393.00000,393.00000,,389.00000,185.00000,186.00000,2.11000,2.09000
2010-12-31,2642.00000,207.00000,2435.00000,2120.00000,2120.00000,315.00000,,315.00000,55.00000,260.00000,260.00000,17.00000,153.00000,170.00000,173.00000,0.90000,0.88000
2009-12-31,3155.00000,538.00000,2617.00000,2732.00000,2732.00000,-115.00000,,-115.00000,-131.00000,16.00000,16.00000,1.00000,-118.00000,149.00000,149.00000,-0.79000,-0.79000
