,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,2248.59800,404.34100,1844.25700,107.20500,264.58300,489.76000,1354.49700,-163.79900,1043.84100,173.26800,870.57290,870.57290,,870.57300,1502.12500,1354.49700,80.74600,81.21500,10.78000,10.72000
2021-12-31,2043.54400,358.68400,1684.86000,111.56400,243.18500,464.24200,1220.61800,-214.58900,858.13600,132.15300,725.98300,725.98300,,725.98300,1359.66600,1220.61800,82.50800,83.47900,8.80000,8.70000
2020-12-31,1695.39000,291.70400,1403.68600,101.05300,216.49600,404.29500,999.39100,-198.53900,686.22500,84.40300,601.82200,601.82200,,601.82200,1114.63100,999.39100,83.71600,84.51700,7.19000,7.12000
2019-12-31,1557.79600,294.96100,1262.83500,98.33400,329.39100,507.13400,755.70100,-152.38300,603.31800,39.67000,563.64800,563.64800,,563.64800,861.67210,755.70100,84.64400,85.53600,6.66000,6.59000
2018-12-31,1433.98400,287.33500,1146.64900,81.41100,292.80500,459.75100,686.89800,-57.00200,629.89600,122.01100,507.88500,507.88500,,507.88500,776.14800,686.89800,87.17900,89.70100,5.83000,5.66000
2017-12-31,1274.17200,273.68100,1000.49100,75.84900,264.88500,420.72100,579.77000,-112.87100,466.89900,162.92700,303.97200,303.97200,,303.97200,663.15300,579.77000,90.33600,91.91400,3.36000,3.31000
2016-12-31,1150.66900,252.10700,898.56200,75.20400,253.90100,410.45800,488.10390,-102.16600,385.93800,125.08300,260.85500,260.85500,,260.85500,572.52500,488.10390,95.98600,96.54000,2.72000,2.70000
2015-12-31,1075.01300,267.69500,807.31790,77.32000,248.30100,403.42010,403.89790,-54.34400,349.55400,119.51600,230.03800,230.03800,-6.39000,223.64800,483.83190,403.89790,109.12400,109.92600,2.05000,2.03000
2014-12-31,996.68000,276.62300,720.05700,71.09500,240.20800,382.89100,337.16600,-28.82800,308.33800,109.39600,198.94200,198.94200,85.17100,284.11300,421.67900,337.16600,115.73700,116.70600,2.45000,2.43000
2013-12-31,913.36400,240.69700,672.66700,61.00300,206.15100,332.33600,340.33110,-27.50300,312.82800,112.91800,199.91000,199.91000,22.64700,222.55700,425.25010,340.33110,120.10000,121.07400,1.85000,1.83000
2012-12-31,826.99000,230.28200,596.70800,,211.90500,278.47300,318.23500,-57.43400,260.80100,96.01000,164.79100,164.79100,19.44700,184.23800,423.60300,318.23500,122.02300,123.20400,1.50000,1.48000
2011-12-31,900.94100,277.14700,623.79390,,212.97200,301.79600,321.99800,-58.58500,263.41300,89.95900,173.45400,173.45400,,173.45400,414.05500,321.99800,120.71700,122.27600,1.43000,1.41000
2010-12-31,,,,,,,,,,,,,,,,,,,,0.00000
2010-11-30,662.90100,198.62600,464.27500,,190.24400,258.15200,206.12300,-52.63200,153.49100,61.32100,92.17000,92.17000,,91.42800,274.56200,206.12300,112.07400,113.35700,0.82000,0.81000
2009-11-30,442.94800,118.66500,324.28300,,135.78000,173.29100,150.99200,-19.27100,131.72100,49.92000,81.80100,81.80100,,80.55500,190.10000,150.99200,100.60700,100.86000,0.80000,0.80000
