,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,19502.00000,9153.00000,10349.00000,,-5745.00000,5745.00000,4604.00000,4604.00000,403.00000,4201.00000,4201.00000,4201.00000,4604.00000,4604.00000,634.81600,637.65500,6.62000,6.59000
2021-12-31,22106.00000,11832.00000,10274.00000,4714.00000,,4952.00000,5322.00000,5322.00000,997.00000,4325.00000,4325.00000,4325.00000,6730.00000,5560.00000,673.61700,676.72900,6.42000,6.39000
2020-12-31,22147.00000,13112.00000,9035.00000,4634.00000,,4876.00000,4159.00000,4159.00000,-619.00000,4778.00000,4778.00000,4778.00000,5615.00000,4401.00000,713.70200,716.19200,6.69000,6.67000
2019-12-31,22307.00000,13263.00000,9044.00000,4371.00000,,4599.00000,4445.00000,4445.00000,1141.00000,3304.00000,3304.00000,3304.00000,5955.00000,4673.00000,742.41400,746.43000,4.45000,4.43000
2018-12-31,21758.00000,13320.00000,8438.00000,4233.00000,,4455.00000,3983.00000,3983.00000,1063.00000,2920.00000,2920.00000,2920.00000,5450.00000,4205.00000,769.58800,774.65000,3.79000,3.77000
2017-12-31,21667.00000,13497.00000,8170.00000,3912.00000,,4152.00000,4018.00000,4018.00000,-586.00000,4604.00000,4604.00000,4604.00000,5390.00000,4258.00000,792.04200,797.86100,5.81000,5.77000
2016-12-31,22559.00000,14287.00000,8272.00000,3937.00000,,4205.00000,4067.00000,4067.00000,1408.00000,2659.00000,2659.00000,2659.00000,5476.00000,4335.00000,822.94200,827.84100,3.23000,3.21000
2015-12-31,20872.00000,13049.00000,7823.00000,3672.00000,,3961.00000,3862.00000,3862.00000,1329.00000,2533.00000,2533.00000,2533.00000,5217.00000,4151.00000,861.30800,866.34400,2.94000,2.92500
2014-12-31,22728.00000,14373.00000,8355.00000,3369.00000,-178.00000,3864.00000,4491.00000,4491.00000,1540.00000,2951.00000,2951.00000,2951.00000,4808.00000,4808.00000,902.40800,908.00000,3.27000,3.25000
2013-12-31,23939.00000,15341.00000,8598.00000,3296.00000,-193.00000,3782.00000,4816.00000,4816.00000,1658.00000,3158.00000,3158.00000,3158.00000,5109.00000,5109.00000,929.00400,934.81600,3.40000,3.38000
2012-12-31,25364.00000,17074.00000,8290.00000,3532.00000,-195.00000,3988.00000,4302.00000,4302.00000,1436.00000,2866.00000,2866.00000,2866.00000,4563.00000,4563.00000,933.73600,938.57400,3.07000,3.05500
2011-12-31,22171.00000,15474.00000,6697.00000,3369.00000,-182.00000,3747.00000,2950.00000,2950.00000,1013.00000,1937.00000,1937.00000,1937.00000,3146.00000,3146.00000,933.03800,938.74000,2.08000,2.06000
2010-12-31,20732.00000,13743.00000,6989.00000,3117.00000,-162.00000,3428.00000,3561.00000,3561.00000,1233.00000,2328.00000,2328.00000,2328.00000,3710.00000,3710.00000,938.07600,946.17000,2.48000,2.46000
2009-12-31,18254.00000,12876.00000,5378.00000,2919.00000,-152.00000,3143.00000,2235.00000,2235.00000,738.00000,1497.00000,1497.00000,1497.00000,2307.00000,2307.00000,933.10400,938.12600,1.60500,1.59500
