,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,20762.00000,20762.00000,9150.00000,,10364.00000,-976.00000,9388.00000,2205.00000,7183.00000,7183.00000,6635.00000,12987.00000,10364.00000,1885.00000,1894.00000,3.52000,3.50000
2021-12-31,18520.00000,18520.00000,8492.00000,,8864.00000,-1151.00000,7713.00000,1858.00000,5855.00000,5855.00000,5360.00000,12374.00000,8864.00000,1887.00000,1897.00000,2.84000,2.83000
2020-12-31,11691.00000,11691.00000,6179.00000,,4908.00000,-608.00000,4300.00000,1001.00000,3299.00000,3299.00000,3043.00000,7098.00000,4908.00000,1429.00000,1435.00000,2.13000,2.12000
2019-12-31,10721.00000,10721.00000,5141.00000,,5231.00000,-383.00000,4848.00000,1144.00000,3704.00000,3704.00000,3526.00000,6026.00000,5231.00000,1311.00000,1320.00000,2.69000,2.67000
2018-12-31,10132.00000,10132.00000,4762.00000,,5064.00000,-502.00000,4562.00000,1055.00000,3507.00000,3507.00000,3329.00000,5720.00000,5064.00000,1348.00000,1361.00000,2.47000,2.45000
2017-12-31,8618.00000,8618.00000,4252.00000,,4097.00000,-447.00000,3650.00000,1296.00000,2354.00000,2354.00000,2180.00000,4708.00000,4097.00000,1339.00000,1353.00000,1.63000,1.61000
2016-12-31,7478.00000,7478.00000,3872.00000,,3372.00000,-379.00000,2993.00000,1104.00000,1889.00000,1889.00000,1746.00000,3872.00000,3372.00000,1324.00000,1334.00000,1.32000,1.31000
2015-12-31,6380.00000,6380.00000,3535.00000,,2621.00000,-342.00000,2279.00000,832.00000,1447.00000,1447.00000,1364.00000,3007.00000,2621.00000,1315.00000,1327.00000,1.04000,1.03000
2014-12-31,6058.00000,6058.00000,3433.00000,,2426.00000,-311.00000,2115.00000,794.00000,1321.00000,1321.00000,1261.00000,2750.00000,2426.00000,1303.00000,1315.00000,0.96000,0.95000
2013-12-31,5435.00000,5435.00000,3228.00000,,2005.00000,-300.00000,1705.00000,634.00000,1071.00000,1071.00000,1010.00000,2369.00000,2005.00000,1285.00000,1293.00000,0.78000,0.78000
2012-12-31,4883.00000,4883.00000,2963.00000,,1724.00000,-274.00000,1450.00000,522.00000,928.00000,928.00000,883.00000,2142.00000,1724.00000,1275.00000,1275.00000,0.69000,0.69000
2011-12-31,4691.00000,4691.00000,2868.00000,-7.00000,1661.00000,-269.00000,1392.00000,528.00000,864.00000,864.00000,864.00000,1952.00000,1661.00000,1229.00000,1229.00000,0.70000,0.70000
2010-12-31,4248.00000,4248.00000,2589.00000,-452.00000,1061.00000,-282.00000,779.00000,325.00000,454.00000,454.00000,454.00000,1242.00000,1061.00000,1191.00000,1194.00000,0.38000,0.38000
2009-12-31,4193.00000,4193.00000,2534.00000,,1500.00000,-224.00000,1276.00000,489.00000,787.00000,787.00000,787.00000,1641.00000,1500.00000,1156.00000,1160.00000,0.68000,0.68000
