,revenue,cost-goods-sold,gross-profit,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,49610.70000,47899.30000,1711.40200,224.80000,1486.60200,-564.50000,922.10000,200.60000,721.50000,721.50000,694.60000,1798.00200,1486.60200,584.40000,587.10000,1.19000,1.18000
2021-12-31,47702.00000,42995.10000,4706.89800,0.00000,4706.89800,-496.90000,4210.00000,859.10000,3350.90000,3350.90000,3324.00000,5174.59900,4706.89800,584.50000,587.10000,5.69000,5.66000
2020-12-31,42658.10000,35042.40000,7615.69900,0.00000,7615.69900,-442.50000,7173.20000,1468.60000,5704.60000,5704.60000,5677.70000,8048.39900,7615.69900,584.90000,587.60000,9.71000,9.66000
2019-12-31,39022.30000,33468.80000,5553.50000,0.00000,5553.50000,-393.20000,5160.30000,1180.30000,3980.00000,3980.00000,3943.40000,5892.90000,5553.50000,583.80000,587.20000,6.75000,6.72000
2018-12-31,31979.00000,28490.50000,3488.50000,0.00000,3488.50000,-324.90000,3163.60000,542.60000,2621.00000,2621.00000,2593.90000,3785.20000,3488.50000,582.40000,586.70000,4.45000,4.42000
2017-12-31,26839.00000,24413.60000,2425.40000,0.00000,2425.40000,-286.50000,2138.90000,540.80000,1598.10000,1598.10000,1592.20000,2747.70000,2425.40000,580.80000,585.70000,2.74000,2.72000
2016-12-31,23441.40000,21715.40000,1726.00200,0.00000,1726.00200,-255.30000,1470.70000,413.50000,1057.20000,1057.20000,1031.00000,2002.70200,1726.00200,581.70000,585.00000,1.77000,1.76000
2015-12-31,20853.80000,18705.90000,2147.90000,0.00000,2147.90000,-236.30000,1911.60000,611.10000,1300.50000,1300.50000,1267.60000,2396.80000,2147.90000,585.50000,589.20000,2.16000,2.15000
2014-12-31,19391.40000,17297.30000,2094.10000,0.00000,2094.10000,-186.70000,1907.40000,626.40000,1281.00000,1281.00000,1281.00000,2269.40000,2094.10000,590.60000,594.80000,2.17000,2.15000
2013-12-31,18170.90000,16275.10000,1895.80000,0.00000,1895.80000,-175.80000,1720.00000,554.60000,1165.40000,1165.40000,1165.40000,2131.10000,1895.80000,599.10000,603.60000,1.95000,1.93000
2012-12-31,17083.90000,15590.90000,1493.00000,0.00000,1493.00000,-175.30000,1317.70000,415.40000,902.29990,902.29990,902.30000,1774.10000,1493.00000,603.30000,607.80000,1.50000,1.48000
2011-12-31,15774.60000,14122.00000,1652.60000,0.00000,1652.60000,-165.60000,1487.00000,471.50000,1015.50000,1015.50000,1015.50000,1974.10000,1652.60000,632.30000,636.90000,1.61000,1.59000
2010-12-31,15215.50000,13483.50000,1732.00000,0.00000,1732.00000,-166.80000,1565.20000,496.90000,1068.30000,1068.30000,1068.30000,2044.30000,1732.00000,657.90000,663.30000,1.62000,1.61000
2009-12-31,14563.60000,12837.20000,1726.39900,0.00000,1726.39900,-169.50000,1556.90000,499.40000,1057.50000,1057.50000,1057.50000,2044.49900,1726.39900,666.80000,672.20000,1.59000,1.57000
