,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,6753.00000,888.00000,5865.00000,3724.00000,3724.00000,2141.00000,2141.00000,476.00000,1665.00000,1665.00000,1507.00000,181.00000,183.00000,8.32000,8.25000
2021-12-31,5305.00000,271.00000,5034.00000,3206.00000,3206.00000,1828.00000,1828.00000,350.00000,1478.00000,1478.00000,1379.00000,177.00000,180.00000,7.78000,7.68000
2020-12-31,4508.00000,591.00000,3917.00000,2583.00000,2583.00000,1334.00000,1334.00000,270.00000,1064.00000,1064.00000,1005.00000,172.00000,173.00000,5.85000,5.81000
2019-12-31,4156.00000,815.00000,3341.00000,2208.00000,2208.00000,1133.00000,1133.00000,203.00000,930.00000,930.00000,881.00000,168.00000,170.00000,5.25000,5.20000
2018-12-31,3575.05100,530.49800,3044.55300,1992.81100,1992.81100,1051.74200,1051.74200,197.91400,853.82790,853.82790,796.10300,162.94800,165.61200,4.89000,4.81000
2017-12-31,2912.07900,300.15500,2611.92400,1699.72200,1699.72200,912.20180,912.20200,154.54200,757.66000,757.66000,699.62000,157.62400,162.34000,4.44000,4.31000
2016-12-31,2375.68500,163.71100,2211.97400,1384.37800,1384.37800,827.59590,827.59600,154.16800,673.42800,673.42800,604.83900,148.75200,154.09500,4.07000,3.93000
2015-12-31,1989.14500,147.42900,1841.71600,1129.28800,1151.04800,690.66800,690.66800,168.52300,522.14500,522.14500,463.21700,141.68900,145.51000,3.27000,3.18000
2014-12-31,1801.36400,152.24900,1649.11500,956.48800,979.23200,669.88290,669.88300,182.87700,487.00600,487.00600,431.45000,136.42000,140.49700,3.16000,3.07000
2013-12-31,1600.36800,131.84300,1468.52500,778.81900,804.96600,663.55900,663.55900,201.48900,462.07000,462.07000,421.39900,131.32600,135.94900,3.21000,3.10000
2012-12-31,1455.94000,114.18600,1341.75400,719.93510,740.40700,601.34700,601.34700,198.64500,402.70200,402.70200,369.22100,130.05100,134.18900,2.84000,2.75000
2011-12-31,1300.88700,117.21800,1183.66900,596.29410,619.01710,564.65200,564.65200,205.65900,358.99300,358.99300,354.38800,129.06100,132.72400,2.75000,2.67000
2010-12-31,1151.54300,149.53600,1002.00700,520.05800,532.36100,469.64600,469.64600,193.64500,276.00100,276.00100,271.20900,124.62100,126.77600,2.17600,2.13900
2009-12-31,1330.96100,258.44300,1072.51800,466.74000,466.74000,605.77800,605.77800,254.31600,351.46200,351.46200,346.64300,,,,0.00000
