,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,23542.00000,2422.00000,21120.00000,13647.00000,13647.00000,7473.00000,7473.00000,1360.00000,6113.00000,6113.00000,,5708.00000,412.00000,412.00000,13.86000,13.85000
2021-12-31,19698.00000,487.00000,19211.00000,12223.00000,12223.00000,6988.00000,6988.00000,1263.00000,5725.00000,5725.00000,,5409.00000,426.00000,426.00000,12.71000,12.70000
2020-12-31,18262.00000,1361.00000,16901.00000,13472.00000,13472.00000,3429.00000,3429.00000,426.00000,3003.00000,3003.00000,,2716.00000,427.00000,427.00000,16.99000,16.96000
2019-12-31,20636.00000,3797.00000,16839.00000,11347.00000,11347.00000,5492.00000,5492.00000,901.00000,4591.00000,4591.00000,827.00000,4284.00000,447.00000,448.00000,11.43000,11.39000
2018-12-31,19051.00000,2861.00000,16190.00000,10704.00000,10704.00000,5486.00000,5486.00000,928.00000,4558.00000,4558.00000,788.00000,5061.00000,467.00000,470.00000,10.79000,10.71000
2017-12-31,18035.00000,1706.00000,16329.00000,10839.00000,10839.00000,5490.00000,5490.00000,102.00000,5388.00000,5388.00000,,5053.00000,481.00000,486.00000,10.49000,10.36000
2016-12-31,16423.00000,1261.00000,15162.00000,9909.00000,9909.00000,5253.00000,5253.00000,1268.00000,3985.00000,3985.00000,,3662.00000,494.00000,500.00000,7.42000,7.30000
2015-12-31,16270.00000,1045.00000,15225.00000,9718.00000,9718.00000,5507.00000,5507.00000,1364.00000,4143.00000,4143.00000,,3864.00000,514.00000,521.00000,7.52000,7.39000
2014-12-31,16281.00000,906.00000,15375.00000,9761.00000,9761.00000,5614.00000,5614.00000,1407.00000,4207.00000,4207.00000,,3936.00000,529.00000,537.00000,7.44000,7.30000
2013-12-31,16872.00000,860.00000,16012.00000,10324.00000,10324.00000,5688.00000,5688.00000,1476.00000,4212.00000,4212.00000,,3934.00000,528.00000,532.00000,7.45000,7.36000
2012-12-31,16606.00000,1094.00000,15512.00000,11473.00000,11473.00000,4039.00000,4039.00000,1045.00000,2994.00000,2994.00000,,2806.00000,526.00000,529.00000,5.33000,5.28000
2011-12-31,15820.00000,1494.00000,14326.00000,10257.00000,10257.00000,4069.00000,4069.00000,998.00000,3071.00000,3071.00000,,2998.00000,524.00000,526.00000,5.70000,5.64000
2010-12-31,17096.00000,1920.00000,15176.00000,11115.00000,11115.00000,4061.00000,4061.00000,1037.00000,3024.00000,3024.00000,373.00000,3011.00000,517.00000,520.00000,5.80000,5.74000
2009-12-31,19231.00000,3003.00000,16228.00000,13003.00000,13003.00000,3225.00000,3225.00000,867.00000,2358.00000,2358.00000,45.00000,2003.00000,454.00000,455.00000,4.40000,4.36000
