,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,8773.00000,999.00000,7774.00000,382.00000,-5136.00000,5680.00000,2094.00000,-360.00000,1734.00000,477.00000,1257.00000,1257.00000,,1255.00000,2310.00000,2094.00000,275.00000,277.00000,4.56000,4.53000
2021-12-31,5788.00000,679.00000,5109.00000,405.00000,-3506.00000,4099.00000,1010.00000,-450.00000,560.00000,153.00000,407.00000,407.00000,,410.00000,1246.00000,1010.00000,279.00000,281.00000,1.47000,1.46000
2020-12-31,4307.00000,620.00000,3687.00000,311.00000,-3422.00000,4105.00000,-418.00000,-506.00000,-924.00000,-204.00000,-720.00000,-720.00000,,-715.00000,-41.00000,-418.00000,277.00000,277.00000,-2.58000,-2.58000
2019-12-31,9452.00000,1254.00000,8198.00000,441.00000,-5754.00000,6541.00000,1657.00000,-413.00000,1244.00000,358.00000,886.00000,886.00000,,881.00000,2048.00000,1657.00000,287.00000,290.00000,3.07000,3.04000
2018-12-31,8906.00000,1332.00000,7574.00000,443.00000,-5374.00000,6142.00000,1432.00000,-354.00000,1078.00000,309.00000,769.00000,769.00000,,764.00000,1800.00000,1432.00000,302.00000,305.00000,2.53000,2.50000
2017-12-31,8131.00000,1269.00000,6862.00000,439.00000,-4955.00000,5730.00000,1132.00000,-379.00000,753.00000,-336.00000,1089.00000,1089.00000,,1084.00000,1500.00000,1132.00000,324.00000,327.00000,3.34000,3.32000
2016-12-31,6576.00000,1279.00000,5297.00000,409.00000,-3667.00000,4429.00000,868.00000,-328.00000,540.00000,557.00000,-17.00000,-17.00000,371.00000,338.00000,1589.00000,868.00000,329.00000,329.00000,1.03000,1.03000
2015-12-31,7133.00000,1414.00000,5719.00000,537.00000,-3897.00000,4819.00000,900.00000,-367.00000,533.00000,-348.00000,881.00000,881.00000,535.00000,1404.00000,1630.00000,900.00000,329.00000,330.00000,4.27000,4.26000
2014-12-31,10502.00000,4019.00000,6483.00000,491.00000,-3691.00000,4810.00000,1673.00000,-526.00000,1147.00000,465.00000,682.00000,682.00000,,673.00000,2351.00000,1673.00000,328.00000,329.00000,2.05000,2.05000
2013-12-31,9735.00000,3877.00000,5858.00000,748.00000,-3405.00000,4756.00000,1102.00000,-404.00000,698.00000,238.00000,460.00000,460.00000,,415.00000,1730.00000,1102.00000,307.63590,307.63590,1.35010,1.35010
2012-12-31,9276.00000,3988.00000,5288.00000,460.00000,-3178.00000,4188.00000,1100.00000,-527.00000,573.00000,214.00000,359.00000,359.00000,,352.00000,1645.00000,1100.00000,306.96930,306.96930,1.14010,1.14010
2011-12-31,8783.00000,3881.00000,4902.00000,416.00000,-2947.00000,3927.00000,975.00000,-779.00000,196.00000,-59.00000,255.00000,255.00000,,253.00000,1545.00000,975.00000,306.96930,306.96930,0.81010,0.81010
2010-12-31,8068.00000,3643.00000,4425.00000,637.00000,-2661.00000,3872.00000,553.00000,-134.00000,419.00000,308.00000,111.00000,111.00000,,128.00000,1158.00000,553.00000,,,,0.00000
