,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,19078.00000,6373.00000,12705.00000,6063.00000,-2.00000,9390.00000,3315.00000,-912.00000,2403.00000,349.00000,2054.00000,2054.00000,117.00000,2170.00000,6848.00000,3315.00000,986.00000,987.00000,2.20000,2.20000
2021-12-31,17938.00000,6385.00000,11553.00000,5838.00000,,8871.00000,2682.00000,-1028.00000,1654.00000,38.00000,1616.00000,1616.00000,213.00000,1706.00000,10255.00000,2682.00000,979.00000,980.00000,1.74000,1.74000
2020-12-31,16663.00000,5721.00000,10942.00000,5873.00000,13.00000,8751.00000,2191.00000,-1099.00000,1092.00000,-7.00000,1099.00000,1099.00000,855.00000,1963.00000,8718.00000,2191.00000,976.00000,977.00000,2.01000,2.01000
2019-12-31,34438.00000,15497.00000,18941.00000,10347.00000,32.00000,14567.00000,4374.00000,-389.00000,3985.00000,774.00000,3211.00000,3028.00000,,2936.00000,10154.00000,4374.00000,973.00000,974.00000,3.02000,3.01000
2018-12-31,35978.00000,16670.00000,19308.00000,11120.00000,56.00000,15417.00000,3891.00000,-1666.00000,2225.00000,118.00000,2107.00000,2079.00000,,2005.00000,9862.00000,3891.00000,967.00000,969.00000,2.07000,2.07000
2017-12-31,33558.00000,14035.00000,19523.00000,11756.00000,449.00000,15135.00000,4388.00000,-613.00000,3775.00000,-126.00000,3901.00000,3869.00000,,3779.00000,9815.00000,4388.00000,947.00000,949.00000,3.99000,3.98000
2016-12-31,31366.00000,12640.00000,18726.00000,11530.00000,-48.00000,15514.00000,3212.00000,-1239.00000,1973.00000,753.00000,1220.00000,1196.00000,,1121.00000,8788.00000,3212.00000,924.00000,927.00000,1.21000,1.21000
2015-12-31,29447.00000,13084.00000,16363.00000,9522.00000,18.00000,11954.00000,4409.00000,-1079.00000,3330.00000,1073.00000,2257.00000,2250.00000,,2269.00000,8432.00000,4409.00000,890.00000,893.00000,2.55000,2.54000
2014-12-31,27429.00000,13003.00000,14426.00000,9722.00000,706.00000,11330.00000,3096.00000,-610.00000,2486.00000,666.00000,1820.00000,1820.00000,,1623.00000,7651.00000,3096.00000,860.00000,864.00000,1.89000,1.88000
2013-12-31,24888.00000,10724.00000,14164.00000,8365.00000,23.00000,10495.00000,3669.00000,-896.00000,2773.00000,1044.00000,1729.00000,1729.00000,,1719.00000,7619.00000,3669.00000,856.00000,860.00000,2.01000,2.00000
2012-12-31,23489.00000,10157.00000,13332.00000,8980.00000,-98.00000,10959.00000,2373.00000,-575.00000,1798.00000,627.00000,1171.00000,1171.00000,,1160.00000,6452.00000,2373.00000,816.00000,819.00000,1.42000,1.42000
2011-12-31,19063.00000,7267.00000,11796.00000,5969.00000,-1.00000,7317.00000,4479.00000,-523.00000,3956.00000,1457.00000,2499.00000,2499.00000,,2495.00000,6795.00000,4479.00000,663.00000,665.00000,3.76000,3.75000
2010-12-31,18644.00000,6435.00000,12209.00000,5408.00000,,7483.00000,4726.00000,-505.00000,4221.00000,1658.00000,2563.00000,2563.00000,,2563.00000,7669.00000,4726.00000,661.00000,663.00000,3.88000,3.87000
2009-12-31,17318.00000,5281.00000,12037.00000,5453.00000,,7287.00000,4750.00000,-331.00000,4419.00000,1712.00000,2707.00000,2707.00000,,2707.00000,7351.00000,4750.00000,659.00000,662.00000,4.10000,4.09000
