,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,19428.00000,12448.00000,6980.00000,3443.00000,4012.00000,2968.00000,48.00000,3016.00000,730.00000,2286.00000,2290.00000,2290.00000,3537.00000,2968.00000,518.00000,519.00000,4.42000,4.41000
2021-12-31,18507.00000,11604.00000,6903.00000,3503.00000,4077.00000,2826.00000,1.00000,2827.00000,693.00000,2134.00000,2137.00000,2137.00000,3400.00000,2826.00000,527.00000,528.00000,4.06000,4.05000
2020-12-31,16652.00000,10671.00000,5981.00000,3100.00000,3867.00000,2114.00000,-18.00000,2096.00000,704.00000,1392.00000,1392.00000,1392.00000,2673.00000,2114.00000,540.00000,541.00000,2.58000,2.57000
2019-12-31,16783.00000,10634.00000,6149.00000,2972.00000,3696.00000,2453.00000,90.00000,2543.00000,643.00000,1900.00000,1842.00000,1842.00000,2979.00000,2453.00000,559.00000,560.00000,3.30000,3.29000
2018-12-31,16125.00000,9838.00000,6287.00000,3007.00000,3486.00000,2801.00000,-4.00000,2797.00000,698.00000,2099.00000,2101.00000,2101.00000,3299.00000,2801.00000,582.00000,584.00000,3.61000,3.60000
2017-12-31,14810.00000,9152.00000,5658.00000,2697.00000,3177.00000,2481.00000,174.00000,2655.00000,1153.00000,1502.00000,1504.00000,1504.00000,2924.00000,2481.00000,593.00000,595.00000,2.54000,2.53000
2016-12-31,13487.00000,8108.00000,5379.00000,2731.00000,3090.00000,2289.00000,68.00000,2357.00000,805.00000,1552.00000,1553.00000,1553.00000,2668.00000,2289.00000,607.00000,610.00000,2.56000,2.55000
2015-12-31,12416.00000,7440.00000,4976.00000,2509.00000,2834.00000,2142.00000,22.00000,2164.00000,540.00000,1624.00000,1624.00000,1624.00000,2472.00000,2142.00000,609.00000,613.00000,2.67000,2.65000
2014-12-31,10263.00000,6141.00000,4122.00000,2037.00000,2237.00000,1885.00000,39.00000,1924.00000,485.00000,1439.00000,1439.00000,1439.00000,2093.00000,1885.00000,608.00000,613.00000,2.37000,2.35000
2013-12-31,8843.20000,5265.50000,3577.70000,1727.60000,1899.80000,1677.90000,10.00000,1687.90000,459.30000,1228.60000,1228.60000,1228.60000,1857.80000,1677.90000,604.00000,609.70000,2.03000,2.02000
2012-12-31,7346.47200,4278.24100,3068.23100,1557.64600,1706.73500,1361.49600,26.10000,1387.59600,336.33300,1051.26300,1051.26300,1051.26300,1518.08400,1361.49600,602.58200,611.72200,1.74000,1.72000
2011-12-31,6121.15600,3538.62200,2582.53400,1328.66500,1446.06600,1136.46800,32.68100,1169.14900,285.53100,883.61800,883.61800,883.61800,1260.64300,1136.46800,606.55400,620.70200,1.45500,1.42500
2010-12-31,4592.38900,2654.56900,1937.82000,972.09300,1075.96800,861.85210,16.72800,878.58000,145.04000,733.54000,733.54000,733.54000,972.02400,861.85210,601.56200,618.27400,1.22000,1.18500
2009-12-31,3278.66300,1849.44300,1429.22000,721.35900,810.73000,618.49020,18.46100,636.95100,101.98800,534.96300,534.96300,534.96300,707.86120,618.49020,586.60800,602.23000,0.91000,0.89000
