,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,4182.16300,1052.90700,3129.25600,114.74200,,1002.88800,2126.36800,2033.10800,4159.47700,4159.47700,99.81700,4366.27400,,4142.28800,3014.51400,2126.36800,175.25700,176.28000,23.64000,23.50000
2021-12-31,3415.82400,920.59800,2495.22600,101.25400,,814.68200,1680.54400,-78.46800,1602.07600,1602.07600,125.47000,1959.63900,,1732.44400,2393.97200,1680.54400,174.85800,175.56800,9.91000,9.87000
2020-12-31,2915.06800,867.46200,2047.60600,83.19900,,636.45600,1411.15000,-33.96000,1377.19000,1377.19000,-96.46000,1361.22700,,1098.33500,1964.40700,1411.15000,174.49400,174.64200,6.29000,6.29000
2019-12-31,2855.10800,813.15200,2041.95600,62.14600,,575.06400,1466.89200,-18.95800,1447.93400,1447.93400,8.17000,1525.65100,,1272.76700,1979.81000,1466.89200,174.28700,174.53000,7.30000,7.29000
2018-12-31,2759.52300,757.08300,2002.44000,104.71200,,588.35800,1414.08200,-7.99000,1406.09200,1406.09200,56.02000,1717.22300,,1488.90000,1897.72800,1414.08200,173.96900,174.29700,8.56000,8.54000
2017-12-31,2668.52800,707.97800,1960.55000,82.88200,,537.40800,1423.14200,6.08100,1429.22300,1429.22300,-56.41300,1448.46500,,1171.60900,1877.66800,1423.14200,173.61300,174.15100,6.75000,6.73000
2016-12-31,2560.54900,669.08300,1891.46600,83.65600,,516.97000,1374.49600,10.92800,1385.42400,1385.42400,18.25900,1460.43900,,1183.87900,1807.81000,1374.49600,173.09100,173.87800,6.84000,6.81000
2015-12-31,2381.69600,635.50200,1746.19400,88.17700,,514.18500,1232.00900,15.93400,1247.94300,1247.94300,18.80900,1317.68900,,1053.05000,1658.01700,1232.00900,172.69900,173.51000,6.10000,6.07000
2014-12-31,2177.29600,613.32400,1563.97200,71.45900,,508.57300,1055.39900,13.33600,1068.73500,1068.73500,-7.04700,1149.95500,,908.17600,1492.51300,1055.39900,172.25100,173.13800,5.27000,5.25000
2013-12-31,1964.94200,559.75900,1405.18300,66.67900,,454.08100,951.10200,31.76800,982.87000,982.87000,17.08200,1057.53100,,844.73100,1338.50400,951.10200,171.64000,172.68800,4.92000,4.89000
2012-12-31,1842.50400,555.90400,1286.60000,56.83700,,414.61800,871.98210,3.71700,875.69900,875.69900,8.87600,930.16100,12.87400,669.69400,1230.08500,871.98210,170.56200,171.66400,3.93000,3.90000
2011-12-31,1735.88800,560.50900,1175.37900,52.41000,-2.18600,412.56490,762.81400,18.91200,781.72600,781.72600,-7.28700,833.14300,3.31600,561.74700,1121.33900,762.81400,169.65700,170.75000,3.31000,3.29000
2010-12-31,1613.77700,528.40400,1085.37300,38.48700,-0.99400,392.72600,692.64700,-0.38100,692.26600,692.26600,-42.26400,688.35400,7.76000,399.17800,1047.03300,692.64700,168.87700,169.77200,2.36000,2.35000
2009-12-31,1622.92000,520.91200,1102.00800,35.73500,,375.18000,726.82810,-29.91600,696.91200,696.91200,47.20200,797.35800,-6.90200,585.96600,1068.95500,726.82810,168.35800,168.76800,3.48000,3.47000
