,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-01-31,16670.00000,10033.00000,6637.00000,-5827.00000,5827.00000,810.00000,-487.00000,323.00000,67.00000,256.00000,256.00000,256.00000,1328.00000,810.00000,376.00000,383.00000,0.68000,0.67000
2021-01-31,13800.00000,9095.00000,4705.00000,-5567.00000,5567.00000,-862.00000,-240.00000,-1102.00000,-437.00000,-665.00000,-665.00000,-665.00000,-312.00000,-862.00000,374.00000,374.00000,-1.78000,-1.78000
2020-01-31,16383.00000,10250.00000,6133.00000,-5559.00000,5559.00000,574.00000,-46.00000,528.00000,177.00000,351.00000,351.00000,351.00000,1133.00000,574.00000,376.00000,378.00000,0.93000,0.93000
2019-01-31,16580.00000,10258.00000,6322.00000,-4960.00000,4960.00000,1362.00000,-40.00000,1322.00000,319.00000,1003.00000,1003.00000,1003.00000,1881.00000,1362.00000,385.00000,388.00000,2.61000,2.59000
2018-01-31,15855.00000,9789.00000,6066.00000,-4587.00000,4587.00000,1479.00000,-55.00000,1424.00000,576.00000,848.00000,848.00000,848.00000,1978.00000,1479.00000,393.00000,396.00000,2.16000,2.14000
2017-01-31,15516.00000,9876.00000,5640.00000,-4449.00000,4449.00000,1191.00000,-67.00000,1124.00000,448.00000,676.00000,676.00000,676.00000,1793.00000,1191.00000,399.00000,400.00000,1.69000,1.69000
2016-01-31,15797.00000,10077.00000,5720.00000,-4196.00000,4196.00000,1524.00000,-53.00000,1471.00000,551.00000,920.00000,920.00000,920.00000,2051.00000,1524.00000,411.00000,413.00000,2.24000,2.23000
2015-01-31,16435.00000,10146.00000,6289.00000,-4206.00000,4206.00000,2083.00000,-70.00000,2013.00000,751.00000,1262.00000,1262.00000,1262.00000,2583.00000,2083.00000,435.00000,440.00000,2.90000,2.87000
2014-01-31,16148.00000,9855.00000,6293.00000,-4144.00000,4144.00000,2149.00000,-56.00000,2093.00000,813.00000,1280.00000,1280.00000,1280.00000,2619.00000,2149.00000,461.00000,467.00000,2.78000,2.74000
2013-01-31,15651.00000,9480.00000,6171.00000,-4229.00000,4229.00000,1942.00000,-81.00000,1861.00000,726.00000,1135.00000,1135.00000,1135.00000,2425.00000,1942.00000,482.00000,488.00000,2.35000,2.33000
2012-01-31,14549.00000,9275.00000,5274.00000,-3836.00000,3836.00000,1438.00000,-69.00000,1369.00000,536.00000,833.00000,833.00000,833.00000,1944.00000,1438.00000,529.00000,533.00000,1.57000,1.56000
2011-01-31,14664.00000,8775.00000,5889.00000,-3921.00000,3921.00000,1968.00000,14.00000,1982.00000,778.00000,1204.00000,1204.00000,1204.00000,2530.00000,1968.00000,636.00000,641.00000,1.89000,1.88000
2010-01-31,14197.00000,8473.00000,5724.00000,-3909.00000,3909.00000,1815.00000,1.00000,1816.00000,714.00000,1102.00000,1102.00000,1102.00000,2388.00000,1815.00000,694.00000,699.00000,1.59000,1.58000
2009-01-31,14526.00000,9079.00000,5447.00000,-3899.00000,3899.00000,1548.00000,36.00000,1584.00000,617.00000,967.00000,967.00000,967.00000,2116.00000,1548.00000,716.00000,719.00000,1.35000,1.34000
