,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,27401.00000,3217.00000,24184.00000,16339.00000,16554.00000,7630.00000,-329.00000,7301.00000,1463.00000,5838.00000,5838.00000,5501.00000,1489.00000,1490.00000,3.69000,3.69000
2021-12-31,23714.00000,993.00000,22721.00000,12396.00000,12555.00000,10166.00000,,10166.00000,2181.00000,7985.00000,7985.00000,7605.00000,1489.00000,1490.00000,5.11000,5.10000
2020-12-31,25241.00000,2015.00000,23226.00000,16999.00000,17175.00000,6051.00000,,6051.00000,1066.00000,4985.00000,4985.00000,4621.00000,1509.00000,1510.00000,3.06000,3.06000
2019-12-31,27325.00000,4442.00000,22883.00000,14121.00000,14289.00000,8594.00000,,8594.00000,1648.00000,6946.00000,6946.00000,6583.00000,1581.00000,1583.00000,4.16000,4.16000
2018-12-31,25775.00000,3254.00000,22521.00000,13682.00000,13843.00000,8678.00000,,8678.00000,1554.00000,7124.00000,7124.00000,6784.00000,1634.00000,1638.00000,4.15000,4.14000
2017-12-31,23663.00000,1966.00000,21697.00000,14005.00000,14180.00000,7517.00000,,7517.00000,1264.00000,6253.00000,6253.00000,5913.00000,1677.00000,1683.00000,3.53000,3.51000
2016-12-31,22424.00000,1468.00000,20956.00000,12672.00000,12851.00000,8105.00000,,8105.00000,2161.00000,5944.00000,5944.00000,5589.00000,1718.00000,1724.00000,3.25000,3.24000
2015-12-31,21494.00000,1401.00000,20093.00000,11889.00000,12063.00000,8030.00000,,8030.00000,2097.00000,5933.00000,5933.00000,5608.00000,1764.00000,1772.00000,3.18000,3.16000
2014-12-31,21392.00000,1453.00000,19939.00000,11745.00000,11944.00000,7995.00000,,7995.00000,2087.00000,5908.00000,5908.00000,5583.00000,1803.00000,1813.00000,3.10000,3.08000
2013-12-31,21059.00000,1681.00000,19378.00000,11391.00000,11614.00000,7764.00000,,7764.00000,2032.00000,5732.00000,5732.00000,5552.00000,1839.00000,1849.00000,3.02000,3.00000
2012-12-31,22202.00000,2138.00000,20064.00000,12064.00000,12338.00000,7726.00000,,7726.00000,2236.00000,5490.00000,5490.00000,5383.00000,1887.00000,1896.00000,2.85000,2.84000
2011-12-31,21399.00000,2516.00000,18883.00000,11955.00000,12254.00000,6629.00000,,6629.00000,1841.00000,4788.00000,4788.00000,4721.00000,1914.00000,1923.00000,2.47000,2.46000
2010-12-31,20518.00000,2579.00000,17939.00000,13372.00000,13739.00000,4200.00000,,4200.00000,935.00000,3265.00000,3265.00000,3332.00000,1912.00000,1921.00000,1.74000,1.73000
2009-12-31,19490.00000,3020.00000,16470.00000,13451.00000,13838.00000,2632.00000,,2632.00000,395.00000,2237.00000,2237.00000,1803.00000,1851.00000,1859.00000,0.97000,0.97000
