,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,10701.00000,7045.80000,3655.20000,2618.80000,-33.90000,3497.70000,157.50000,-220.00000,-62.50000,124.00000,-186.50000,-186.50000,,-175.30000,1695.00000,157.50000,216.90000,216.90000,-0.81000,-0.81000
2021-12-31,10279.70000,6226.30000,4053.40000,2554.50000,-44.50000,2599.00000,1454.40000,-215.40000,1239.00000,230.50000,1008.50000,1008.50000,,1005.70000,2247.20000,1454.40000,217.10000,217.60000,4.63000,4.62000
2020-12-31,9654.00000,5885.70000,3768.30000,2437.00000,-255.90000,4177.20000,-408.90040,-235.00000,-643.90000,301.80000,-945.70000,-945.70000,,-949.00000,2005.50000,-408.90040,216.80000,216.80000,-4.38000,-4.38000
2019-12-31,10579.40000,6378.20000,4201.20000,2728.00000,-708.80000,3436.80000,764.40040,-284.50000,479.90000,233.70000,246.20000,246.20000,,241.70000,1637.00000,764.40040,216.60000,216.90000,1.12000,1.11000
2018-12-31,10769.60000,6584.80000,4184.80000,2802.70000,249.70000,2553.00000,1631.80000,-272.00000,1359.80000,225.20000,1134.60000,1134.60000,,1116.50000,2502.00000,1631.80000,216.00000,216.60000,5.17000,5.15000
2017-12-31,11002.80000,6236.70000,4766.10000,3052.00000,-36.40000,3088.40100,1677.69900,-294.50000,1383.20000,-204.60000,1587.80000,1587.80000,,1565.60000,2513.69900,1677.69900,215.40000,216.50000,7.27000,7.23000
2016-12-31,4885.00000,2999.00000,1886.00000,1597.20000,2532.90000,-1436.60000,3322.60000,-268.50000,3054.10000,1454.30000,1599.80000,1599.80000,,1593.90000,4278.40000,3823.50000,212.00000,213.40000,7.52000,7.47000
2015-12-31,3567.50000,2131.60000,1435.90000,1038.30000,-346.70000,868.70000,567.20000,-111.10000,456.10000,61.50000,394.60000,394.60000,3.90000,395.20000,1409.00000,1083.50000,185.30000,186.40000,2.13000,2.12000
2014-12-31,4146.30000,2493.30000,1653.00000,1163.90000,-324.40000,926.50000,726.50000,-140.20000,586.30000,69.00000,517.30000,517.30000,0.50000,514.00000,1608.30000,1288.30000,184.90000,186.10000,2.78000,2.76000
2013-12-31,4206.10000,2545.60000,1660.50000,1193.80000,-200.00000,854.80000,805.70000,-151.20000,654.50000,84.00000,570.50000,570.50000,2.00000,567.30000,1685.50000,1344.70000,183.00000,184.20000,3.10000,3.08000
2012-12-31,3916.50000,2352.50000,1564.00000,1126.10000,-81.40000,696.60000,867.40010,-275.30000,592.10000,154.50000,437.60000,437.60000,1.50000,443.00000,1692.70000,1378.30000,180.80000,181.80000,2.45000,2.44000
2011-12-31,3515.70000,2049.10000,1466.60000,1019.00000,-12.30000,573.40000,893.19970,-119.00000,774.20000,99.40000,674.80000,674.80000,2.30000,676.30000,1590.70000,1351.10000,184.90000,186.40000,3.66000,3.63000
2010-12-31,3254.40000,1812.20000,1442.20000,1012.50000,-21.30000,577.70000,864.49980,-55.50000,809.00000,138.70000,670.30000,670.30000,39.60000,707.70000,1543.50000,1320.60000,185.90000,187.30000,3.80000,3.78000
2009-12-31,3032.40000,1726.90000,1305.50000,900.80000,-32.70000,551.50000,754.00000,-36.50000,717.50000,-14.70000,732.20000,732.20000,-9.00000,720.40000,1363.40000,1136.00000,184.40000,185.90000,3.91000,3.87000
