,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,9353.00000,978.00000,8375.00000,5282.00000,5282.00000,3093.00000,3093.00000,647.00000,2446.00000,2446.00000,2330.00000,688.63370,694.95200,3.38000,3.35000
2021-12-31,8329.00000,441.00000,7888.00000,4371.00000,4371.00000,3517.00000,3517.00000,747.00000,2770.00000,2770.00000,2659.00000,702.18850,711.19780,3.78000,3.73000
2020-12-31,8402.00000,790.00000,7612.00000,5815.00000,5815.00000,1797.00000,1797.00000,370.00000,1427.00000,1427.00000,1323.00000,714.72960,719.73540,1.84000,1.83000
2019-12-31,9790.00000,1457.00000,8333.00000,5131.00000,5131.00000,3202.00000,3202.00000,690.00000,2512.00000,2512.00000,2419.00000,710.43360,720.06550,3.38000,3.33000
2018-12-31,7973.00000,1043.00000,6930.00000,4165.00000,4165.00000,2765.00000,2765.00000,572.00000,2193.00000,2193.00000,2118.00000,673.34620,685.48850,3.11000,3.06000
2017-12-31,7713.00000,691.00000,7022.00000,4043.00000,4043.00000,2979.00000,2979.00000,799.00000,2180.00000,2180.00000,2105.00000,728.28920,740.69140,2.86000,2.81000
2016-12-31,6889.00000,578.00000,6311.00000,4103.00000,4103.00000,2208.00000,2208.00000,665.00000,1543.00000,1543.00000,1472.00000,757.43230,764.49540,1.92000,1.91000
2015-12-31,7031.00000,495.00000,6536.00000,4171.00000,4171.00000,2365.00000,2365.00000,659.00000,1706.00000,1706.00000,1622.00000,798.62820,807.65870,2.03000,2.01000
2014-12-31,6503.00000,451.00000,6052.00000,4024.00000,4024.00000,2028.00000,2028.00000,545.00000,1483.00000,1483.00000,1402.00000,833.11630,842.96730,1.68000,1.66000
2013-12-31,7200.00000,412.00000,6788.00000,4190.00000,4190.00000,2598.00000,2598.00000,772.00000,1826.00000,1826.00000,1799.00000,869.46300,894.73600,2.05000,2.02000
2012-12-31,7106.00000,512.00000,6594.00000,4384.00000,4384.00000,2210.00000,2210.00000,636.00000,1574.00000,1574.00000,1541.00000,904.42500,945.55400,1.69000,1.66000
2011-12-31,6673.00000,661.00000,6012.00000,4181.00000,4181.00000,1831.00000,1831.00000,533.00000,1298.00000,1298.00000,1094.00000,906.46060,949.54540,1.20000,1.18000
2010-12-31,7218.00000,885.00000,6333.00000,5393.00000,5393.00000,940.00000,940.00000,187.00000,753.00000,753.00000,500.00000,791.00000,799.00000,0.63000,0.63000
2009-12-31,9450.00000,1314.00000,8136.00000,7369.00000,7369.00000,767.00000,767.00000,30.00000,737.00000,737.00000,511.00000,696.00000,726.00000,0.73000,0.67000
