,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,6488.40000,6488.40000,3692.30000,-422.40000,2373.70000,-425.50000,1948.20000,498.60000,1449.60000,1449.60000,1521.80000,3019.50000,2373.70000,226.00000,227.10000,6.73000,6.70000
2021-12-31,7671.90000,7671.90000,3725.60000,-236.30000,3710.00000,284.60000,3994.60000,896.10000,3098.50000,3098.50000,3002.40000,3914.80000,3710.00000,226.60000,228.80000,13.25000,13.12000
2020-12-31,6206.70000,6206.70000,3305.50000,-155.50000,2745.70000,496.50000,3242.20000,718.90000,2523.30000,2523.30000,2307.40000,2935.30000,2745.70000,228.80000,231.20000,10.08000,9.98000
2019-12-31,5617.90000,5617.90000,3077.70000,-153.20000,2387.00000,540.30000,2927.30000,678.40000,2248.90000,2248.90000,2076.00000,2577.80000,2387.00000,235.40000,238.60000,8.82000,8.70000
2018-12-31,5372.60000,5372.60000,2869.30000,-141.90000,2361.40000,23.20000,2384.60000,615.90000,1768.70000,1768.70000,1837.50000,2520.90000,2361.40000,242.20000,246.90000,7.41000,7.27000
2017-12-31,4854.90000,4854.90000,2650.10000,-96.00000,2108.80000,396.30000,2505.10000,923.90000,1581.20000,1581.20000,1463.90000,2252.40000,2108.80000,241.20000,245.10000,6.07000,5.97000
2016-12-31,4284.80000,4284.80000,2345.50000,-205.90000,1733.40000,227.10000,1960.50000,706.50000,1254.00000,1254.00000,1189.50000,1866.80000,1733.40000,245.50000,250.30000,4.85000,4.75000
2015-12-31,4200.60000,4200.60000,1834.00000,-341.40000,1898.90000,103.50000,2002.40000,779.40000,1223.00000,1223.00000,1206.90000,2025.20000,1898.90000,254.60000,260.90000,4.74000,4.63000
2014-12-31,3982.10000,3982.10000,1693.10000,-286.40000,1890.90000,112.20000,2003.10000,773.50000,1229.60000,1229.60000,1215.40000,2002.60000,1890.90000,259.60000,267.40000,4.68000,4.55000
2013-12-31,3484.20000,3484.20000,1496.90000,-259.30000,1637.40000,63.00000,1700.40000,652.70000,1047.70000,1047.70000,1038.40000,1728.00000,1637.40000,258.30000,266.30000,4.02000,3.90000
2012-12-31,3022.50000,3022.50000,1356.90000,-220.40000,1364.30000,70.80000,1435.10000,551.50000,883.60000,883.60000,878.10000,1445.20000,1364.30000,253.40000,261.00000,3.47000,3.36000
2011-12-31,2747.10000,2747.10000,1250.20000,-198.00000,1226.90000,23.70000,1250.60000,477.40000,773.20000,773.20000,769.70000,1299.30000,1226.90000,255.60000,263.30000,3.01000,2.92000
2010-12-31,2367.20000,2367.20000,1099.60000,-168.50000,1036.50000,33.50000,1070.00000,397.80000,672.20000,672.20000,669.40000,1099.50000,1036.50000,257.20000,265.10000,2.60000,2.53000
2009-12-31,1867.40000,1867.40000,980.00010,-120.60000,701.60000,-12.70000,688.90000,255.30000,433.60000,433.60000,432.10000,767.30000,701.60000,255.90000,262.30000,1.69000,1.65000
