,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,5146.70000,4169.90000,976.80030,427.30000,494.10000,482.70070,-79.10000,403.60000,93.70000,309.90000,309.90000,,309.80000,662.50070,482.70070,136.10000,136.50000,2.28000,2.27000
2021-12-31,5072.60000,4034.30000,1038.30000,422.10000,489.60000,548.70020,-26.60000,522.10000,119.50000,402.60000,402.60000,,402.40000,736.00020,548.70020,136.30000,136.70000,2.95000,2.94000
2020-12-31,4280.20000,3376.10000,904.10010,424.40000,489.60000,414.50020,-86.60000,327.90000,74.80000,253.10000,253.10000,,253.00000,629.30020,414.50020,135.70000,135.90000,1.86000,1.86000
2019-12-31,4752.50000,3728.50000,1024.00000,469.70000,533.00000,491.00000,-87.50000,403.50000,89.40000,314.10000,314.10000,,314.00000,682.90000,491.00000,134.80000,135.40000,2.33000,2.32000
2018-12-31,4269.50000,3380.80000,888.70000,425.10000,445.60000,443.09990,-58.70000,384.40000,78.30000,306.10000,306.10000,,305.90000,579.19980,443.09990,134.30000,135.20000,2.28000,2.26000
2017-12-31,3943.80000,3061.40000,882.40010,400.50000,421.20000,461.20020,-29.20000,432.00000,138.40000,293.60000,293.60000,-0.90000,292.60000,587.10020,461.20020,136.00000,137.30000,2.15000,2.13000
2016-12-31,3749.90000,2848.20000,901.70000,395.70000,415.60000,486.10010,1.00000,487.10000,120.00000,367.10000,367.10000,19.10000,385.80000,605.60010,486.10010,137.90000,140.00000,2.80000,2.76000
2015-12-31,3917.20000,2994.00000,923.20000,416.90000,437.70000,485.50000,-35.70000,449.80000,121.80000,328.00000,328.00000,1.20000,325.10000,598.70000,485.50000,140.90000,142.90000,2.31000,2.28000
2014-12-31,3782.30000,2991.90000,790.40010,449.60000,469.30000,321.10010,-25.60000,295.50000,70.30000,225.20000,225.20000,-124.00000,98.00000,547.00010,321.10010,141.40000,143.20000,0.69000,0.68000
2013-12-31,3477.20000,2767.30000,709.89990,367.90000,393.30000,316.60010,-79.00000,237.60000,51.30000,186.30000,186.30000,13.40000,197.30000,502.20010,316.60010,145.20000,147.30000,1.36000,1.34000
2012-12-31,3414.50000,2718.90000,695.60010,348.10000,373.20000,322.39990,-34.90000,287.50000,55.70000,231.80000,231.80000,18.70000,248.20000,441.39990,322.39990,144.30000,146.00000,1.72000,1.70000
2011-12-31,3618.90000,2950.40000,668.50000,378.00000,395.70000,272.80000,-39.10000,233.70000,59.90000,173.80000,173.80000,-17.40000,153.30000,389.70000,272.80000,145.40000,147.00000,1.05000,1.04000
2010-12-31,3359.10000,2703.70000,655.40010,354.30000,374.10000,281.30000,-25.80000,255.50000,71.90000,183.60000,183.60000,-0.80000,176.60000,404.10000,281.30000,151.22500,153.26800,1.17000,1.15000
2009-12-31,3055.10000,2425.40000,629.70020,363.00000,383.70000,246.00020,-47.60000,198.40000,77.30000,121.10000,121.10000,-6.10000,111.80000,379.30020,246.00020,159.33100,159.96500,0.70000,0.70000
