,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-08-31,226954.00000,199382.00000,27572.00000,19779.00000,,19779.00000,7793.00000,47.00000,7840.00000,1925.00000,5915.00000,5915.00000,5844.00000,9693.00000,7793.00000,443.65100,444.75700,13.17000,13.14000
2021-08-31,195929.00000,170684.00000,25245.00000,18537.00000,,18537.00000,6708.00000,-28.00000,6680.00000,1601.00000,5079.00000,5079.00000,5007.00000,8489.00000,6708.00000,443.08900,444.34600,11.30000,11.27000
2020-08-31,166761.00000,144939.00000,21822.00000,16387.00000,,16387.00000,5435.00000,-68.00000,5367.00000,1308.00000,4059.00000,4059.00000,4002.00000,7080.00000,5435.00000,442.29700,443.90100,9.05000,9.02000
2019-08-31,152703.00000,132886.00000,19817.00000,14994.00000,-86.00000,15080.00000,4737.00000,28.00000,4765.00000,1061.00000,3704.00000,3704.00000,3659.00000,6229.00000,4737.00000,439.75500,442.92300,8.32000,8.26000
2018-08-31,141576.00000,123152.00000,18424.00000,13876.00000,-68.00000,13944.00000,4480.00000,-38.00000,4442.00000,1263.00000,3179.00000,3179.00000,3134.00000,5917.00000,4480.00000,438.51500,441.83400,7.15000,7.09000
2017-08-31,129025.00000,111882.00000,17143.00000,12950.00000,-82.00000,13032.00000,4111.00000,-72.00000,4039.00000,1325.00000,2714.00000,2714.00000,2679.00000,5481.00000,4111.00000,438.43700,440.93700,6.11000,6.08000
2016-08-31,118719.00000,102901.00000,15818.00000,12068.00000,-78.00000,12146.00000,3672.00000,-53.00000,3619.00000,1243.00000,2376.00000,2376.00000,2350.00000,4927.00000,3672.00000,438.58500,441.26300,5.36000,5.33000
2015-08-31,116199.00000,101065.00000,15134.00000,11445.00000,-65.00000,11510.00000,3624.00000,-20.00000,3604.00000,1195.00000,2409.00000,2409.00000,2377.00000,4751.00000,3624.00000,439.45500,442.71600,5.41000,5.37000
2014-08-31,112640.00000,98458.00000,14182.00000,10899.00000,-63.00000,10962.00000,3220.00000,-23.00000,3197.00000,1109.00000,2088.00000,2088.00000,2058.00000,4249.00000,3220.00000,438.69300,442.48500,4.69000,4.65000
2013-08-31,105156.00000,91948.00000,13208.00000,10104.00000,-51.00000,10155.00000,3053.00000,-2.00000,3051.00000,990.00000,2061.00000,2061.00000,2039.00000,3999.00000,3053.00000,435.74100,440.51200,4.68000,4.63000
2012-08-31,99137.00000,86823.00000,12314.00000,9518.00000,-37.00000,9555.00000,2759.00000,8.00000,2767.00000,1000.00000,1767.00000,1767.00000,1709.00000,3667.00000,2759.00000,433.62000,439.37300,3.94000,3.89000
2011-08-31,88915.00000,77739.00000,11176.00000,8691.00000,-46.00000,8737.00000,2439.00000,-56.00000,2383.00000,841.00000,1542.00000,1542.00000,1462.00000,3294.00000,2439.00000,436.11900,443.09400,3.35000,3.30000
2010-08-31,77946.00000,67995.00000,9951.00000,7848.00000,-26.00000,7874.00000,2077.00000,-23.00000,2054.00000,731.00000,1323.00000,1323.00000,1303.00000,2872.00000,2077.00000,438.61100,445.97000,2.97000,2.92000
2009-08-31,71422.00000,62335.00000,9087.00000,7252.00000,-58.00000,7310.00000,1777.00000,-50.00000,1727.00000,628.00000,1099.00000,1099.00000,1086.00000,2505.00000,1777.00000,433.98800,440.45400,2.50000,2.47000
