,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,36634.00000,12063.00000,24571.00000,216.00000,945.00000,-1807.00000,10771.00000,13800.00000,317.00000,14117.00000,813.00000,13304.00000,13304.00000,,12421.00000,21909.00000,14983.00000,926.20000,1002.00000,13.41000,12.40000
2021-12-31,25956.00000,9659.00000,16297.00000,252.00000,863.00000,-1704.00000,12714.00000,3583.00000,122.00000,3705.00000,915.00000,2790.00000,2790.00000,-468.00000,1512.00000,13810.00000,5363.00000,935.00000,958.80000,1.62000,1.58000
2020-12-31,17809.00000,8468.00000,9341.00000,132.00000,864.00000,-14224.00000,24623.00000,-15282.00000,-423.00000,-15705.00000,-2172.00000,-13533.00000,-13533.00000,-1298.00000,-15675.00000,-5643.00000,-13740.00000,918.70000,918.70000,-17.06000,-17.06000
2019-12-31,20911.00000,8387.00000,12524.00000,247.00000,893.00000,-4274.00000,12403.00000,121.00000,233.00000,354.00000,861.00000,-507.00000,-507.00000,-15.00000,-985.00000,7544.00000,1404.00000,809.50000,809.50000,-1.22000,-1.22000
2018-12-31,17824.00000,6568.00000,11256.00000,110.00000,585.00000,-723.00000,5648.00000,5608.00000,,5608.00000,1477.00000,4131.00000,4131.00000,,4131.00000,10110.00000,6133.00000,761.70000,763.30000,5.40000,5.39000
2017-12-31,12508.00000,5594.00000,6914.00000,82.00000,546.00000,-710.00000,5586.00000,1328.00000,,1328.00000,17.00000,1311.00000,1311.00000,,1305.00000,5774.00000,1772.00000,765.10000,765.90000,1.71000,1.70000
2016-12-31,10090.00000,5189.00000,4901.00000,62.00000,1330.00000,-900.00000,6746.00000,-1845.00000,,-1845.00000,-662.00000,-1183.00000,-1002.00000,428.00000,-574.00000,2821.00000,-1447.00000,763.80000,763.80000,-0.75000,-0.75000
2015-12-31,12480.00000,5804.00000,6676.00000,36.00000,1270.00000,-10481.00000,16360.00000,-9684.00000,,-9684.00000,-1330.00000,-8354.00000,-8146.00000,317.00000,-7829.00000,-4875.00000,-9419.00000,765.60000,765.60000,-10.23000,-10.23000
2014-12-31,19312.00000,6803.00000,12509.00000,150.00000,1503.00000,-5424.00000,11285.00000,1224.00000,,1224.00000,1685.00000,-461.00000,-130.00000,760.00000,616.00000,5692.00000,1431.00000,781.10000,781.10000,0.79000,0.79000
2013-12-31,20170.00000,6497.00000,13673.00000,140.00000,1544.00000,-10.00000,5922.00000,7751.00000,,7751.00000,3214.00000,4537.00000,4932.00000,971.00000,5890.00000,12193.00000,7990.00000,804.10000,804.60000,7.33000,7.32000
2012-12-31,20100.00000,6530.00000,13570.00000,197.00000,1366.00000,-513.00000,5735.00000,7835.00000,-1710.00000,6125.00000,2659.00000,3466.00000,3829.00000,769.00000,4598.00000,11654.00000,8069.00000,809.30000,810.00000,5.67000,5.67000
2011-12-31,23939.00000,7385.00000,16554.00000,258.00000,1523.00000,-605.00000,6095.00000,10459.00000,,10459.00000,4201.00000,6258.00000,6640.00000,131.00000,6760.00000,14528.00000,10937.00000,812.10000,812.90000,8.32000,8.32000
2010-12-31,19045.00000,6112.00000,12933.00000,262.00000,1396.00000,-484.00000,5299.00000,7634.00000,-275.00000,7359.00000,2995.00000,4364.00000,4641.00000,-39.00000,4524.00000,11015.00000,7862.00000,812.50000,813.80000,5.57000,5.56000
2009-12-31,14814.00000,5105.00000,9709.00000,254.00000,1300.00000,-415.00000,4671.00000,5038.00000,,5038.00000,2063.00000,2975.00000,3202.00000,-236.00000,2915.00000,7976.00000,5289.00000,811.30000,813.80000,3.59000,3.58000
