,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,7950.00000,696.00000,7254.00000,4437.00000,4490.00000,2764.00000,2764.00000,515.00000,2249.00000,2249.00000,2125.00000,1441.27900,1465.22000,1.47000,1.45000
2021-12-31,6080.00000,89.00000,5991.00000,4352.00000,4400.00000,1591.00000,1591.00000,294.00000,1297.00000,1297.00000,1153.00000,1262.43500,1286.73300,0.91000,0.90000
2020-12-31,5238.00000,423.00000,4815.00000,3802.00000,3843.00000,972.00000,972.00000,155.00000,817.00000,817.00000,717.00000,1017.11700,1032.68300,0.71000,0.69000
2019-12-31,5655.00000,988.00000,4667.00000,2959.00000,3008.00000,1659.00000,1659.00000,248.00000,1411.00000,1411.00000,1337.00000,1038.84000,1056.07900,1.29000,1.27000
2018-12-31,5270.00000,760.00000,4510.00000,2829.00000,2882.00000,1628.00000,1628.00000,235.00000,1393.00000,1393.00000,1323.00000,1081.54200,1105.98500,1.22000,1.20000
2017-12-31,4740.00000,431.00000,4309.00000,2859.00000,2915.00000,1394.00000,1394.00000,208.00000,1186.00000,1186.00000,1110.00000,1084.68600,1136.18600,1.02000,1.00000
2016-12-31,3782.00000,263.00000,3519.00000,2569.00000,2599.00000,920.00000,920.00000,208.00000,712.00000,712.00000,647.00000,904.43800,918.79000,0.72000,0.70000
2015-12-31,3154.00000,164.00000,2990.00000,2048.00000,2076.00000,914.00000,914.00000,221.00000,693.00000,693.00000,661.00000,803.41200,817.12900,0.82000,0.81000
2014-12-31,2955.64100,139.32100,2816.32000,1924.05800,1963.33500,852.98510,852.98500,220.59300,632.39200,632.39200,600.53800,819.91700,833.08100,0.73000,0.72000
2013-12-31,2872.83300,156.02900,2716.80400,1806.68400,1848.04800,868.75590,868.75600,227.47400,641.28200,641.28200,609.41300,834.20500,843.97400,0.73000,0.72000
2012-12-31,3036.58400,219.73900,2816.84500,1936.71500,1983.26400,833.58080,833.58100,202.29100,631.29000,631.29000,599.30100,857.96200,863.40200,0.70000,0.69000
2011-12-31,2950.84900,341.05600,2609.79300,1849.24100,1902.55900,707.23390,707.23400,164.62100,542.61300,542.61300,511.80000,863.69100,867.62400,0.59000,0.59000
2010-12-31,3187.25000,526.58700,2660.66300,2247.87400,2308.35200,352.31100,352.31100,39.96400,312.34700,312.34700,140.31500,726.93400,729.53200,0.19000,0.19000
2009-12-31,3243.78600,813.85500,2429.93100,3432.86300,6108.11400,-3678.18300,-3678.18300,-584.00400,-3094.17900,-3094.17900,-3268.93500,532.80200,532.80200,-6.14000,-6.14000
