,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,34229.00000,19232.00000,14997.00000,1862.00000,9049.00000,2724.00000,8458.00000,6539.00000,-147.00000,6392.00000,612.00000,5780.00000,11.00000,5791.00000,5777.00000,8370.00000,6539.00000,566.00000,567.60000,10.21000,10.18000
2021-12-31,35355.00000,18795.00000,16560.00000,1994.00000,7197.00000,,9191.00000,7369.00000,-165.00000,7204.00000,1285.00000,5919.00000,10.00000,5929.00000,5921.00000,9284.00000,7369.00000,579.00000,585.30000,10.23000,10.12000
2020-12-31,32184.00000,16605.00000,15579.00000,1878.00000,6929.00000,389.00000,8418.00000,7161.00000,-366.00000,6795.00000,1337.00000,5458.00000,-5.00000,5453.00000,5449.00000,9072.00000,7161.00000,577.60000,582.20000,9.43000,9.36000
2019-12-31,32136.00000,17136.00000,15000.00000,1911.00000,7029.00000,114.00000,8826.00000,6174.00000,-531.00000,5643.00000,1114.00000,4529.00000,,4529.00000,4517.00000,7767.00000,6174.00000,577.00000,585.10000,7.83000,7.72000
2018-12-31,32765.00000,16682.00000,16083.00000,1821.00000,7602.00000,547.00000,8876.00000,7207.00000,-207.00000,7000.00000,1637.00000,5363.00000,,5363.00000,5349.00000,8695.00000,7207.00000,588.50000,602.00000,9.09000,8.89000
2017-12-31,31657.00000,16055.00000,15602.00000,1870.00000,6626.00000,586.00000,7910.00000,7692.00000,-144.00000,7548.00000,2679.00000,4869.00000,,4869.00000,4858.00000,9236.00000,7692.00000,597.50000,612.70000,8.13000,7.93000
2016-12-31,30109.00000,15118.00000,14991.00000,1764.00000,6311.00000,111.00000,7964.00000,7027.00000,26.00000,7053.00000,1995.00000,5058.00000,,5058.00000,5050.00000,8501.00000,7027.00000,604.70000,618.70000,8.35000,8.16000
2015-12-31,30274.00000,15383.00000,14891.00000,1763.00000,6229.00000,47.00000,7945.00000,6946.00000,-123.00000,6823.00000,1982.00000,4841.00000,,4841.00000,4833.00000,8381.00000,6946.00000,625.60000,637.20000,7.72000,7.58000
2014-12-31,31821.00000,16447.00000,15374.00000,1770.00000,6469.00000,,8239.00000,7135.00000,-109.00000,7026.00000,2028.00000,4998.00000,,4998.00000,4956.00000,8543.00000,7135.00000,649.20000,662.00000,7.63000,7.49000
2013-12-31,30871.00000,16106.00000,14765.00000,1715.00000,6384.00000,,8099.00000,6666.00000,-104.00000,6562.00000,1841.00000,4721.00000,,4721.00000,4659.00000,8037.00000,6666.00000,681.90000,693.60000,6.83000,6.72000
2012-12-31,29904.00000,15685.00000,14219.00000,1634.00000,6102.00000,,7736.00000,6483.00000,-132.00000,6351.00000,1840.00000,4511.00000,,4511.00000,4444.00000,7771.00000,6483.00000,693.90000,703.30000,6.40000,6.32000
2011-12-31,29611.00000,15693.00000,13918.00000,1570.00000,6170.00000,,7740.00000,6178.00000,-147.00000,6031.00000,1674.00000,4357.00000,,4357.00000,4283.00000,7414.00000,6178.00000,708.50000,719.00000,6.05000,5.96000
2010-12-31,26662.00000,13831.00000,12831.00000,1434.00000,5479.00000,,6913.00000,5918.00000,-163.00000,5755.00000,1592.00000,4163.00000,,4163.00000,4085.00000,7038.00000,5918.00000,713.70000,725.50000,5.72000,5.63000
2009-12-31,23123.00000,12109.00000,11014.00000,1293.00000,4907.00000,,6200.00000,4814.00000,-182.00000,4632.00000,1388.00000,3244.00000,,3244.00000,3193.00000,5971.00000,4814.00000,700.50000,706.70000,4.56000,4.52000
