,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,67074.00000,53406.00000,13668.00000,2711.00000,5663.00000,120.00000,8254.00000,5414.00000,613.00000,6027.00000,700.00000,5327.00000,5327.00000,-19.00000,5197.00000,9522.00000,5414.00000,1475.50000,1485.90000,3.52000,3.50000
2021-12-31,64388.00000,51897.00000,12491.00000,2732.00000,5224.00000,423.00000,7533.00000,4958.00000,-27.00000,4931.00000,786.00000,4145.00000,4145.00000,-33.00000,3864.00000,9515.00000,4958.00000,1501.60000,1508.50000,2.57000,2.56000
2020-12-31,56587.00000,48056.00000,8531.00000,2582.00000,5540.00000,885.00000,10420.00000,-1889.00000,-464.00000,-2353.00000,575.00000,-2928.00000,-2928.00000,-410.00000,-3519.00000,5450.00000,-1889.00000,1357.80000,1357.80000,-2.59000,-2.59000
2019-12-31,45349.00000,34598.00000,10751.00000,2452.00000,3711.00000,326.00000,5837.00000,4914.00000,-762.00000,4152.00000,421.00000,3731.00000,3731.00000,2027.00000,5537.00000,7622.00000,4914.00000,854.80000,863.90000,6.48000,6.41000
2018-12-31,34701.00000,27465.00000,7236.00000,1878.00000,2864.00000,383.00000,4359.00000,2877.00000,-373.00000,2504.00000,1098.00000,1406.00000,1406.00000,4053.00000,5269.00000,4773.00000,2877.00000,800.40000,810.10000,6.58000,6.50000
2017-12-31,59837.00000,44201.00000,15636.00000,2427.00000,6429.00000,1358.00000,7498.00000,8138.00000,-375.00000,7763.00000,2843.00000,4920.00000,4920.00000,,4552.00000,10278.00000,8138.00000,790.00000,799.10000,5.76000,5.70000
2016-12-31,57244.00000,41471.00000,15773.00000,2376.00000,5958.00000,782.00000,7552.00000,8221.00000,-1088.00000,7133.00000,1697.00000,5436.00000,5436.00000,-10.00000,5055.00000,10183.00000,8221.00000,818.20000,826.10000,6.18000,6.12000
2015-12-31,56098.00000,40431.00000,15667.00000,2279.00000,5886.00000,-211.00000,8376.00000,7291.00000,-824.00000,6467.00000,2111.00000,4356.00000,3996.00000,3612.00000,7608.00000,9154.00000,7291.00000,872.70000,883.20000,8.72000,8.61000
2014-12-31,57900.00000,40898.00000,17002.00000,2475.00000,6172.00000,1238.00000,7409.00000,9593.00000,-881.00000,8712.00000,2244.00000,6468.00000,6066.00000,154.00000,6220.00000,11413.00000,9593.00000,898.30000,911.60000,6.92000,6.82000
2013-12-31,56600.00000,40468.00000,16132.00000,2342.00000,6364.00000,1123.00000,7583.00000,8549.00000,-895.00000,7654.00000,1999.00000,5655.00000,5265.00000,456.00000,5721.00000,10284.00000,8549.00000,901.00000,915.10000,6.35000,6.25000
2012-12-31,57708.00000,42153.00000,15555.00000,2371.00000,6452.00000,952.00000,7871.00000,7684.00000,-773.00000,6911.00000,1711.00000,5200.00000,4847.00000,283.00000,5130.00000,9208.00000,7684.00000,895.20000,906.60000,5.73000,5.66000
2011-12-31,55754.00000,40369.00000,15385.00000,1951.00000,6161.00000,573.00000,7539.00000,7846.00000,-496.00000,7350.00000,2134.00000,5216.00000,4831.00000,148.00000,4979.00000,9109.00000,7846.00000,892.30000,906.80000,5.58000,5.49000
2010-12-31,52275.00000,37954.00000,14321.00000,1656.00000,5798.00000,31.00000,7423.00000,6898.00000,-650.00000,6248.00000,1725.00000,4523.00000,4523.00000,188.00000,4373.00000,8198.00000,6898.00000,907.90000,922.70000,4.82000,4.74000
2009-12-31,52425.00000,38861.00000,13564.00000,1558.00000,6036.00000,407.00000,7187.00000,6377.00000,-617.00000,5760.00000,1581.00000,4179.00000,4179.00000,,3829.00000,7635.00000,6377.00000,917.40000,928.80000,4.17000,4.12000
