,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,8080.00000,2454.00000,5626.00000,539.00000,2009.00000,-40.00000,2970.00000,2656.00000,2656.00000,545.00000,2111.00000,2111.00000,2114.00000,3342.00000,2877.00000,468.89100,470.38500,4.51000,4.49000
2021-12-31,7776.00000,2303.00000,5473.00000,508.00000,2001.00000,-48.00000,2985.00000,2488.00000,2488.00000,454.00000,2034.00000,2034.00000,2037.00000,3160.00000,2712.00000,474.34800,476.71700,4.29000,4.27000
2020-12-31,6675.00000,2057.00000,4618.00000,463.00000,1726.00000,-17.00000,2622.00000,1996.00000,1996.00000,360.00000,1636.00000,1636.00000,1638.00000,2668.00000,2227.00000,475.50200,478.56900,3.44000,3.42000
2019-12-31,6260.00000,1992.00000,4268.00000,457.00000,1638.00000,57.00000,2467.00000,1801.00000,1801.00000,301.00000,1500.00000,1500.00000,1500.00000,2436.00000,2024.00000,478.12800,481.78700,3.14000,3.11000
2018-12-31,5825.00000,1911.00000,3914.00000,432.00000,1484.00000,83.00000,2224.00000,1690.00000,1690.00000,266.00000,1424.00000,1424.00000,1428.00000,2204.00000,1896.00000,483.06300,486.89800,2.96000,2.93000
2017-12-31,5307.00000,1775.00000,3532.00000,382.00000,1334.00000,-6.00000,2007.00000,1525.00000,1525.00000,663.00000,862.00000,862.00000,864.00000,1942.00000,1700.00000,489.91800,493.16100,1.76000,1.75000
2016-12-31,4888.00000,1666.00000,3222.00000,376.00000,1364.00000,2.00000,1994.00000,1228.00000,1228.00000,409.00000,819.00000,819.00000,821.00000,1634.00000,1394.00000,495.71500,498.22500,1.66000,1.65000
2015-12-31,4765.00000,1738.00000,3027.00000,364.00000,1532.00000,-81.00000,2482.00000,545.00000,545.00000,206.00000,339.00000,339.00000,339.00000,868.00000,669.00000,499.70700,502.01900,0.68000,0.68000
2014-12-31,4785.00000,1717.00000,3068.00000,396.00000,1643.00000,-7.00000,2248.00000,820.00000,820.00000,233.00000,587.00000,587.00000,583.00000,1141.00000,937.00000,501.05500,502.02500,1.16000,1.16000
2013-12-31,4561.00000,1669.00000,2892.00000,399.00000,1613.00000,9.00000,2202.00000,690.00000,690.00000,187.00000,503.00000,503.00000,504.00000,1012.00000,803.00000,500.00200,500.31700,1.01000,1.01000
2012-12-31,4336.00000,1563.00000,2773.00000,409.00000,1470.00000,46.00000,2063.00000,710.00000,710.00000,274.00000,436.00000,436.00000,436.00000,941.00000,741.00000,500.00000,500.00000,0.87000,0.87000
2011-12-31,4233.00000,1652.00000,2581.00000,427.00000,1453.00000,-48.00000,2187.00000,394.00000,394.00000,146.00000,248.00000,248.00000,245.00000,635.00000,430.00000,500.00000,500.00000,0.49000,0.49000
2010-12-31,3582.00000,1444.00000,2138.00000,411.00000,1382.00000,93.00000,1960.00000,178.00000,178.00000,67.00000,111.00000,111.00000,110.00000,363.00000,178.00000,500.00000,500.00000,0.22000,0.22000
