,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,92870.00000,75690.00000,17180.00000,-12671.00000,13380.00000,3800.00000,-232.00000,3568.00000,762.00000,2806.00000,2802.00000,2806.00000,4645.00000,3800.00000,126.41900,127.09400,22.20000,22.08000
2021-12-31,83064.00000,69199.00000,13865.00000,-10121.00000,10717.00000,3148.00000,206.00000,3354.00000,485.00000,2869.00000,2934.00000,2933.00000,3861.00000,3148.00000,128.68800,129.39600,22.79000,22.67000
2020-12-31,77155.00000,61628.00000,15527.00000,-10052.00000,10541.00000,4986.00000,-386.00000,4600.00000,1307.00000,3293.00000,3367.00000,3367.00000,5602.00000,4986.00000,132.19900,133.01200,25.47000,25.31000
2019-12-31,64888.00000,53857.00000,11031.00000,-7381.00000,7839.00000,3192.00000,264.00000,3456.00000,763.00000,2693.00000,2707.00000,2707.00000,3767.00000,3192.00000,134.05500,134.72700,20.20000,20.10000
2018-12-31,56912.00000,45882.00000,11030.00000,-7525.00000,7930.00000,3100.00000,-1037.00000,2063.00000,391.00000,1672.00000,1683.00000,1683.00000,3634.00000,3100.00000,137.48600,138.40300,12.24000,12.16000
2017-12-31,53767.00000,43496.00000,10271.00000,-6567.00000,6009.00000,4262.00000,-242.00000,4020.00000,1572.00000,2448.00000,2448.00000,2448.00000,4747.00000,4262.00000,144.49300,145.58500,16.94000,16.81000
2016-12-31,54379.00000,45007.00000,9372.00000,-7173.00000,7631.00000,1741.00000,-189.00000,1552.00000,938.00000,614.00000,614.00000,614.00000,2206.00000,1741.00000,149.37500,150.91700,4.11000,4.07000
2015-12-31,54289.00000,44269.00000,10020.00000,-7295.00000,7673.00000,2347.00000,84.00000,2431.00000,1155.00000,1276.00000,1276.00000,1276.00000,2794.00000,2347.00000,149.45500,151.14200,8.54000,8.44000
2014-12-31,48500.00000,38166.00000,10334.00000,-7639.00000,7972.00000,2362.00000,-192.00000,2170.00000,1023.00000,1147.00000,1147.00000,1147.00000,2811.00000,2362.00000,154.18700,155.87400,7.44000,7.36000
2013-12-31,41313.00000,32564.00000,8749.00000,-6355.00000,6688.00000,2061.00000,-140.00000,1921.00000,690.00000,1231.00000,1231.00000,1231.00000,2487.00000,2061.00000,157.50300,159.15100,7.81000,7.73000
2012-12-31,39126.00000,30985.00000,8141.00000,-5830.00000,6125.00000,2016.00000,-105.00000,1911.00000,689.00000,1222.00000,1222.00000,1222.00000,2354.00000,2016.00000,161.48400,163.45700,7.56000,7.47000
2011-12-31,36832.00000,28823.00000,8009.00000,-5395.00000,5665.00000,2344.00000,-109.00000,2235.00000,816.00000,1419.00000,1419.00000,1419.00000,2647.00000,2344.00000,165.41300,167.82700,8.58000,8.46000
2010-12-31,33596.00000,27117.00000,6479.00000,-4380.00000,4625.00000,1854.00000,-105.00000,1749.00000,650.00000,1099.00000,1099.00000,1099.00000,2117.00000,1854.00000,167.78200,169.79800,6.55000,6.47000
2009-12-31,30743.00000,24784.00000,5959.00000,-4014.00000,4251.00000,1708.00000,-106.00000,1602.00000,562.00000,1040.00000,1040.00000,1040.00000,1958.00000,1708.00000,167.36400,169.07100,6.21000,6.15000
