,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,7751.70000,990.50000,6761.20000,4994.90000,4994.90000,1766.30000,1766.30000,430.30000,1336.00000,1336.00000,1282.40000,208.30900,208.86700,6.16000,6.14000
2021-12-31,6488.30000,23.80000,6464.50000,4454.40000,4454.40000,2010.10000,2010.10000,464.80000,1545.30000,1545.30000,1490.60000,208.07600,208.89900,7.16000,7.14000
2020-12-31,6301.10000,200.30000,6100.80000,4473.20000,4473.20000,1627.60000,1627.60000,418.30000,1209.30000,1209.30000,1141.00000,208.31900,209.00800,5.48000,5.46000
2019-12-31,6895.10000,822.00000,6073.10000,4129.00000,4129.00000,1944.10000,1944.10000,451.90000,1492.20000,1492.20000,1428.90000,214.52600,215.60100,6.66000,6.63000
2018-12-31,6658.90000,698.70000,5960.20000,4002.40000,4002.40000,1957.80000,1957.80000,401.40000,1556.40000,1556.40000,1510.00000,223.14800,224.48800,6.68000,6.64000
2017-12-31,5715.50000,340.20000,5375.30000,3741.40000,3741.40000,1633.90000,1633.90000,434.90000,1199.00000,1199.00000,1130.40000,228.25800,229.65400,4.95000,4.92000
2016-12-31,5143.80000,182.00000,4961.80000,3444.70000,3444.70000,1517.10000,1517.10000,484.60000,1032.50000,1032.50000,990.40000,227.58100,229.15100,4.35000,4.32000
2015-12-31,4856.50000,153.90000,4702.60000,3237.60000,3237.60000,1465.00000,1465.00000,491.20000,973.80000,973.80000,935.00000,232.28000,234.22200,4.03000,3.99000
2014-12-31,4512.60000,181.40000,4331.20000,3141.00000,3141.00000,1190.20000,1190.20000,378.40000,811.79990,811.79990,789.00000,235.83000,237.72000,3.34000,3.32000
2013-12-31,4311.70000,222.40000,4089.30000,3013.80000,3013.80000,1075.50000,1075.50000,344.20000,731.30000,731.30000,719.40000,239.26500,240.55500,3.01000,2.99000
2012-12-31,4193.50000,297.40000,3896.10000,2903.80000,2903.80000,992.30030,992.30000,305.00000,687.30000,687.30000,677.30000,240.41800,240.88100,2.82000,2.81000
2011-12-31,4169.40000,399.50000,3769.90000,2886.20000,2886.20000,883.70000,883.70000,280.10000,603.60000,603.60000,596.50000,241.40100,241.81100,2.47000,2.47000
2010-12-31,4025.70000,378.00000,3647.70000,2657.90000,2657.90000,989.80000,989.80000,320.30000,669.50000,669.50000,663.90000,242.02900,242.50300,2.74000,2.74000
2009-12-31,4193.10000,406.20000,3786.90000,2531.70000,2531.70000,1255.20000,1255.20000,391.00000,864.20000,864.20000,753.10000,235.51190,236.41600,3.18000,3.16000
